name,bytes,raw_chars,norm_chars,tokens,vocab,letters,type_token_ratio,zipf_alpha
quran-no-tashkeel,752948,417661,408505,77797,14870,330709,0.1911,0.9746
bukhari-noquran,4640009,2583129,2583129,526250,36963,2056880,0.0702,1.0776
bukhari,5202212,2970128,2740036,557696,38967,2182341,0.0699,1.0741
diwan-amr-ibn-kulthum,723,430,359,69,63,291,0.913,0.1784
diwan-antara,280969,157266,151234,28963,7568,122272,0.2613,0.7316
diwan-harith,15051,8521,8115,1590,1158,6526,0.7283,0.3695
diwan-imru-al-qais,214342,121892,112122,21075,9869,91048,0.4683,0.7563
diwan-labid,138514,80262,71447,13535,7734,57913,0.5714,0.7589
diwan-tarafa,55867,32605,28428,5572,3377,22857,0.6061,0.6216
diwan-zuhayr,44347,25328,22901,4431,2863,18471,0.6461,0.5227
jahiz-hayawan,3363348,1906839,1762598,340184,62947,1422415,0.185,0.9357
matched-bukhari-77k,683870,380833,380833,77797,12154,303037,0.1562,1.0388
muallaqa-amr-bin-kulthum,16051,8463,4777,875,636,3903,0.7269,0.3887
muallaqa-antara,7141,3937,3731,733,584,2999,0.7967,0.297
muallaqa-harith,24827,13134,7528,1432,550,6097,0.3841,0.3537
muallaqa-imru-al-qais,12384,6580,4033,775,611,3259,0.7884,0.3186
muallaqa-labid,24822,13225,8694,1562,669,7133,0.4283,0.2498
muallaqa-tarafa,11753,6508,6341,1257,919,5085,0.7311,0.3572
muallaqa-zuhayr,10502,5580,3327,651,504,2677,0.7742,0.324
mutanabbi-diwan,79820,45255,43034,8486,4714,34549,0.5555,0.7376
sira-ibn-hisham,2566373,1449612,1369524,279337,38704,1090188,0.1386,1.0347
