name,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ک,ی
quran-no-tashkeel,0.00477,0.00457,0.02757,0.00204,0.01545,0.00357,0.13166,0.03475,0.00709,0.03181,0.00428,0.01003,0.01252,0.00755,0.01812,0.01491,0.0375,0.00484,0.01818,0.00642,0.00627,0.0051,0.00385,0.00258,0.02844,0.00369,0.02645,0.02127,0.03174,0.11548,0.08084,0.08246,0.0449,0.07503,0.00784,0.06644,0.0,0.0
bukhari-noquran,0.00318,0.0013,0.03209,0.0008,0.00879,0.00278,0.12844,0.05706,0.01395,0.0269,0.01458,0.01098,0.02407,0.00788,0.03201,0.0073,0.04362,0.00522,0.02371,0.00768,0.00744,0.00565,0.00444,0.00104,0.04766,0.00285,0.02746,0.02925,0.01683,0.11143,0.05489,0.0797,0.04213,0.04186,0.01141,0.0636,0.0,0.0
bukhari,0.0033,0.00143,0.03188,0.00087,0.00942,0.00279,0.12909,0.05561,0.01362,0.02716,0.01398,0.01083,0.02348,0.0078,0.03118,0.00759,0.04319,0.00514,0.02355,0.0077,0.00731,0.00561,0.0044,0.00108,0.04647,0.00289,0.02727,0.02869,0.01755,0.11303,0.05609,0.07956,0.04252,0.043,0.01132,0.0636,0.0,0.0
diwan-amr-ibn-kulthum,0.0,0.0,0.01375,0.0,0.01031,0.00687,0.14777,0.04811,0.01031,0.05842,0.01031,0.02062,0.02405,0.01031,0.05155,0.01375,0.0378,0.00344,0.02405,0.0,0.00687,0.00344,0.00344,0.0,0.04124,0.00687,0.01031,0.02405,0.02405,0.07904,0.0756,0.04811,0.04811,0.0756,0.0,0.06186,0.0,0.0
diwan-antara,0.00303,0.00067,0.02565,0.00083,0.00766,0.0029,0.14263,0.04456,0.00936,0.03801,0.00411,0.01614,0.02084,0.00805,0.03433,0.00877,0.04557,0.00541,0.02148,0.00924,0.00829,0.0068,0.00831,0.00286,0.03612,0.00656,0.03037,0.02553,0.02157,0.10462,0.06351,0.05785,0.03239,0.06001,0.01055,0.07541,0.0,0.0
diwan-harith,0.01655,0.0026,0.02927,0.00092,0.01073,0.00352,0.15078,0.04291,0.01088,0.03049,0.00536,0.0164,0.02115,0.00674,0.02436,0.00996,0.04474,0.00506,0.02053,0.01011,0.00843,0.00567,0.00705,0.0023,0.0354,0.00659,0.02865,0.0213,0.0236,0.10696,0.07125,0.06206,0.03662,0.05195,0.00812,0.06099,0.0,0.0
diwan-imru-al-qais,0.00563,0.00102,0.02694,0.00109,0.00796,0.00306,0.13726,0.04347,0.01415,0.03329,0.00706,0.01479,0.01875,0.00777,0.0251,0.01064,0.04937,0.00594,0.01828,0.00995,0.0124,0.00816,0.00897,0.00261,0.03581,0.00604,0.02791,0.02682,0.01989,0.11528,0.0613,0.05351,0.03887,0.06268,0.01158,0.06665,0.0,0.0
diwan-labid,0.00401,0.00128,0.02806,0.00097,0.00938,0.0037,0.14066,0.04617,0.01112,0.03472,0.0049,0.01589,0.02043,0.00867,0.03011,0.00989,0.04935,0.00629,0.01863,0.00889,0.01003,0.00684,0.00751,0.00242,0.03645,0.0058,0.03196,0.02514,0.02165,0.10267,0.06727,0.05676,0.03787,0.0613,0.00941,0.0638,0.0,0.0
diwan-tarafa,0.00499,0.00118,0.02695,0.00109,0.00945,0.0028,0.1246,0.04541,0.01269,0.03924,0.00578,0.01356,0.02013,0.00949,0.0329,0.00993,0.05412,0.00499,0.02026,0.01068,0.00963,0.00617,0.00814,0.00267,0.03369,0.00661,0.03181,0.0273,0.02402,0.10618,0.06528,0.05508,0.0399,0.05539,0.01159,0.06633,0.0,0.0
diwan-zuhayr,0.00753,0.00157,0.02712,0.00114,0.01045,0.00374,0.13795,0.03936,0.00893,0.03838,0.00623,0.01451,0.01992,0.00904,0.02739,0.00931,0.04494,0.00471,0.02057,0.00839,0.0079,0.00698,0.00812,0.00265,0.03183,0.00747,0.03075,0.02496,0.02176,0.10525,0.07401,0.05917,0.04255,0.06036,0.01164,0.0634,0.0,0.0
