letter,quran_count,quran_p,matched_bukhari_count,matched_bukhari_p,delta_pct,z
ء,1578,0.00477,972,0.00321,0.1564,9.82
آ,1511,0.00457,440,0.00145,0.3117,22.37
أ,9119,0.02757,9808,0.03237,-0.4792,-11.19
ؤ,673,0.00204,292,0.00096,0.1071,10.93
إ,5108,0.01545,3152,0.0104,0.5044,17.69
ئ,1182,0.00357,790,0.00261,0.0967,6.91
ا,43542,0.13166,39087,0.12898,0.2678,3.16
ب,11491,0.03475,17150,0.05659,-2.1847,-41.82
ة,2344,0.00709,3932,0.01298,-0.5888,-23.64
ت,10520,0.03181,7586,0.02503,0.6777,16.18
ث,1414,0.00428,4216,0.01391,-0.9637,-40.84
ج,3317,0.01003,3104,0.01024,-0.0213,-0.85
ح,4140,0.01252,7406,0.02444,-1.1921,-35.44
خ,2497,0.00755,2328,0.00768,-0.0132,-0.6
د,5991,0.01812,9405,0.03104,-1.292,-33.37
ذ,4932,0.01491,2414,0.00797,0.6947,25.81
ر,12403,0.0375,13292,0.04386,-0.6358,-12.82
ز,1599,0.00484,1467,0.00484,-0.0006,-0.03
س,6012,0.01818,7329,0.02419,-0.6006,-16.64
ش,2124,0.00642,2327,0.00768,-0.1256,-5.98
ص,2072,0.00627,2308,0.00762,-0.1351,-6.48
ض,1686,0.0051,1638,0.00541,-0.0307,-1.69
ط,1273,0.00385,1240,0.00409,-0.0243,-1.54
ظ,853,0.00258,373,0.00123,0.1348,12.2
ع,9405,0.02844,13703,0.04522,-1.678,-35.6
غ,1221,0.00369,798,0.00263,0.1059,7.47
ف,8747,0.02645,8125,0.02681,-0.0363,-0.9
ق,7034,0.02127,8855,0.02922,-0.7951,-20.22
ك,10497,0.03174,5290,0.01746,1.4284,36.45
ل,38191,0.11548,34098,0.11252,0.2961,3.7
م,26735,0.08084,17324,0.05717,2.3674,37.01
ن,27270,0.08246,24369,0.08042,0.2043,2.97
ه,14850,0.0449,12754,0.04209,0.2816,5.49
و,24813,0.07503,12899,0.04257,3.2464,54.57
ى,2592,0.00784,3190,0.01053,-0.2689,-11.25
ي,21973,0.06644,19576,0.0646,0.1843,2.96
