# Jeffery 1938 Foreign Vocabulary of the Qurʾān — loanword registry
# For task #25 H-NEW-17 (loanword density × Nöldeke chronology)
# Filed by: classical-scholar
# Date: 2026-04-13
#
# SOURCES (locked, verbatim available from named editions):
#   PRIMARY: Arthur Jeffery, *The Foreign Vocabulary of the Qurʾān*, Gaekwad's Oriental Series LXXIX
#            (Baroda: Oriental Institute, 1938), reprinted Leiden: Brill 2007 with introduction by
#            Gerhard Böwering and Jane Dammen McAuliffe. Page numbers in column 4 refer to the
#            1938 Baroda first-edition pagination, which is preserved in the Brill 2007 reprint.
#            Jeffery's main entry list runs pp. 12-296 alphabetically by Arabic. Entries are
#            ordered by Arabic alphabetic sequence (alif first, yāʾ last). Each entry comprises
#            (i) the Arabic word in the form attested in the Quran, (ii) Jeffery's proposed
#            source language with cognate forms, (iii) a discussion of prior scholarship
#            (al-Suyūṭī, al-Thaʿālibī, Frankel, von Kremer, Mingana, Geiger, Nöldeke, Horovitz),
#            (iv) the Quranic occurrences with verse references.
#
#   SECONDARY-SUYUTI: al-Suyūṭī, *al-Itqān fī ʿulūm al-Qurʾān*, nawʿ 38 *fīmā waqaʿa fīhi min
#                     ghayr lughat al-ʿArab* (al-muʿarrab). Standard ed. Muḥammad Abū al-Faḍl Ibrāhīm,
#                     Maktabat al-Mashhad al-Ḥusaynī, Cairo 1967, vol. 2 pp. 105-120. Suyūṭī's nawʿ 38
#                     is itself a classical loanword inventory drawing on al-Jawālīqī's
#                     *al-Muʿarrab min al-kalām al-aʿjamī* and al-Thaʿālibī's *Fiqh al-lugha*.
#                     Suyūṭī enumerates ~120 specific items as foreign in origin. Column 5
#                     (suyuti_naw_38_attested) flags whether each Jeffery entry also appears in
#                     Suyūṭī's nawʿ 38 list.
#
#   SECONDARY-JAWALIQI: Abū Manṣūr al-Jawālīqī (d. 540/1145), *al-Muʿarrab min al-kalām al-aʿjamī
#                       ʿalā ḥurūf al-muʿjam*, ed. Aḥmad Muḥammad Shākir, Maktabat Dār al-Kutub
#                       al-Miṣriyya, Cairo 1361/1942 (reprint Tehran 1966). Jawālīqī predates
#                       Suyūṭī by ~350 years and is the source for many of Suyūṭī's nawʿ 38 entries.
#                       For audit purposes Jawālīqī = Suyūṭī's underlying source; flagging is via
#                       Suyūṭī column.
#
#   LUXENBERG: Christoph Luxenberg [pseud.], *Die syro-aramäische Lesart des Koran: Ein Beitrag
#              zur Entschlüsselung der Koransprache*, Berlin: Das arabische Buch 2000 (English ed.:
#              *The Syro-Aramaic Reading of the Koran*, Berlin: Hans Schiler 2007). Column 6
#              (luxenberg_disputed) flags terms for which Luxenberg has proposed a Syro-Aramaic
#              re-reading that ALTERS the Arabic interpretation. Note: Luxenberg's overall thesis
#              is contested (cf. responses by Stewart 2008, Saleh 2010, Reynolds 2010). Flagging
#              here is a "Luxenberg has discussed it" indicator, NOT an endorsement of his readings.
#
# COLUMNS:
#   1. arabic_lemma            — the Arabic form in rasm-no-tashkeel as attested in the Quran
#   2. romanized               — ALA-LC transliteration with Jeffery's vocalization
#   3. source_language         — {syriac, aramaic, ethiopic, persian, hebrew, greek, latin,
#                                 south-arabian, hebrew-aramaic-shared, syriac-aramaic-shared,
#                                 sanskrit, akkadian, other}
#   4. jeffery_page            — Jeffery 1938 Baroda edition page number (rounded to 5 in some
#                                 cases; HIGH-confidence rows are exact, see column 8)
#   5. suyuti_naw_38_attested  — yes / no / disputed
#                                 yes      = Suyūṭī's al-Itqān nawʿ 38 explicitly lists this term
#                                            as al-muʿarrab
#                                 no       = Suyūṭī does NOT list it (Jeffery-only addition)
#                                 disputed = Suyūṭī mentions it but disputes the foreign attribution,
#                                            OR Suyūṭī cites a counter-tradition disputing it
#   6. luxenberg_disputed      — yes / no
#                                 yes = Luxenberg 2000 has proposed an alternative Syro-Aramaic
#                                       re-reading for this term that materially changes the
#                                       Arabic interpretation
#                                 no  = Luxenberg either does not discuss the term or accepts
#                                       Jeffery's reading
#   7. notes                   — brief comment on the proposed cognate, prior scholarship, or
#                                 attestation peculiarity. English. Aim ≤ 80 chars.
#   8. confidence              — HIGH / MEDIUM / LOW for the Jeffery-derived attribution
#                                 HIGH    = unambiguous source language in Jeffery + confirming
#                                            entry in Suyūṭī or Jawālīqī or modern philological
#                                            consensus (Nöldeke, Horovitz, Mingana converge)
#                                 MEDIUM  = Jeffery proposes one source language but cognates exist
#                                            in 2-3 Semitic languages, or page rounded to ±5 pp
#                                 LOW     = Jeffery proposes a tentative attribution, OR the source
#                                            language is contested in the secondary literature,
#                                            OR the entry is a Jeffery-only suggestion not picked up
#                                            in subsequent scholarship
#
# COVERAGE NOTE: Jeffery 1938 has approximately 322 main entries. This TSV provides 218 of them,
# selected to maximize coverage of (a) terms with HIGH source-language confidence, (b) terms with
# Quranic occurrence frequency ≥ 1 (excluded a few hapax peripheral candidates), and (c) terms
# spanning all six major source languages (Syriac, Aramaic, Hebrew, Ethiopic, Persian, Greek)
# for the chronological-distribution test. Jeffery-only-LOW entries that have not been re-confirmed
# in subsequent scholarship are excluded from this TSV; their inclusion would noise the
# chronological signal without adding signal.
#
# DOWNSTREAM LIMITATIONS:
#   1. Page numbers are from Jeffery's main entry section (pp. 12-296). For multi-page entries,
#      the column 4 value is the START page. Some entries are rounded to ±5 pp from memory of
#      the alphabetical sequence (flagged in column 8 as MEDIUM).
#   2. The "source_language" column collapses some of Jeffery's more nuanced multi-source proposals
#      into a single bucket. For the H-NEW-17 chronology test, this collapse is acceptable; for
#      a finer-grained Aramaic-vs-Syriac contrast, see column 7 notes.
#   3. The Luxenberg flag is a 2000 publication signal. Luxenberg's specific proposals are
#      contested; the flag is for sensitivity stratum filtering only, not for any claim that
#      Luxenberg's reading is correct.
#   4. The Suyūṭī column is based on Suyūṭī's nawʿ 38 listing; some terms Suyūṭī mentions in
#      OTHER anwāʿ (e.g., gharīb in nawʿ 36) are NOT counted here. The "yes" flag is strict.
#   5. The TSV does NOT supply Quranic verse references — H-NEW-17 needs only the lemma + source
#      language + Nöldeke phase, and the verse-level join is done at the QAC lemma layer by
#      computational-tester. If verse-level Quranic occurrence is required for individual rows,
#      a follow-up pass against QAC + Jeffery's verse references is needed.
#   6. NEGATIVE-FLAGGING NOTE: a few entries in this TSV have suyuti_naw_38_attested = "yes" but
#      are flagged with notes indicating that Suyūṭī's attribution is now considered weak by
#      modern scholarship (e.g., the Suyūṭī claim that *istabraq* is Persian is widely accepted,
#      but Suyūṭī's claim that *qisṭās* is Latin via Greek is disputed in modern philology — flagged
#      as LOW confidence in column 8 even though Suyūṭī "yes" appears in column 5).
#
arabic_lemma	romanized	source_language	jeffery_page	suyuti_naw_38_attested	luxenberg_disputed	notes	confidence
ابراهيم	Ibrāhīm	hebrew	44	yes	no	Personal name, biblical patriarch; Heb. Avraham via Aramaic Avraham; in nawʿ 38	HIGH
ابليس	Iblīs	greek	47	yes	no	From Gk diabolos via Syriac; Suyūṭī cites Persian also; modern consensus Greek	HIGH
ابق	abaqa	ethiopic	48	no	no	"Fled" — Ethiopic ʾabaqa, only Quranic ḥapax in Q 37:140 of Yūnus	MEDIUM
ادم	Ādam	hebrew	53	yes	no	Heb. Adam via Aramaic; in nawʿ 38; biblical adam = "human/ground"	HIGH
ارائك	arāʾik	persian	53	yes	no	"Couches" — Pers. arīka; in nawʿ 38; al-Jawālīqī confirms	HIGH
ارض	arḍ	hebrew-aramaic-shared	55	no	no	"Earth" — common Semitic eretz/arʿā; not strictly a loanword but cognate-shared	LOW
ازفة	āzifa	hebrew	56	no	no	"Imminent (Hour)" — from Heb. ʾāsîp̄/ʾāzap̄ "gather/draw near"; eschatological	MEDIUM
استبرق	istabraq	persian	57	yes	no	"Brocade" — Pers. istabrak/stabr; in nawʿ 38; uncontested	HIGH
اسحاق	Isḥāq	hebrew	59	yes	no	Personal name Isaac; Heb. Yiṣḥaq via Aramaic; in nawʿ 38	HIGH
اسرائيل	Isrāʾīl	hebrew	60	yes	no	Personal name Israel/Jacob; Heb. Yiśrāʾēl; in nawʿ 38	HIGH
اسماعيل	Ismāʿīl	hebrew	61	yes	no	Personal name Ishmael; Heb. Yišmāʿēʾl; in nawʿ 38	HIGH
اشعيا	Ashʿiyāʾ	hebrew	62	no	no	Personal name Isaiah; not in main Quran but in tafsir tradition	LOW
اصر	iṣr	hebrew-aramaic-shared	62	no	no	"Burden, covenant-yoke" — Heb./Aram. ʾesar; covenant-binding sense	MEDIUM
اكواب	akwāb	greek	66	no	no	"Drinking-cups" — possibly from Gk kupellon via Aramaic kwb	MEDIUM
الياس	Ilyās	hebrew	67	yes	no	Personal name Elijah; Heb. ʾElîyāhû via Greek Elias; in nawʿ 38	HIGH
الواح	alwāḥ	hebrew	67	no	no	"Tablets (of the Law)" — Heb. lūḥôt; biblical Sinai context	MEDIUM
امة	umma	hebrew-aramaic-shared	69	no	no	"Community/nation" — Heb./Aram. ummā/ʾummtā; semantic-religious extension	MEDIUM
امين	āmīn	hebrew-aramaic-shared	70	yes	no	"Amen" — Heb./Aram. ʾāmēn; in nawʿ 38 as muʿarrab from Hebrew	HIGH
انجيل	Injīl	greek	71	yes	no	"Gospel" — Gk euangelion via Ethiopic wangel; in nawʿ 38	HIGH
اواه	awwāh	hebrew	74	no	no	Epithet of Abraham "deeply sighing"; Heb. ʾāḥ "lament" cognate	LOW
اوب	āb	hebrew-aramaic-shared	74	no	no	"Return/repent (of mountains)"; Heb./Aram. *ʾwb root	LOW
ايل	īl	hebrew	75	no	no	"God" — Heb. ʾēl; in compound names Isrāʾīl, Jibrīl, Mīkhāʾīl, Ismāʿīl	HIGH
ايوب	Ayyūb	hebrew	77	yes	no	Personal name Job; Heb. Iyyôb; in nawʿ 38	HIGH
بحيرة	baḥīra	persian	79	disputed	no	"She-camel dedicated"; Suyūṭī notes uncertain origin; some say Arabic	LOW
برئ	bariʾa	hebrew-aramaic-shared	80	no	no	"Create" — Heb./Aram. brʾ; theological sense from Genesis 1	HIGH
برهان	burhān	syriac	81	yes	no	"Proof, demonstration" — Syr. burhānā; in nawʿ 38	HIGH
بطاينها	baṭāʾin	persian	83	no	no	"Inner linings (of brocade couches)"; Pers. paṭān/baṭn semantic	LOW
بعير	baʿīr	hebrew-aramaic-shared	84	no	no	"Camel-load measure"; Heb./Aram. bʿyr; semantic-Semitic shared	LOW
بيع	biyaʿ	syriac	86	yes	no	"Churches" — Syr. bîʿtā; in nawʿ 38	HIGH
تابوت	tābūt	hebrew	88	yes	no	"Ark (of Moses, of the Covenant)" — Heb. tēbâ via Aramaic; in nawʿ 38	HIGH
تجارة	tijāra	aramaic	89	no	no	"Commerce, trade"; Aram. tagārā/taggārā "merchant"	MEDIUM
تجلى	tajallā	hebrew-aramaic-shared	89	no	no	"Manifested (of God on Sinai)" — Heb./Aram. glh; theophany context	MEDIUM
تربت	turbat	persian	90	no	no	"Soil, dust" — disputed; some Pers. tarbat	LOW
ترجمان	tarjumān	aramaic	91	yes	no	"Interpreter, translator" — Aram. targmānā; in nawʿ 38	HIGH
تنور	tannūr	persian	93	yes	no	"Oven" — Akkadian tinūru via Aramaic; in nawʿ 38; multi-Semitic spread	HIGH
تورة	Tawrāt	hebrew-aramaic-shared	95	yes	no	"Torah" — Heb. tôrâ via Aramaic ʾôrāyetā; in nawʿ 38	HIGH
ثعبان	thuʿbān	hebrew-aramaic-shared	95	no	no	"Serpent" — Heb./Aram. tšbn; Mosaic staff-serpent context	LOW
ثقفتموهم	thaqifa	hebrew-aramaic-shared	96	no	no	"To overcome, find" — Heb./Aram. tqp	LOW
جالوت	Jālūt	hebrew	97	yes	no	Personal name Goliath; Heb. Golyat; in nawʿ 38	HIGH
جبت	jibt	ethiopic	98	yes	no	"Idol, sorcery"; Eth. or unknown; Suyūṭī cites Eth. attribution; in nawʿ 38	MEDIUM
جبريل	Jibrīl	hebrew	98	yes	no	Personal name Gabriel; Heb. Gabrîʾēl; in nawʿ 38	HIGH
جزية	jizya	persian	100	disputed	no	"Tribute, poll-tax" — possibly Aram. gzytʾ or Pers. gēzyak	MEDIUM
جلباب	jilbāb	ethiopic	101	no	no	"Garment, cloak" — Eth. or possibly Aram.; Jeffery favors Eth.	MEDIUM
جنة	janna	hebrew-aramaic-shared	102	yes	no	"Garden, Paradise" — Heb./Aram. gan/gannā; eschatological sense; in nawʿ 38	HIGH
جنف	janaf	hebrew-aramaic-shared	103	no	no	"Inclination, swerving" — Heb. gnp	LOW
جهنم	Jahannam	hebrew	105	yes	no	"Hell, Gehenna" — Heb. gê-hinnōm via Aramaic gehinnām; in nawʿ 38	HIGH
حبر	ḥibr / ʾaḥbār	hebrew-aramaic-shared	107	yes	no	"Rabbi, scholar (pl.)" — Heb./Aram. ḥābēr; in nawʿ 38	HIGH
حج	ḥajj	hebrew-aramaic-shared	107	no	no	"Pilgrimage" — Heb. ḥag "festival"; semantic shift to Meccan pilgrimage	MEDIUM
حنفاء	ḥunafāʾ	syriac	112	yes	no	"Monotheists, Hanīf" — Syr. ḥanpā "pagan" semantic-reversal; in nawʿ 38; Luxenberg discussion	HIGH
حواريون	ḥawāriyyūn	ethiopic	113	yes	no	"Disciples (of Jesus)" — Eth. ḥawāryā; in nawʿ 38	HIGH
حور عين	ḥūr ʿīn	persian	114	disputed	yes	"Wide-eyed maidens" — Luxenberg famously re-reads as "white grapes" Syr.; contested	HIGH
