root,root_arabic,total_occurrences,n_surahs,n_verses,first_surah,last_surah,meccan_count,medinan_count
Alh,اله,2851,86,1879,1,114,1092,1759
qwl,قول,1722,84,1383,2,114,1248,474
kwn,كون,1390,86,1176,2,112,920,470
rbb,ربب,980,94,871,1,114,762,218
Amn,امن,879,77,723,2,106,379,500
Elm,علم,854,85,728,1,102,495,359
qwm,قوم,660,79,597,1,98,454,206
Aty,اتي,549,72,486,2,98,339,210
kfr,كفر,525,77,465,2,109,233,292
byn,بين,523,71,454,2,98,304,219
$yA,شيا,519,73,449,2,87,312,207
rsl,رسل,513,69,429,2,105,276,237
ArD,ارض,461,80,440,2,99,326,135
ywm,يوم,405,75,377,1,101,293,112
Ayy,ايي,382,59,353,2,90,289,93
smw,سمو,381,81,352,1,96,268,113
kll,كلل,377,74,355,2,104,242,135
E*b,عذب,373,68,336,2,89,232,141
Eml,عمل,360,68,313,2,103,220,140
jEl,جعل,346,66,311,2,105,268,78
rHm,رحم,339,62,313,1,90,226,113
rAy,راي,328,72,297,2,110,242,86
ktb,كتب,319,61,279,2,98,155,164
hdy,هدي,316,62,268,1,96,206,110
Zlm,ظلم,315,59,290,2,76,211,104
nfs,نفس,298,63,270,2,91,163,135
qbl,قبل,294,64,282,2,71,185,109
nzl,نزل,293,60,257,2,97,165,128
*kr,ذكر,292,71,264,2,94,216,76
Hqq,حقق,287,59,263,2,103,192,95
k*b,كذب,282,68,257,2,107,211,71
jyA,جيا,278,62,262,2,110,208,70
Ebd,عبد,275,57,251,1,109,227,48
Ax*,اخذ,273,55,244,2,79,171,102
xlq,خلق,261,75,218,2,113,215,46
wqy,وقي,258,63,237,2,96,116,142
Axr,اخر,250,64,242,2,93,153,97
Amr,امر,248,61,226,2,98,153,95
nws,نوس,241,53,225,2,114,119,122
bEd,بعد,235,57,223,2,98,130,105
gfr,غفر,234,56,202,2,110,99,135
wly,ولي,232,55,202,2,96,100,132
dEw,دعو,212,55,182,2,96,167,45
Hkm,حكم,210,57,189,2,95,93,117
mlk,ملك,206,63,191,1,114,122,84
jnn,جنن,201,70,196,2,114,137,64
End,عند,201,62,189,2,98,109,92
xyr,خير,196,55,178,2,100,103,93
nwr,نور,194,62,174,2,111,97,97
Hsn,حسن,194,50,177,2,95,121,73
Dll,ضلل,191,56,170,1,105,141,50
smE,سمع,185,57,163,2,88,115,70
bny,بني,184,53,150,2,91,101,83
Hyy,حيي,184,50,161,2,89,122,62
xrj,خرج,182,56,157,2,99,102,80
SlH,صلح,180,54,170,2,103,113,67
sbl,سبل,176,47,164,2,80,75,101
tbE,تبع,172,51,156,2,79,112,60
Awl,اول,170,54,158,2,93,118,52
qtl,قتل,170,33,122,2,85,37,133
mvl,مثل,169,50,148,2,89,103,66
qlb,قلب,168,48,155,2,84,58,110
$rk,شرك,168,44,143,2,98,117,51
kvr,كثر,167,51,162,2,108,103,64
swA,سوا,167,45,151,2,67,111,56
mwt,موت,165,53,143,2,87,99,66
kbr,كبر,161,57,153,2,88,123,38
$hd,شهد,160,48,123,2,100,72,88
nbA,نبا,160,47,151,2,78,71,89
bED,بعض,158,38,87,2,69,77,81
nSr,نصر,158,46,137,2,110,66,92
Sdq,صدق,155,49,144,2,92,79,76
gyr,غير,154,46,146,1,100,94,60
wEd,وعد,151,51,130,2,85,116,35
bSr,بصر,148,62,139,2,84,109,39
rwd,رود,148,47,120,2,86,78,70
lqy,لقي,146,53,135,2,84,110,36
dwn,دون,144,46,142,2,72,109,35
nEm,نعم,140,61,128,1,102,90,50
slm,سلم,140,48,127,2,97,83,57
dnw,دنو,133,46,128,2,87,72,61
qdr,قدر,132,58,121,2,97,86,46
n*r,نذر,130,50,115,2,92,113,17
jmE,جمع,129,45,123,2,104,84,45
nZr,نظر,129,48,115,2,88,99,30
sAl,سال,129,47,118,2,102,89,40
TwE,طوع,129,40,118,2,96,56,73
EZm,عظم,128,50,127,2,83,60,68
xlf,خلف,127,40,116,2,78,82,45
Ahl,اهل,127,40,120,2,98,74,53
dxl,دخل,126,45,111,2,110,61,65
xwf,خوف,124,42,112,2,106,77,47
rzq,رزق,123,44,109,2,89,80,43
b$r,بشر,123,47,119,2,84,86,37
ydy,يدي,120,47,110,2,111,59,61
Amm,امم,119,42,108,2,101,82,37
Ezz,عزز,119,47,116,2,85,71,48
jzy,جزي,118,47,109,2,98,89,29
Abw,ابو,117,37,104,2,111,93,24
nhr,نهر,113,51,102,2,98,65,48
nfq,نفق,111,31,86,2,66,13,98
Akl,اكل,109,40,101,2,105,66,43
Hsb,حسب,109,40,102,2,104,54,55
fEl,فعل,108,44,102,2,105,63,45
Ajr,اجر,108,39,99,2,95,60,48
wjd,وجد,107,32,99,2,93,59,48
Edw,عدو,106,34,92,2,100,47,59
rjE,رجع,104,42,103,2,96,76,28
fDl,فضل,104,32,92,2,73,42,62
Sbr,صبر,103,45,93,2,103,71,32
A*n,اذن,102,38,90,2,97,46,56
$dd,شدد,102,48,99,2,100,57,45
wld,ولد,102,39,80,2,112,55,47
dyn,دين,101,40,87,1,110,49,52
Slw,صلو,99,37,90,2,108,40,59
SHb,صحب,97,47,89,2,105,71,26
Ans,انس,97,52,93,2,103,80,17
qrb,قرب,96,41,91,2,96,50,46
bgy,بغي,96,41,90,2,92,55,41
Axw,اخو,96,31,80,2,80,58,38
Hbb,حبب,95,35,85,2,100,34,61
sbH,سبح,92,49,87,2,110,68,24
sjd,سجد,92,32,81,2,96,54,38
lyl,ليل,92,49,81,2,97,74,18
lys,ليس,89,33,85,2,95,48,41
$Tn,شطن,88,36,78,2,81,53,35
qrA,قرا,88,42,79,2,96,78,10
xld,خلد,87,40,86,2,104,43,44
twb,توب,87,25,69,2,110,23,64
mwl,مول,86,38,80,2,111,32,54
AHd,احد,85,33,82,2,112,47,38
njw,نجو,84,31,75,2,70,67,17
swy,سوي,83,48,80,2,91,57,26
