revelation_order,mushaf_order,surah_name_ar,surah_name_tl,period,noldeke_order,noldeke_phase,source
1,96,العلق,Al-Alaq,Meccan,1,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
2,68,القلم,Al-Qalam,Meccan,18,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
3,73,المزمل,Al-Muzzammil,Meccan,23,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
4,74,المدثر,Al-Muddaththir,Meccan,2,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
5,1,الفاتحة,Al-Fatiha,Meccan,48,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
6,111,المسد,Al-Masad,Meccan,3,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
7,81,التكوير,At-Takwir,Meccan,27,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
8,87,الأعلى,Al-A'la,Meccan,19,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
9,92,الليل,Al-Layl,Meccan,10,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
10,89,الفجر,Al-Fajr,Meccan,35,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
11,93,الضحى,Ad-Dhuha,Meccan,13,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
12,94,الشرح,Ash-Sharh,Meccan,12,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
13,103,العصر,Al-Asr,Meccan,21,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
14,100,العاديات,Al-Adiyat,Meccan,30,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
15,108,الكوثر,Al-Kawthar,Meccan,5,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
16,102,التكاثر,At-Takathur,Meccan,8,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
17,107,الماعون,Al-Maun,Meccan,7,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
18,109,الكافرون,Al-Kafirun,Meccan,45,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
19,105,الفيل,Al-Fil,Meccan,9,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
20,113,الفلق,Al-Falaq,Meccan,46,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
21,114,الناس,An-Nas,Meccan,47,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
22,112,الإخلاص,Al-Ikhlas,Meccan,44,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
23,53,النجم,An-Najm,Meccan,28,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
24,80,عبس,Abasa,Meccan,17,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
25,97,القدر,Al-Qadr,Meccan,14,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
26,91,الشمس,Ash-Shams,Meccan,16,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
27,85,البروج,Al-Buruj,Meccan,22,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
28,95,التين,At-Tin,Meccan,20,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
29,106,قريش,Quraysh,Meccan,4,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
30,101,القارعة,Al-Qariah,Meccan,24,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
31,75,القيامة,Al-Qiyamah,Meccan,36,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
32,104,الهمزة,Al-Humazah,Meccan,6,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
33,77,المرسلات,Al-Mursalat,Meccan,32,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
34,50,ق,Qaf,Meccan,54,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
35,90,البلد,Al-Balad,Meccan,11,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
36,86,الطارق,At-Tariq,Meccan,15,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
37,54,القمر,Al-Qamar,Meccan,49,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
38,38,ص,Sad,Meccan,59,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
39,7,الأعراف,Al-Araf,Meccan,87,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
40,72,الجن,Al-Jinn,Meccan,62,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
41,36,يس,Ya-Sin,Meccan,60,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
42,25,الفرقان,Al-Furqan,Meccan,66,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
43,35,فاطر,Fatir,Meccan,86,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
44,19,مريم,Maryam,Meccan,58,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
45,20,طه,Ta-Ha,Meccan,55,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
46,56,الواقعة,Al-Waqiah,Meccan,41,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
47,26,الشعراء,Ash-Shuara,Meccan,56,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
48,27,النمل,An-Naml,Meccan,68,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
49,28,القصص,Al-Qasas,Meccan,79,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
50,17,الإسراء,Al-Isra,Meccan,67,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
51,10,يونس,Yunus,Meccan,84,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
52,11,هود,Hud,Meccan,75,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
53,12,يوسف,Yusuf,Meccan,77,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
54,15,الحجر,Al-Hijr,Meccan,57,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
55,6,الأنعام,Al-Anam,Meccan,89,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
56,37,الصافات,As-Saffat,Meccan,50,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
57,31,لقمان,Luqman,Meccan,82,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
58,34,سبأ,Saba,Meccan,85,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
59,39,الزمر,Az-Zumar,Meccan,80,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
60,40,غافر,Ghafir,Meccan,78,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
61,41,فصلت,Fussilat,Meccan,71,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
62,42,الشورى,Ash-Shura,Meccan,83,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
63,43,الزخرف,Az-Zukhruf,Meccan,61,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
64,44,الدخان,Ad-Dukhan,Meccan,53,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
65,45,الجاثية,Al-Jathiyah,Meccan,72,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
66,46,الأحقاف,Al-Ahqaf,Meccan,88,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
67,51,الذاريات,Adh-Dhariyat,Meccan,39,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
68,88,الغاشية,Al-Ghashiyah,Meccan,34,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
69,18,الكهف,Al-Kahf,Meccan,69,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
70,16,النحل,An-Nahl,Meccan,73,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
71,71,نوح,Nuh,Meccan,51,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
72,14,إبراهيم,Ibrahim,Meccan,76,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
73,21,الأنبياء,Al-Anbiya,Meccan,65,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
74,23,المؤمنون,Al-Muminun,Meccan,64,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
75,32,السجدة,As-Sajdah,Meccan,70,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
76,52,الطور,At-Tur,Meccan,40,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
77,67,الملك,Al-Mulk,Meccan,63,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
78,69,الحاقة,Al-Haqqah,Meccan,38,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
79,70,المعارج,Al-Maarij,Meccan,42,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
80,78,النبأ,An-Naba,Meccan,33,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
81,79,النازعات,An-Naziat,Meccan,31,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
82,82,الإنفطار,Al-Infitar,Meccan,26,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
83,84,الإنشقاق,Al-Inshiqaq,Meccan,29,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
84,30,الروم,Ar-Rum,Meccan,74,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
85,29,العنكبوت,Al-Ankabut,Meccan,81,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
86,83,المطففين,Al-Mutaffifin,Meccan,37,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
87,2,البقرة,Al-Baqarah,Medinan,91,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
88,8,الأنفال,Al-Anfal,Medinan,95,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
89,3,آل عمران,Al-Imran,Medinan,97,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
90,33,الأحزاب,Al-Ahzab,Medinan,103,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
91,60,الممتحنة,Al-Mumtahanah,Medinan,110,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
92,4,النساء,An-Nisa,Medinan,100,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
93,99,الزلزلة,Az-Zalzalah,Medinan,25,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
94,57,الحديد,Al-Hadid,Medinan,99,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
95,47,محمد,Muhammad,Medinan,96,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
96,13,الرعد,Ar-Rad,Medinan,90,Late Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
97,55,الرحمن,Ar-Rahman,Medinan,43,Early Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
98,76,الإنسان,Al-Insan,Medinan,52,Middle Meccan,Tanzil Egyptian Standard + Wikipedia Noldeke
99,65,الطلاق,At-Talaq,Medinan,101,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
100,98,البينة,Al-Bayyinah,Medinan,92,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
101,59,الحشر,Al-Hashr,Medinan,102,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
102,24,النور,An-Nur,Medinan,105,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
103,22,الحج,Al-Hajj,Medinan,107,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
104,63,المنافقون,Al-Munafiqun,Medinan,104,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
105,58,المجادلة,Al-Mujadilah,Medinan,106,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
106,49,الحجرات,Al-Hujurat,Medinan,112,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
107,66,التحريم,At-Tahrim,Medinan,109,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
108,64,التغابن,At-Taghabun,Medinan,93,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
109,61,الصف,As-Saff,Medinan,98,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
110,62,الجمعة,Al-Jumuah,Medinan,94,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
111,48,الفتح,Al-Fath,Medinan,108,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
112,5,المائدة,Al-Maidah,Medinan,114,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
113,9,التوبة,At-Tawbah,Medinan,113,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
114,110,النصر,An-Nasr,Medinan,111,Medinan,Tanzil Egyptian Standard + Wikipedia Noldeke
