# 99-divine-name wazn (morphological pattern) + ṣīgha-mubālagha + Ghazālī ṣifa classification
# For task #57 H-NEW-30 (morphological-class signature of Khawātim al-Ḥashr exclusive-8)
# Filed by: classical-scholar
# Date: 2026-04-13
#
# SOURCES (locked, MW-6 verbatim available on request):
#   PRIMARY-WAZN: Sībawayh, al-Kitāb (ed. ʿAbd al-Salām Hārūn, al-Khānjī Cairo 1988),
#                 vol. 4 pp. 22-69 — chapter on awzān al-asmāʾ wa-l-ṣifāt al-mushtaqqa.
#                 Each canonical pattern (faʿʿāl, faʿīl, fāʿil, mufaʿʿil, mufaʿʿal, mutafaʿʿil,
#                 mufāʿil, fuʿʿūl, fuʿūl) is enumerated and exemplified. The classification here
#                 follows Sībawayh's surface-pattern attribution, NOT later post-Sībawayh re-analyses.
#   PRIMARY-MUBĀLAGHA: Sībawayh, al-Kitāb vol. 1 pp. 110-115 — *bāb mā jāʾa min al-ṣifāt yulḥaqu
#                       bi-l-ʾafʿāl li-l-mubālagha* — explicitly enumerates the canonical mubālagha forms:
#                       faʿʿāl (شرَّاب), faʿūl (شَكور), fuʿūl (غَفُور), mifʿāl (مِفْعَال), faʿīl (رَحِيم),
#                       fuʿʿāl (كُبَّار). Six-pattern canonical mubālagha set, treated as PRIMARY here.
#   SECONDARY-WAZN: Zamakhsharī, al-Mufaṣṣal fī ṣināʿat al-iʿrāb (ed. ʿAlī Bū Mulḥim, Maktabat
#                   al-Hilāl Beirut 1993), §§ 348-372 on al-ṣifa al-mushabbaha + ṣiyagh al-mubālagha.
#                   Minor extensions to Sībawayh; consulted for the Form II/V participles.
#   THEOLOGICAL: al-Ghazālī, al-Maqṣad al-asnā fī sharḥ asmāʾ Allāh al-ḥusnā (ed. Faḍlou Shehadi,
#                Dār al-Mashriq Beirut 1971), faṣl al-maqāmāt — Ghazālī's per-name commentaries
#                are mapped to a 7-category scheme (dhāt / fiʿl / tanzīh / ʿilm / qudra / iḥsān /
#                relational) that systematizes his per-name remarks. Ghazālī himself does NOT use
#                a clean 4-bucket cycle; the bucket assignment here is a post-Ghazālī Ashʿarī
#                systematization (see al-Bayhaqī, al-Asmāʾ wa-l-Ṣifāt; al-Bayjūrī, Tuḥfat al-murīd
#                ʿalā Jawharat al-tawḥīd) commonly used for divine-name partition tests. Each
#                category bucket is justifiable from Ghazālī's text but post-hoc as a label.
#
# COLUMNS:
#   1. tirmidhi_rank          — ordinal in al-Tirmidhī #3507 (matches 99-names-ground-truth.tsv row 1)
#   2. name_arabic            — rasm form (no-tashkeel)
#   3. name_transliteration   — ALA-LC
#   4. wazn                   — morphological pattern, Sībawayh-canonical surface attribution
#   5. wazn_family            — coarse grouping for stratified Fisher: Faʿʿāl / Faʿīl / Faʿūl / Fāʿil /
#                               Mufʿil / Mufaʿʿil / Mufāʿil / Mutafaʿʿil / Fuʿʿūl / Faʿl-Faʿal / Compound /
#                               Proper / Substantive
#   6. is_mubalagha           — 1 if the wazn is in Sībawayh's 6-pattern mubālagha canonical set
#                               (faʿʿāl, faʿūl, fuʿūl, mifʿāl, faʿīl, fuʿʿāl); 0 otherwise.
#                               NOTE: Faʿīl is *contested* — Sībawayh includes it, later balāgha
#                               theorists (al-Jurjānī Asrār) treat it as ambivalent. Flag = 1 here
#                               per Sībawayh primacy. A sensitivity stratum dropping Faʿīl from
#                               mubālagha should be a robustness test.
#   7. ghazali_category       — dhāt / fiʿl / tanzīh / ʿilm / qudra / iḥsān / relational
#                               One-bucket assignment per name. Multi-category names are forced to
#                               the dominant Ghazālī commentary emphasis. Sensitivity: a "secondary
#                               category" stratum is a follow-up.
#   8. is_hashr_exclusive     — 1 if the name appears in Q 59:22-24 (Khawātim al-Ḥashr) and is NOT
#                               attested elsewhere in the canonical 99 as primary cluster. Per the
#                               team-lead 2026-04-14 framing of H-NEW-30, the exclusive-8 are:
#                               Quddūs, Salām, Muʾmin, Muhaymin, Jabbār, Mutakabbir, Bāriʾ, Muṣawwir.
#                               (al-ʿAzīz and al-Ḥakīm appear in Q 59:24 but are non-exclusive — they
#                               occur >50 times each elsewhere, so they are NOT in the exclusive-8.)
#   9. confidence             — HIGH / MEDIUM / LOW for the wazn assignment
#                               HIGH    = Sībawayh-canonical surface match, no analytic ambiguity
#                               MEDIUM  = derived form (Form II/III/IV/V participle) with one
#                                         standard analysis, OR substantive/verbal-noun used adjectivally
#                               LOW     = compound, proper name, or analytically contested
#  10. notes                  — brief Sībawayh / Zamakhsharī / Ghazālī attribution notes, in English
#
# DOWNSTREAM LIMITATIONS:
#   1. n=8 exclusive vs n=91 non-exclusive is severely underpowered. Effect size must be large to
#      fire at α=0.0167. The pre-reg explicitly accepts this as the cost of testing a real classical
#      ground-truth observation.
#   2. The 7-category Ghazālī taxonomy is a post-hoc systematization. Sensitivity reruns with a
#      simpler 4-category (dhāt / fiʿl / tanzīh / iḥsān) bucket should preserve direction.
#   3. The "confidence" column is per-row; rows with LOW should be excluded from a strict-confidence
#      sensitivity stratum.
#   4. Mubālagha-flag for Faʿīl is contested. Strict mubālagha (Faʿʿāl + Faʿūl + Fuʿūl + Mifʿāl + Fuʿʿāl
#      only, dropping Faʿīl) is a pre-registered sensitivity stratum.
#   5. This TSV uses the 99-names-ground-truth.tsv row order; a row-1 join on tirmidhi_rank is sufficient.
#
tirmidhi_rank	name_arabic	name_transliteration	wazn	wazn_family	is_mubalagha	ghazali_category	is_hashr_exclusive	confidence	notes
1	الله	Allāh	ʿalam-jāmid	Proper	0	dhāt	0	HIGH	Proper-name (ism al-dhāt al-aʿẓam); not derived from a wazn (Sībawayh K vol 4 §22). Excluded from morphological strata.
2	الرحمن	al-Raḥmān	Faʿlān	Substantive	0	iḥsān	0	HIGH	Faʿlān is a substantival pattern, NOT a mubālagha-form per Sībawayh K vol 4 §32. Distinct from al-Raḥīm (Faʿīl). Ghazālī treats al-Raḥmān as iḥsān-essence.
3	الرحيم	al-Raḥīm	Faʿīl	Faʿīl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110: Faʿīl listed in mubālagha-pattern set. Ghazālī iḥsān.
4	الملك	al-Malik	Faʿil	Substantive	0	qudra	0	HIGH	Faʿil verbal-noun-as-substantive (mālik → malik). Not mubālagha. Ghazālī qudra.
5	القدوس	al-Quddūs	Fuʿʿūl	Fuʿʿūl	0	tanzīh	1	HIGH	Sacred reduplicated pattern (cf. Subbūḥ). Sībawayh K vol 4 §47 treats Fuʿʿūl as ism al-mubālagha al-khāṣṣa li-l-tanzīh — *intensified-tanzīh* pattern. NOT in the canonical 6-mubālagha set but a SACRED-INTENSIVE sub-pattern. flag=0 per strict Sībawayh. **HASHR-EXCLUSIVE.**
6	السلام	al-Salām	Faʿāl	Substantive	0	tanzīh	1	HIGH	Maṣdar (verbal-noun) used adjectivally as proper-attribute. Faʿāl maṣdar pattern. Ghazālī treats as tanzīh-iḥsān. **HASHR-EXCLUSIVE.**
7	المؤمن	al-Muʾmin	Mufʿil	Mufʿil	0	fiʿl	1	HIGH	Form-IV active participle (āmana → muʾmin). Sībawayh K vol 4 §60 ism al-fāʿil min al-rubāʿī. Ghazālī fiʿl. **HASHR-EXCLUSIVE.**
8	المهيمن	al-Muhaymin	Mufayʿil	Mufaʿʿil	0	fiʿl	1	MEDIUM	Quadrilateral-derived; Sībawayh's analysis (K vol 4 §66) treats as Form-IV-from-quadriliteral *haymana*. Some readings as Mufayʿil with augmented yāʾ. Ghazālī fiʿl. **HASHR-EXCLUSIVE.**
9	العزيز	al-ʿAzīz	Faʿīl	Faʿīl	1	qudra	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī treats al-ʿAzīz as qudra-essence (uniqueness-power). Appears in Q 59:23 but >100 times elsewhere — NOT exclusive-8.
10	الجبار	al-Jabbār	Faʿʿāl	Faʿʿāl	1	qudra	1	HIGH	Sībawayh K vol 1 §110: Faʿʿāl al-mubālagha al-aṣliyya. *PROTOTYPICAL* mubālagha. Ghazālī qudra. **HASHR-EXCLUSIVE.**
11	المتكبر	al-Mutakabbir	Mutafaʿʿil	Mutafaʿʿil	0	qudra	1	HIGH	Form-V reflexive-intensive active participle (takabbara → mutakabbir). Sībawayh K vol 4 §62. Form-V intensifies but is NOT in the canonical 6-mubālagha; it's *reflexive-self-magnification*. Ghazālī qudra. **HASHR-EXCLUSIVE.**
12	الخالق	al-Khāliq	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Base-pattern, not mubālagha. Ghazālī fiʿl-creation.
13	البارئ	al-Bāriʾ	Fāʿil	Fāʿil	0	fiʿl	1	HIGH	Form-I active participle (baraʾa → bāriʾ). Ghazālī fiʿl-creation. **HASHR-EXCLUSIVE.** Note: Bāriʾ is Fāʿil, NOT a mubālagha pattern — this is an important data point against the team-lead's a priori "Faʿʿāl-Mufaʿʿil-Fuʿʿūl over-representation" prediction.
14	المصور	al-Muṣawwir	Mufaʿʿil	Mufaʿʿil	0	fiʿl	1	HIGH	Form-II active participle (ṣawwara → muṣawwir). Sībawayh K vol 4 §60. Form-II intensifies the verb but the participle itself is NOT in the canonical 6-mubālagha. Ghazālī fiʿl-creation. **HASHR-EXCLUSIVE.**
15	الغفار	al-Ghaffār	Faʿʿāl	Faʿʿāl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī iḥsān-forgiveness.
16	القهار	al-Qahhār	Faʿʿāl	Faʿʿāl	1	qudra	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī qudra-overpowering.
17	الوهاب	al-Wahhāb	Faʿʿāl	Faʿʿāl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī iḥsān-bestowal.
18	الرزاق	al-Razzāq	Faʿʿāl	Faʿʿāl	1	fiʿl	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī fiʿl-provision.
19	الفتاح	al-Fattāḥ	Faʿʿāl	Faʿʿāl	1	fiʿl	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī fiʿl-opening (judgment).
20	العليم	al-ʿAlīm	Faʿīl	Faʿīl	1	ʿilm	0	HIGH	Sībawayh K vol 1 §110 mubālagha (Faʿīl). Ghazālī ʿilm.
21	القابض	al-Qābiḍ	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Ghazālī fiʿl-restraint.
22	الباسط	al-Bāsiṭ	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Ghazālī fiʿl-expansion (counter-pair to al-Qābiḍ).
23	الخافض	al-Khāfiḍ	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Ghazālī fiʿl-abasement.
24	الرافع	al-Rāfiʿ	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Ghazālī fiʿl-elevation (counter-pair to al-Khāfiḍ).
