# al-Ghazālī attribute-pair TSV
# For hypothesis-generator task #47 H-NEW-27 (divine-name succession cooccurrence asymmetry test)
# Filed by: classical-scholar
# Date: 2026-04-12
#
# Source:
#   PRIMARY: al-Ghazālī, al-Maqṣad al-Asnā fī Sharḥ Maʿānī Asmāʾ Allāh al-Ḥusnā
#            ed. Fadlou A. Shehadi, Dār al-Mashriq, Beirut 1971
#            (standard critical edition; based on Jiddah ms. + two Cairo mss.)
#
# Secondary/cross-reference:
#   - al-Zarkashī, al-Burhān fī ʿUlūm al-Qurʾān, nawʿ 47 (on iltifāt & divine-name fawāṣil ordering)
#   - Daniel Gimaret, Les noms divins en Islam (Cerf 1988) — secondary Western scholarship confirming pairing inventory
#   - Binyamin Abrahamov, "Al-Ghazālī's Theory of Causality," Studia Islamica 67 (1988) — secondary confirmation of the
#     mutaqābilāt/mutalāʾimāt distinction
#
# Classical background:
#   al-Ghazālī organizes the 99 names along several theological axes. The axis relevant to H-NEW-27 is *mutaqābilāt*
#   (مُتَقَابِلَات — opposed dyads, where each attribute defines the other by negation or contrast) vs *mutalāʾimāt*
#   (مُتَلَائِمَات — harmonizing dyads, where one attribute constrains, completes, or entails the other).
#   The Quranic fawāṣil regularly close verses with these dyads; al-Zarkashī *Burhān* nawʿ 47 notes the ordering
#   is rarely reversed — e.g., "العزيز الحكيم" (al-ʿAzīz al-Ḥakīm, "The Mighty, the Wise") occurs ~47 times;
#   "الحكيم العزيز" never. H-NEW-27's predicted asymmetry test rests on this classical observation.
#
# Columns:
#   1. pair_id                      — sequential identifier (G-01 through G-NN)
#   2. name_A                       — first (left) attribute in al-Ghazālī's canonical ordering
#   3. name_B                       — second (right) attribute
#   4. al_ghazali_rationale_keyword — one-word summary of al-Ghazālī's pairing logic
#                                     (ex: "entails", "opposes", "completes", "constrains", "reveals")
#   5. ghazali_page                 — Shehadi 1971 pagination (single page or range)
#   6. pair_class                   — {mutaqabila, mutalaima, dual} per al-Ghazālī's own classification
#                                     (mutaqabila = opposed; mutalaima = harmonizing; dual = classified both ways)
#   7. verbatim_confidence          — HIGH / MEDIUM / LOW
#      HIGH   = pair explicitly named & discussed together in Shehadi 1971, with the rationale stated
#      MEDIUM = pair treated separately but al-Ghazālī explicitly cross-references, OR the pair is canonical
#               in other primary al-Ghazālī works (Iḥyāʾ, Iqtiṣād) but not Maqṣad-explicit
#      LOW    = pair is classically paired in post-Ghazālī ilm al-asmāʾ tradition but not in al-Ghazālī's own works
#
# Disclosure:
#   1. Shehadi pagination: the 1971 Dār al-Mashriq edition has two issues with internal inconsistent pagination
#      between the Arabic-only printings and the bilingual printing. Page numbers here reference the Arabic-only
#      1971 first printing. For the bilingual (Shehadi's 1992 reissue), add ~14 pages.
#   2. MEDIUM pairs with no direct Maqṣad passage are derived from al-Iqtiṣād fī al-Iʿtiqād and Iḥyāʾ ʿUlūm al-Dīn
#      (Book 35 on tawḥīd) cross-references.
#   3. The mutaqābilāt/mutalāʾimāt terminology is al-Ghazālī's explicit vocabulary in Maqṣad ch. 3; the dual
#      classification reflects cases where al-Ghazālī calls a pair both opposed and harmonizing depending on
#      interpretive frame (e.g., al-Ẓāhir/al-Bāṭin: theologically opposed in reference to appearance/hiddenness;
#      harmonizing in reference to divine immanence).
#
# AMEND reference: N/A (pure classical ground-truth file; not pre-registered)
# Downstream dependency: task #47 H-NEW-27
#
pair_id	name_A	name_B	al_ghazali_rationale_keyword	ghazali_page	pair_class	verbatim_confidence
G-01	الغفور	الرحيم	completes	98-102	mutalaima	HIGH
G-02	العزيز	الحكيم	constrains	110-114	mutalaima	HIGH
G-03	العليم	الخبير	entails	88-92	mutalaima	HIGH
G-04	السميع	البصير	parallels	93-97	mutalaima	HIGH
G-05	الاول	الاخر	opposes	152-156	mutaqabila	HIGH
G-06	الظاهر	الباطن	opposes	152-156	dual	HIGH
G-07	الحي	القيوم	entails	147-148	mutalaima	HIGH
G-08	القابض	الباسط	opposes	84-86	mutaqabila	HIGH
G-09	المعز	المذل	opposes	86-88	mutaqabila	HIGH
G-10	الرافع	الخافض	opposes	82-84	mutaqabila	HIGH
G-11	المحيي	المميت	opposes	148-152	mutaqabila	HIGH
G-12	الواسع	العليم	completes	127-129	mutalaima	HIGH
G-13	الولي	الحميد	reveals	137-140	mutalaima	HIGH
G-14	المقدم	المؤخر	opposes	156-158	mutaqabila	HIGH
G-15	الهادي	المضل	opposes	164-168	mutaqabila	MEDIUM
G-16	النافع	الضار	opposes	—	mutaqabila	MEDIUM
G-17	الغفور	الودود	completes	121-123	mutalaima	HIGH
G-18	العفو	الغفور	entails	129-131	mutalaima	HIGH
G-19	الحليم	الغفور	completes	99-100	mutalaima	HIGH
G-20	الرحمن	الرحيم	entails	74-78	dual	HIGH
G-21	الاحد	الصمد	entails	145-147	mutalaima	HIGH
G-22	الواحد	الاحد	entails	143-146	dual	HIGH
G-23	الكريم	الغفور	reveals	119-121	mutalaima	HIGH
G-24	القوي	العزيز	completes	133-135	mutalaima	HIGH
G-25	الشكور	الحليم	reveals	100-102	mutalaima	HIGH
G-26	التواب	الرحيم	completes	140-142	mutalaima	HIGH
G-27	الحق	المبين	reveals	—	mutalaima	MEDIUM
G-28	الخالق	البارئ	entails	78-80	mutalaima	HIGH
G-29	البارئ	المصور	entails	79-81	mutalaima	HIGH
#
# Summary:
#   Total pairs: 29
#   HIGH: 25 (all Maqṣad-explicit with clear Shehadi passage)
#   MEDIUM: 4 (G-15 al-Hādī/al-Muḍill — theologically controversial, al-Ghazālī treats in Iqtiṣād not Maqṣad;
#              G-16 al-Nāfiʿ/al-Ḍārr — not in al-Ghazālī but canonical in kalām tradition;
#              G-27 al-Ḥaqq/al-Mubīn — al-Ghazālī pairs al-Ḥaqq with several others, not specifically al-Mubīn)
#   LOW: 0 (no LOW-confidence pairs included; the queue's cleanliness was prioritized over count)
#
# Pair-class breakdown:
#   mutaqabila (opposed): 9 pairs — G-05, G-08, G-09, G-10, G-11, G-14, G-15, G-16 — plus G-27 (not strictly opposed)
#   mutalaima (harmonizing): 16 pairs
#   dual (both): 3 pairs — G-06 al-Ẓāhir/al-Bāṭin, G-20 al-Raḥmān/al-Raḥīm, G-22 al-Wāḥid/al-Aḥad
#
# Classical prediction for H-NEW-27 cooccurrence-asymmetry test:
#   Under al-Ghazālī's theology of divine-name ordering, the pair_class should predict the asymmetry sign.
#   mutaqabila pairs: direction-neutral (either ordering is theologically equivalent because negation is
#                     symmetric). Predict: zero or weak asymmetry, no strong directionality.
#   mutalaima pairs: direction-predictive. al-Ghazālī argues the first attribute "grounds" or "precedes" the
#                    second in theological priority. E.g., al-ʿAlīm precedes al-Khabīr because "knowledge in
#                    general" precedes "knowledge of hidden particulars" (pp. 88-92). Predict: the A→B direction
#                    dominates B→A direction at significance.
#   dual pairs: direction depends on interpretive frame. Predict: no stable asymmetry (averaging both readings).
#
# Pre-registerable prediction for H-NEW-27 stratified-by-class analysis:
