surah	verse	surah_name_translit	source	peak_keyword_context	char_pos	confidence	snippet_verbatim
2	1	al-Baqara	biqai-nazm-al-durar	غاية	4093994	MEDIUM	ير عفو، ومن أول السورة إلى هنا تفصيل لقوله تعالى أول البقرة {ذلك الكتاب لا ريب فيه هدى للمتقين الذين يؤمنون بالغيب} [البقرة: 1] مع نظره إلى قوله آخر يوسف {ما كان حديثا يفترى} [يوسف: 111] . # ولما كان الوفاء بالعهد في غاية الشدة على ال
2	2	al-Baqara	biqai-nazm-al-durar	المقصود	399629	MEDIUM	بالإقبال على إصلاح النفس والإحسان إلى الغير مما اتصف به المهتدون في قوله تعالى: {ويقيمون الصلاة ومما رزقناهم ينفقون} [البقرة: 2] ولما كان المقصود من الصلاة قصر الهمة والنية على الحضرة الإلهية وتفريغ البال من جميع الشواغل علم أن التقد
2	3	al-Baqara	biqai-nazm-al-durar	غاية	1389340	MEDIUM	ة التقبيح، وهو كما ترى إقبال متلطف مناد لهم باسم الإيمان الناظر إلى الإنفاق المعرض عن التحصيل {ومما رزقناهم ينفقون} [البقرة: 3] ؛ {والمنفقين والمستغفرين بالأسحار} [آل عمران: 17] ؛ {لن تنالوا البر حتى تنفقوا مما تحبون} [آل عمران: 92] ن
2	6	al-Baqara	biqai-nazm-al-durar	المقصود	569831	MEDIUM	~[البقرة: 8] يعني كما أن في أهل الكتاب منافقين ومصارحين فكذلك في العرب، فصار قوله: {إن ms0331 الذين كفروا سواء عليهم} [البقرة: 6] شاملا للأقسام الأربعة، ثم أتبع ذلك المنافقين من العرب ثم المنافقين والمشاققين من أهل الكتاب ثم المجاهرين
2	8	al-Baqara	biqai-nazm-al-durar	المقصود	569712	MEDIUM	هى. # ولعل الآية ناظرة إلى قوله أول # PageV02P313 # السورة {ومن الناس من يقول آمنا بالله واليوم الآخر وما هم بمؤمنين} [البقرة: 8] يعني كما أن في أهل الكتاب منافقين ومصارحين فكذلك في العرب، فصار قوله: {إن ms0331 الذين كفروا سواء عليهم} [
2	21	al-Baqara	biqai-nazm-al-durar	المقصود	39863	MEDIUM	ن ضمائرهم، فلما تم ذلك وكان المقصود منه الدعاء إلى الله انتهزت تلك الفلبرصة بقوله تعالى (يا أيها الناس اعبدوا ربكم) [البقرة: 21] لما أسس لها من الترغيب بالترهيب، ثم أقيم الدليل على حقية نظمه بتقصيرهم عن مدى سهمه، فرجع حاصل ذلك إلى إ
2	24	al-Baqara	biqai-nazm-al-durar	المقصود	9894031	MEDIUM	04 # أنها تقع للمضارع الذي لم يقع سواء كان في غاية القرب من الحال أم لا، كما نقلته عنه في أول البقرة عند {ولن تفعلوا} [البقرة: 24] على أن نطقنا بهذا الكلام لا يكاد يتحقق حتى يمضي زمن فيصير مستقبلا، فلذا عبر ب «لا» دون «ما» بشارة بأنه
2	28	al-Baqara	biqai-nazm-al-durar	المقصود	2794297	MEDIUM	سياق خطابة سبحانه لجميع الناس بقوله: {اعبدوا ربكم الذي خلقكم} [البقرة: 21] {كيف تكفرون بالله وكنتم أمواتا فأحياكم} [البقرة: 28] وما شاكله من الاستعطاف بتعداد النعم ودفع النقم - والله أعلم. # PageV08P070 # ولما استفيد من كلامه لهم غاي
2	29	al-Baqara	biqai-nazm-al-durar	المقصود	542054	MEDIUM	ن ذلك؛ ولا يبعد عندي وإن بعد المدى أن تكون الواو في قوله {وإلهكم} عاطفة على قوله في أوائل السورة # {وهو بكل شيء عليم} [البقرة: 29] قبل قوله {وإذ قال ربك للملائكة إني جاعل في الأرض خليفة} [البقرة: 30] فإن التوحيد هو المقصود بالذات وعنه ~
2	30	al-Baqara	biqai-nazm-al-durar	المقصود	542125	MEDIUM	فة على قوله في أوائل السورة # {وهو بكل شيء عليم} [البقرة: 29] قبل قوله {وإذ قال ربك للملائكة إني جاعل في الأرض خليفة} [البقرة: 30] فإن التوحيد هو المقصود بالذات وعنه تنشأ جميع العبادات، فلما قال أولا {يا أيها الناس اعبدوا ربكم} [البقرة:
