surah	verse	surah_name_translit	biqai_keyword	razi_keyword	confidence	biqai_snippet	razi_snippet
2	2	al-Baqara	المقصود	المقصود	HIGH	بالإقبال على إصلاح النفس والإحسان إلى الغير مما اتصف به المهتدون في قوله تعالى: {ويقيمون الصلاة ومما رزقناهم ينفقون} [البقرة: 2] ولما كان المقصود من الصلاة قصر الهمة والنية على الحضرة الإلهية وتفريغ البال من جميع الشواغل علم أن التقد	العلماء بهذا البيان لوجوه أحدها: أنهم هم الذين ينتفعون بالآيات فغيرهم بمنزلة من لا يعتد به، وهو كقوله: هدى للمتقين [البقرة: 2] والثاني: أنه خصصهم بالذكر كقوله: وملائكته ورسله وجبريل وميكال [البقرة: 98] والثالث: يعني به العرب لعلمهم ب
2	3	al-Baqara	غاية	غاية	HIGH	ة التقبيح، وهو كما ترى إقبال متلطف مناد لهم باسم الإيمان الناظر إلى الإنفاق المعرض عن التحصيل {ومما رزقناهم ينفقون} [البقرة: 3] ؛ {والمنفقين والمستغفرين بالأسحار} [آل عمران: 17] ؛ {لن تنالوا البر حتى تنفقوا مما تحبون} [آل عمران: 92] ن	إقرار، واحتج أصحابنا على فساد هذا المذهب بوجوه: أحدها: أنا بينا بالدلائل الكثيرة في تفسير قوله: # الذين يؤمنون بالغيب [البقرة: 3] أن الإيمان عبارة عن التصديق بالقلب وثانيها: قوله تعالى: ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم
2	8	al-Baqara	المقصود	غاية	HIGH	هى. # ولعل الآية ناظرة إلى قوله أول # PageV02P313 # السورة {ومن الناس من يقول آمنا بالله واليوم الآخر وما هم بمؤمنين} [البقرة: 8] يعني كما أن في أهل الكتاب منافقين ومصارحين فكذلك في العرب، فصار قوله: {إن ms0331 الذين كفروا سواء عليهم} [	] أن الإيمان عبارة عن التصديق بالقلب وثانيها: قوله تعالى: ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين [البقرة: 8] ولو كان الإيمان عبارة عن مجرد الإقرار لكان قوله تعالى: ما هم بمؤمنين كذبا وثالثها: قوله: قالت الأعراب آمنا
2	21	al-Baqara	المقصود	غرض	HIGH	ن ضمائرهم، فلما تم ذلك وكان المقصود منه الدعاء إلى الله انتهزت تلك الفلبرصة بقوله تعالى (يا أيها الناس اعبدوا ربكم) [البقرة: 21] لما أسس لها من الترغيب بالترهيب، ثم أقيم الدليل على حقية نظمه بتقصيرهم عن مدى سهمه، فرجع حاصل ذلك إلى إ	تلاء في حقه؟ # والجواب: أن هذا الكلام على سبيل الاستقصاء ذكرناه في تفسير قوله تعالى في أول سورة البقرة: # لعلكم تتقون [البقرة: 21] . # واعلم أنه تعالى لما بين أنه خلق هذا العالم لأجل ابتلاء المكلفين وامتحانهم فهذا يوجب القطع بحصول الحشر
2	28	al-Baqara	المقصود	غاية	HIGH	سياق خطابة سبحانه لجميع الناس بقوله: {اعبدوا ربكم الذي خلقكم} [البقرة: 21] {كيف تكفرون بالله وكنتم أمواتا فأحياكم} [البقرة: 28] وما شاكله من الاستعطاف بتعداد النعم ودفع النقم - والله أعلم. # PageV08P070 # ولما استفيد من كلامه لهم غاي	تفاع- وإليها الإشارة بقوله تعالى: وقد خلقتك من قبل ولم تك شيئا [مريم: 9] وقوله: كيف تكفرون بالله وكنتم أمواتا فأحياكم [البقرة: 28]- الآية والمرتبة الثانية- وهي خلق المنتفع به- وإليها الإشارة بقوله تعالى: هو الذي خلق لكم ما في الأرض جم
2	29	al-Baqara	المقصود	غاية	HIGH	ن ذلك؛ ولا يبعد عندي وإن بعد المدى أن تكون الواو في قوله {وإلهكم} عاطفة على قوله في أوائل السورة # {وهو بكل شيء عليم} [البقرة: 29] قبل قوله {وإذ قال ربك للملائكة إني جاعل في الأرض خليفة} [البقرة: 30] فإن التوحيد هو المقصود بالذات وعنه ~	شرف الخلائق وهذا متأكد بقوله: # وسخر لكم ما في الأرض [الحج: 65] ثم أكد هذا التعميم بقوله: خلق لكم ما في الأرض جميعا [البقرة: 29] فبلغ آدم في منصب الخلافة إلى أعلى الدرجات فالدنيا خلقت متعة لبقائه والآخرة مملكة لجزائه وصارت الشياطين مل
2	30	al-Baqara	المقصود	المقصود	HIGH	فة على قوله في أوائل السورة # {وهو بكل شيء عليم} [البقرة: 29] قبل قوله {وإذ قال ربك للملائكة إني جاعل في الأرض خليفة} [البقرة: 30] فإن التوحيد هو المقصود بالذات وعنه تنشأ جميع العبادات، فلما قال أولا {يا أيها الناس اعبدوا ربكم} [البقرة:	سبحانك اللهم وبحمدك» لا بد من البحث عنه فإنه لا يدري أن هذه الباء بماذا تتعلق، وكذلك البحث عن قوله: ونحن نسبح بحمدك [البقرة: 30] فإنه ms0116 يجب البحث عن هذه الباء. # (د) قيل: كل العلوم مندرج في الكتب الأربعة، وعلومها في القرآن، وعلوم ~
2	40	al-Baqara	المقصود	غاية	HIGH	حل بيد الشرع القوية، تذكيرا بما أشار إليه قوله تعالى في حق أولئك {اذكروا نعمتي وأوفوا بعهدي أوف بعهدكم وإياي فارهبون} [البقرة: 40] وإخبارا لهم بأنه أحل لهم ما حرم على أولئك، فقال على سبيل التعليل مشيرا إلى أن المقصود من النعمة كونها،	اب أن بين الرب وبين العبد عهدا كما قال تعالى: وأوفوا بعهد الله إذا عاهدتم [النحل: 91] وقال: وأوفوا بعهدي أوف بعهدكم [البقرة: 40] فكأن العبد يقول أنا مع لؤم الإنسانية ونقص البشرية وفيت بعهد عبوديتي حيث قلت: «أعوذ بالله» فأنت مع نهاية ا
2	67	al-Baqara	مقصود	غاية	HIGH	ر الأمر، فهي للعون بخير الأمر، والفلق للعوذ من شر الخلق المحصي لكل خير، وفي البقرة # {أعوذ بالله أن أكون من الجاهلين} [البقرة: 67] {يعلمون الناس السحر} [البقرة: 102]- الآيات، {ود كثير من أهل الكتاب لو يردونكم من بعد إيمانكم كفارا حسدا	ن. قال تعالى: يعملون السوء بجهالة [النساء: 17] وقال تعالى حكاية عن موسى عليه السلام: أعوذ بالله أن أكون من الجاهلين [البقرة: 67] . # الوجه الخامس: أن نوحا عليه السلام اعترف بإقدامه على الذنب والمعصية في هذا المقام فإنه قال: إني أعوذ ب
2	109	al-Baqara	المقصود	غرض	HIGH	جة قاطعة وآية باهرة. # ولما أعقب تعالى قصصهم في البقرة بأمره نبيه والمؤمنين بالعفو والصفح فقال تعالى {فاعفوا واصفحوا} [البقرة: 109] أعقب تعالى أيضا هنا بقوله لنبيه عليه الصلاة والسلام {خذ العفو وأمر بالعرف وأعرض عن الجاهلين} [الأعراف:	م اليهود، ونظير قوله تعالى في سورة البقرة: ود كثير من أهل الكتاب لو يردونكم من بعد إيمانكم كفارا حسدا من عند أنفسهم [البقرة: 109] وقوله ودوا لو تكفرون كما كفروا فتكونون سواء [النساء: 89] . # واعلم أن (من) هاهنا للتبعيض وإنما ذكر بعضهم
