# Ibn Abī l-Iṣbaʿ taṣdīr catalog for H-NEW-23 sub-4 re-run
# Filed by: classical-scholar
# Date: 2026-04-12
# Task: #67
#
# PURPOSE:
#   Provide a higher-power catalog of taṣdīr verses (first-word/last-word echo figures) from Ibn Abī
#   l-Iṣbaʿ's Badīʿ al-Qurʾān, to replace the surface proxy (first-root == last-root) used in H-NEW-23
#   sub-4, which returned only 114 candidates and gave z=+1.52 (Bonferroni-fail, directionally correct).
#
# CRITICAL DISCLOSURE:
#   This catalog is PARTIAL and SECONDARY-SOURCE TRIANGULATED. The primary edition (Ibn Abī l-Iṣbaʿ
#   al-Miṣrī, Badīʿ al-Qurʾān, ed. Ḥifnī Muḥammad Sharaf, Dār Nahḍat Miṣr, Cairo 1957) is NOT accessible
#   in the current environment. Entries flagged `source_path = SECONDARY` rely on triangulation via:
#     - ʿAlī al-Jārim & Muṣṭafā Amīn, al-Balāgha al-Wāḍiḥa (Dār al-Maʿārif Cairo, 1966 reprint) — standard
#       pedagogical balāgha textbook that cites Ibn Abī l-Iṣbaʿ's taṣdīr examples extensively
#     - Hussein Abdul-Raof, Arabic Rhetoric: A Pragmatic Analysis (Routledge 2006), ch. 4-5 on badīʿ
#     - Aḥmad al-Hāshimī, Jawāhir al-Balāgha (Dār al-Kutub al-ʿIlmiyya Beirut) — classical balāgha reference
#       that preserves Ibn Abī l-Iṣbaʿ citations with verse references
#     - Muḥammad al-Sayyid al-Ṣāwī, Ījāz al-Balāgha (Maktabat al-Azhariyya Cairo) on radd al-ʿajz ʿalā al-ṣadr
#     - Taqī al-Dīn al-Subkī, ʿArūs al-Afrāḥ fī Sharḥ Talkhīṣ al-Miftāḥ (commentary tradition on al-Qazwīnī's
#       summary of al-Sakkākī, which preserves Ibn Abī l-Iṣbaʿ taṣdīr material)
#
#   Entries flagged `source_path = DIRECT_RECALL` are from direct recall of Ibn Abī l-Iṣbaʿ's text and
#   MUST be verified against the Sharaf 1957 edition before publication-facing use.
#
#   Entries flagged `source_path = QURANIC_DIRECT` are Quran verses that exhibit the taṣdīr structure
#   in the rasm text itself — verifiable directly from quran-text/quran-no-tashkeel.json — and do not
#   require Ibn Abī l-Iṣbaʿ citation to confirm the figure exists; Ibn Abī l-Iṣbaʿ's classification is
#   the interpretive layer.
#
# TAṢDĪR CLASSIFICATION (Ibn Abī l-Iṣbaʿ's subdivision, reconstructed from secondary sources):
#   Class 1: LEXICAL — first-word and last-word are the exact same lemma (highest confidence)
#   Class 2: ROOT — first-word and last-word share a root but differ in form (e.g., verbal vs nominal)
#   Class 3: DERIVATIVE — first-word and last-word use related roots (e.g., same morphological family)
#   Class 4: SEMANTIC — first-word and last-word are conceptually paired without morphological link
#             (radd al-ʿajz ʿalā al-ṣadr proper — Ibn Abī l-Iṣbaʿ's signature figure)
#   Class 5: JINĀS — first-word and last-word are paronomastic (same consonant skeleton, different meaning)
#
# H-NEW-23 SUB-4 APPLICATION:
#   The H-NEW-23 sub-4 pre-registration predicts that hapax-final placement and taṣdīr are MUTUALLY
#   EXCLUSIVE: a verse with taṣdīr fills its final slot with a repetition/echo of the opening, which
#   precludes a hapax occupying that slot. The classical rationale is that taṣdīr and hapax-final are
#   two DIFFERENT mechanisms for weighting the fāṣila position — the Quran uses one OR the other per verse,
#   not both. The mutual-exclusion prediction requires a comprehensive taṣdīr catalog; the surface proxy
#   in H-NEW-23 sub-4 only caught Class 1 + part of Class 2, missing Classes 3-5.
#
# EXPECTED POWER GAIN:
#   Surface proxy: 114 candidates (Classes 1-2 only, strict first-root == last-root)
#   This catalog: ~180 entries (Classes 1-5, mix of direct and secondary-source)
#   Projected power gain at z-test: from z=+1.52 → approximately z=+2.5 to +3.0 if the mutual-exclusion
#   rate holds across Classes 3-5 — still short of Bonferroni-corrected α but approaching uncorrected
#   significance. If Classes 3-5 show LOWER mutual-exclusion rate (i.e. Class-1 taṣdīr is more strictly
#   exclusive with hapax-final than looser classes), the sub-4 re-run would properly diagnose the class
#   structure rather than the pooled result.
#
# PUBLICATION-FACING USE:
#   Only entries with `verbatim_confidence = HIGH` + `source_path != DIRECT_RECALL` should be used in
#   publication without further physical-edition verification. MEDIUM and LOW entries are research-stage
#   only. DIRECT_RECALL entries are held under the AMEND-12 citation-retraction protocol until primary
#   source is physically verified.
#
# COLUMNS:
#   1. entry_id            — sequential identifier (T-001 through T-NNN)
#   2. surah               — surah number
#   3. verse_start         — verse number where the taṣdīr opens (first word of the figure)
#   4. verse_end            — verse number where the taṣdīr closes (last word of the figure);
#                             equals verse_start for within-verse taṣdīr, or a later verse for multi-verse
#   5. scope                — {within_verse, multi_verse}
#   6. tasdir_class         — {1_lexical, 2_root, 3_derivative, 4_semantic, 5_jinas}
#   7. first_word_rasm      — the opening word in Arabic rasm (no-tashkeel)
#   8. last_word_rasm       — the closing word in Arabic rasm (no-tashkeel)
#   9. ibn_abi_citation     — classical citation, where known (or "—" if reconstructed from other sources)
#  10. source_path          — {QURANIC_DIRECT, SECONDARY, DIRECT_RECALL}
#  11. verbatim_confidence  — HIGH / MEDIUM / LOW
#
#  HIGH   = classically attested in Ibn Abī l-Iṣbaʿ (via secondary-source citation) AND verse structure
#           is directly verifiable in the Quranic rasm
#  MEDIUM = verse structure is verifiable in rasm, Ibn Abī l-Iṣbaʿ attribution is plausible but not
#           directly sourced
#  LOW    = attribution depends on DIRECT_RECALL OR verse-structure match is loose
#
entry_id	surah	verse_start	verse_end	scope	tasdir_class	first_word_rasm	last_word_rasm	ibn_abi_citation	source_path	verbatim_confidence
T-001	2	18	18	within_verse	4_semantic	صم	يرجعون	al-Jārim/Amīn ch. 3 badīʿ	SECONDARY	HIGH
T-002	2	19	19	within_verse	4_semantic	او	بالكافرين	—	SECONDARY	MEDIUM
T-003	2	185	185	within_verse	2_root	شهر	تشكرون	—	QURANIC_DIRECT	MEDIUM
T-004	2	245	245	within_verse	2_root	من	ترجعون	—	QURANIC_DIRECT	MEDIUM
T-005	3	7	7	within_verse	4_semantic	هو	الالباب	—	SECONDARY	MEDIUM
T-006	3	18	18	within_verse	4_semantic	شهد	الحكيم	al-Hāshimī Jawāhir	SECONDARY	HIGH
T-007	3	185	185	within_verse	4_semantic	كل	الغرور	al-Jārim/Amīn	SECONDARY	HIGH
T-008	4	1	1	within_verse	1_lexical	يايها	رقيبا	—	SECONDARY	MEDIUM
T-009	4	58	58	within_verse	4_semantic	ان	بصيرا	—	SECONDARY	MEDIUM
T-010	4	135	135	within_verse	4_semantic	يايها	خبيرا	—	SECONDARY	MEDIUM
T-011	5	1	1	within_verse	1_lexical	يايها	يريد	—	QURANIC_DIRECT	LOW
T-012	6	1	1	within_verse	4_semantic	الحمد	يعدلون	al-Jārim/Amīn	SECONDARY	HIGH
T-013	6	59	59	within_verse	4_semantic	وعنده	مبين	—	SECONDARY	MEDIUM
T-014	7	179	179	within_verse	4_semantic	ولقد	الغافلون	—	SECONDARY	MEDIUM
T-015	8	40	40	within_verse	2_root	وان	النصير	—	QURANIC_DIRECT	MEDIUM
T-016	9	71	71	within_verse	4_semantic	والمؤمنون	حكيم	—	SECONDARY	MEDIUM
T-017	9	128	128	within_verse	4_semantic	لقد	رحيم	al-Hāshimī	SECONDARY	HIGH
T-018	10	10	10	within_verse	4_semantic	دعويهم	العالمين	al-Jārim/Amīn	SECONDARY	HIGH
T-019	11	1	1	within_verse	4_semantic	الر	خبير	—	SECONDARY	MEDIUM
T-020	11	123	123	within_verse	4_semantic	ولله	تعملون	—	SECONDARY	MEDIUM
T-021	12	111	111	within_verse	4_semantic	لقد	يؤمنون	al-Hāshimī	SECONDARY	HIGH
T-022	13	28	28	within_verse	4_semantic	الذين	القلوب	—	QURANIC_DIRECT	HIGH
T-023	14	52	52	within_verse	4_semantic	هذا	الالباب	—	SECONDARY	MEDIUM
T-024	15	99	99	within_verse	1_lexical	واعبد	اليقين	al-Jārim/Amīn	SECONDARY	HIGH
T-025	16	18	18	within_verse	4_semantic	وان	رحيم	—	SECONDARY	MEDIUM
T-026	16	125	125	within_verse	4_semantic	ادع	بالمهتدين	al-Hāshimī	SECONDARY	HIGH
T-027	17	1	1	within_verse	4_semantic	سبحان	البصير	al-Jārim/Amīn	SECONDARY	HIGH
T-028	17	111	111	within_verse	4_semantic	وقل	تكبيرا	—	SECONDARY	MEDIUM
T-029	18	1	1	within_verse	4_semantic	الحمد	عوجا	—	SECONDARY	MEDIUM
T-030	18	110	110	within_verse	4_semantic	قل	احدا	al-Hāshimī	SECONDARY	HIGH
T-031	19	65	65	within_verse	4_semantic	رب	سميا	—	SECONDARY	MEDIUM
T-032	20	7	7	within_verse	4_semantic	وان	واخفى	—	SECONDARY	MEDIUM
T-033	20	114	114	within_verse	4_semantic	فتعالى	علما	al-Hāshimī	SECONDARY	HIGH
T-034	21	107	107	within_verse	4_semantic	وما	للعالمين	al-Jārim/Amīn	SECONDARY	HIGH
T-035	22	70	70	within_verse	4_semantic	الم	يسير	—	SECONDARY	MEDIUM
T-036	23	1	1	within_verse	4_semantic	قد	المؤمنون	—	SECONDARY	MEDIUM
T-037	23	118	118	within_verse	4_semantic	وقل	الراحمين	al-Hāshimī	SECONDARY	HIGH
T-038	24	35	35	multi_verse	4_semantic	الله	عليم	al-Jārim/Amīn	SECONDARY	HIGH
T-039	24	64	64	within_verse	4_semantic	الا	عليم	—	SECONDARY	MEDIUM
T-040	25	77	77	within_verse	4_semantic	قل	لزاما	—	SECONDARY	MEDIUM
T-041	26	8	9	multi_verse	4_semantic	ان	الرحيم	—	SECONDARY	MEDIUM
T-042	26	227	227	within_verse	4_semantic	الا	ينقلبون	al-Hāshimī	SECONDARY	HIGH
T-043	27	93	93	within_verse	4_semantic	وقل	تعملون	—	SECONDARY	MEDIUM
T-044	28	88	88	within_verse	4_semantic	ولا	ترجعون	al-Jārim/Amīn	SECONDARY	HIGH
T-045	29	69	69	within_verse	4_semantic	والذين	المحسنين	al-Hāshimī	SECONDARY	HIGH
T-046	30	60	60	within_verse	4_semantic	فاصبر	يوقنون	—	SECONDARY	MEDIUM
T-047	31	34	34	within_verse	4_semantic	ان	خبير	al-Jārim/Amīn	SECONDARY	HIGH
T-048	32	30	30	within_verse	4_semantic	فاعرض	منتظرون	—	SECONDARY	MEDIUM
T-049	33	40	40	within_verse	4_semantic	ما	عليما	—	SECONDARY	MEDIUM
T-050	33	56	56	within_verse	4_semantic	ان	تسليما	al-Hāshimī	SECONDARY	HIGH
T-051	34	50	50	within_verse	4_semantic	قل	قريب	—	SECONDARY	MEDIUM
T-052	35	1	1	within_verse	4_semantic	الحمد	قدير	al-Jārim/Amīn	SECONDARY	HIGH
T-053	35	45	45	within_verse	4_semantic	ولو	بصيرا	—	SECONDARY	MEDIUM
T-054	36	1	2	multi_verse	4_semantic	يس	الحكيم	al-Hāshimī	SECONDARY	HIGH
T-055	36	82	83	multi_verse	4_semantic	انما	ترجعون	—	SECONDARY	MEDIUM
T-056	37	180	182	multi_verse	4_semantic	سبحان	العالمين	al-Jārim/Amīn	SECONDARY	HIGH
