finding_id	test_name	observed_z_or_p	bonferroni_k	rules_tuple_summary	baseline_corpus	verdict	mw_compliance	parent_finding_id	classical_anchor
# META-NOTES
# Sorted by |headline statistic| descending. |z| floor of 15 assigned to "p≈0" entries where paper reports only p; paper-reported z used where available.
# rules_tuple_summary abbreviation: NT=no-tashkeel, OT=orthographic-token, LEM=QAC-lemma, GR=graphemes, B1=basmala-counted-only-in-surah-1, HK=Hafs-Kufan, MQ=Mashriqi. Default tuple = (NT, OT/LEM, GR, B1, HK, MQ).
# baseline_corpus: prose-pooled = Bukhari+Sira+Jahiz; multi4 = Bukhari+Sira+Jahiz+Muallaqat; multi5 = multi4+Mutanabbi.
# mw_compliance: hyphen-separated list of MW-norms the finding satisfies (+) or violates (-). N/A for anchors/derived.
# parent_finding_id: blank = independent; otherwise the parent whose lineage extends.
# classical_anchor format: Scholar, Work [MW-6 tag] (VERIFIED/PENDING/SECONDARY-TRIANGULATED/NONE).
# ============================================================================
# SECTION 1: TIER-A ANCHOR-CLASS CONFIRMED FINDINGS (|z|>=15 or p<10^-15)
# ============================================================================
MASTER-§1-#30 / X-4 / T4	Simultaneous N-constraint density vs matched-Arabic (KS)	KS D=0.1092, p=8.7e-33; fallback p=3.0e-69; tail-k>=8 z=+6.73	5 (Tomorrow-Tests family)	NT,OT,GR,B1,HK,MQ	multi4 (Bukhari+Sira+Jahiz+Muallaqat)	CONFIRMED	MW-1+ MW-5+ MW-6+ MW-7+	T4 (Tomorrow-Tests)	al-Jurjani, Dalail al-Ijaz pp.44-81 (Shakir 1984) [SECONDARY-TRIANGULATED]
MASTER-§1-#3 / H-NEW-23	Hapax-verse-final slot within-verse z-test	z=+10.61; p≈0; OR=3.19; parent p=7.35e-29	4 (H-NEW-23 sub-tests)	NT,LEM,GR,B1,HK,MQ	within-verse slot-control + Muallaqat positive-control	CONFIRMED	MW-1+ MW-5+ MW-6+ MW-7+	H-NEW-23 / hapax-legomena	al-Zarkashi, Burhan nawʿ 59 §4 "al-maqsuda li-ghayriha" [SECONDARY-TRIANGULATED]
MASTER-§3c / H-NEW-20 (face)	al-Razi linear nazm — verse-similarity autocorrelation (face-value)	Stouffer Z=+30.76	5 (classical naẓm family)	NT,LEM,GR,B1,HK,MQ	within-surah verse-order shuffle	CONFIRMED-SUPERSEDED-by-MW1	MW-1- MW-5+ MW-7+	H-NEW-20	al-Razi, Mafatih al-Ghayb [SECONDARY-TRIANGULATED]
MASTER-§3c / H-NEW-20 (MW-1 strict)	al-Razi linear nazm — length-residualized short-stratum strict	Z=+9.57 (short-stratum); Z=+22.78 IV-weighted	5	NT,LEM,GR,B1,HK,MQ	within-surah verse-order shuffle + OLS length residual	PARTIAL	MW-1+ MW-5+ MW-7+	H-NEW-20	al-Razi, Mafatih al-Ghayb [SECONDARY-TRIANGULATED]
