surah,verse,n_tags,tags,brief_note
1,1,29,balagha;basmala;code19-audit;color;deep-hypothesis;divine-name-cluster;divine-name-pair-ending;divine-names;divine-names-topic;dual-form-topic;fatiha;fatiha-finding;gematria;ikhlas-muawwidhat-finding;info-theory;jesus-engagement;maryam-finding;muqattaat;numerical-coincidence;numerical-sequence;palindrome;phonaesthetic;rahman-finding;rhetorical-Q-topic;saj-rhyme;self-reference;surah-boundary;vocative-topic;zipf,balagha=balagha-mapping.md | basmala=Basmala of Fatiha (counted as verse 1) | code19-audit=code19-khalifa-full-audit.md | color=colors-in-quran.md | deep-hypothesis=deep-hypotheses-queue.md
1,2,26,ayat-al-kursi-finding;chiastic;cosmology-audit;crypto-signature;deep-hypothesis;divine-names;earth-sciences-audit;fatiha;fatiha-finding;ikhlas-muawwidhat-finding;ilm-al-harf;info-theory;kahf-finding;metal-mineral;moses-finding;mutashabih-lafzi;numerical-coincidence;paired-opposite;phonaesthetic;prophecy-audit;prophet-pericope;saj-rhyme;scholar-commentary;surah-boundary;surah-ending;zipf,ayat-al-kursi-finding=ayat-al-kursi.md | chiastic=chiastic-audit.md | cosmology-audit=cosmology-audit.md | crypto-signature=cryptographic-signatures.md | deep-hypothesis=deep-hypotheses-queue.md
1,3,23,chiastic;cross-textual;deep-hypothesis;divine-name-pair-ending;divine-names;divine-names-topic;emotion;fatiha;form-content-outlier;gematria;ilm-al-harf;kahf-finding;maryam-finding;muqattaat;numerical-coincidence;paired-opposite;phonaesthetic;quotation-topic;rahma-baseline;ring-center;self-reference;surah-boundary;zipf,chiastic=chiastic-audit.md | cross-textual=cross-textual-baseline.md | deep-hypothesis=deep-hypotheses-queue.md | divine-name-pair-ending=al-Rahman|al-Rahim | divine-names=2 name(s): al-Rahman|al-Rahim
1,4,29,angel;balagha;chiastic;cross-textual;deep-hypothesis;fatiha;hadid-finding;ikhlas-muawwidhat-finding;ilm-al-harf;iltifat-topic;imperative-topic;info-theory;metal-mineral;muqattaat;muqattaat-gradient;numerical-coincidence;paired-opposite;phonaesthetic;prime-mod;quotation-topic;rahma-baseline;razi-99names;rhetorical-Q-topic;root-cartography;saj-rhyme;scientific-foreknowledge;surah-boundary;yawm;zipf,angel=angels-catalog.md | balagha=balagha-mapping.md | chiastic=chiastic-audit.md | cross-textual=cross-textual-baseline.md | deep-hypothesis=deep-hypotheses-queue.md
1,5,29,angel;chrono-critical;code19-audit;convergence;covenant;cross-textual;deep-hypothesis;dual-form-topic;earth-sciences-audit;fatiha;fatiha-finding;form-content-outlier;gematria;iltifat;iltifat-topic;kahf-finding;moses-finding;muqattaat;muqattaat-gradient;numerical-coincidence;numerical-sequence;oath-topic;paired-opposite;prime-mod;prophet-micro-ring;rahma-baseline;saj-rhyme;surah-boundary;zipf,angel=angels-catalog.md | chrono-critical=chronological-revelation.md | code19-audit=code19-khalifa-full-audit.md | convergence=convergence-analysis.md | covenant=covenant-language.md
1,6,14,divine-names-topic;earth-sciences-audit;fatiha;fatiha-finding;iltifat;imperative;jinn;kahf-finding;middle-ayah;numerical-coincidence;paired-opposite;phonaesthetic;yawm;zipf,divine-names-topic=divine-names-distribution.md | earth-sciences-audit=earth-sciences-audit.md | fatiha=Opening surah — core liturgical unit | fatiha-finding=al-fatiha-deep-dive.md | iltifat=inter:1->2
1,7,17,chrono-critical;cross-textual;emotion;fatiha;fatiha-finding;form-content-outlier;gematria;hapax;ilm-al-harf;info-theory;negation;numerical-coincidence;paired-opposite;phonaesthetic;prime-mod;saj-rhyme;zipf,chrono-critical=chronological-revelation.md | cross-textual=cross-textual-baseline.md | emotion=emotion-vocabulary.md | fatiha=Opening surah — core liturgical unit | fatiha-finding=al-fatiha-deep-dive.md
2,1,13,cross-textual;ikhlas-muawwidhat-finding;loan-word;medinan-transition;muhkam-mutashabih;muqatta-opener;numerical-coincidence;prophet-pericope;razi-99names;saj-rhyme;surah-boundary;word-pair;yawm,cross-textual=cross-textual-baseline.md | ikhlas-muawwidhat-finding=ikhlas-muawwidhat.md | loan-word=foreign-loan-words.md | medinan-transition=Opening of first Medinan surah | muhkam-mutashabih=muhkam-mutashabih.md
2,2,15,asbab-nuzul;cross-textual;divine-names-topic;dual-form-topic;gematria;hadid-finding;imperative-topic;nafs-theology;negation;numerical-coincidence;paired-opposite;quotation-topic;saj-rhyme;self-reference;vocative-topic,asbab-nuzul=asbab-nuzul.md | cross-textual=cross-textual-baseline.md | divine-names-topic=divine-names-distribution.md | dual-form-topic=dual-form-mapping.md | gematria=gematria-landscape.md
2,3,8,gematria;iltifat;muhkam-mutashabih;numerical-coincidence;paired-opposite;prophecy-audit;quotation-topic;surah-ending,gematria=gematria-landscape.md | iltifat=intra-strict:two_verbs | muhkam-mutashabih=muhkam-mutashabih.md | numerical-coincidence=numerical-coincidences.md | paired-opposite=paired-opposites-network.md
2,4,6,chiastic;chrono-critical;numerical-coincidence;numerical-sequence;palindrome;rahman-finding,chiastic=chiastic-audit.md | chrono-critical=chronological-revelation.md | numerical-coincidence=numerical-coincidences.md | numerical-sequence=numerical-sequences.md | palindrome=palindromes.md
2,5,11,chrono-critical;convergence;cross-textual;form-content-outlier;hapax-topic;info-theory;mutashabih-lafzi;numerical-coincidence;oath-topic;paired-opposite;verse-length-outlier,chrono-critical=chronological-revelation.md | convergence=convergence-analysis.md | cross-textual=cross-textual-baseline.md | form-content-outlier=form-meets-content-outliers.md | hapax-topic=hapax-legomena-catalog.md
2,6,10,chiastic;cross-textual;iltifat;paired-opposite;palindrome;phonaesthetic;rhetorical-Q-topic;ring-center;saj-rhyme;scholar-commentary,chiastic=chiastic-audit.md | cross-textual=cross-textual-baseline.md | iltifat=intra-strict:two_verbs | paired-opposite=paired-opposites-network.md | palindrome=palindromes.md
2,7,7,chrono-critical;divine-names;numerical-coincidence;phonaesthetic;qalb-theology;saj-rhyme;surah-boundary,chrono-critical=chronological-revelation.md | divine-names=1 name(s): Allah | numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md | qalb-theology=qalb-theology.md
2,8,15,cross-textual;divine-names;divine-names-topic;iltifat;info-theory;moses-finding;paired-opposite;prophet-micro-ring;prophet-pericope;quotation;quotation-topic;scientific-foreknowledge;sensory;surah-boundary;yawm,cross-textual=cross-textual-baseline.md | divine-names=2 name(s): al-Akhir|Allah | divine-names-topic=divine-names-distribution.md | iltifat=intra-strict:two_verbs; inter:3->1 | info-theory=information-theory.md
2,9,10,chrono-critical;divine-names;divine-names-topic;ilm-al-harf;iltifat;innama-topic;jinas;numerical-coincidence;quotation-topic;saj-rhyme,chrono-critical=chronological-revelation.md | divine-names=1 name(s): Allah | divine-names-topic=divine-names-distribution.md | ilm-al-harf=ilm-al-harf-tests.md | iltifat=inter:1->3
2,10,6,divine-names;jinas;numerical-coincidence;paradise-hell;phonaesthetic;qalb-theology,divine-names=1 name(s): Allah | jinas=jinas-wordplay.md | numerical-coincidence=numerical-coincidences.md | paradise-hell=paradise-hell-names.md | phonaesthetic=phonaesthetics.md
2,11,8,hapax-topic;iltifat;iltifat-topic;innama;innama-topic;palindrome;prohibitive;quotation,hapax-topic=hapax-legomena-catalog.md | iltifat=intra-strict:two_verbs | iltifat-topic=iltifat-catalog.md | innama=count=1 | innama-topic=innama-formula.md
2,12,2,hadid-finding;numerical-coincidence,hadid-finding=hadid-deep-dive.md | numerical-coincidence=numerical-coincidences.md
2,13,10,cross-textual;form-content-outlier;ilm-al-harf;iltifat;imperative;intra-xref;jinas;numerical-coincidence;quotation;rhetorical-question,cross-textual=cross-textual-baseline.md | form-content-outlier=form-meets-content-outliers.md | ilm-al-harf=ilm-al-harf-tests.md | iltifat=intra-strict:two_verbs | imperative='aAmana
2,14,8,angel;balagha;iblis;iltifat;innama;innama-topic;phonaesthetic;quotation,angel=angels-catalog.md | balagha=balagha-mapping.md | iblis=iblis-satan.md | iltifat=intra-strict:two_verbs | innama=count=1
2,15,3,divine-names;numerical-coincidence;phonaesthetic,divine-names=1 name(s): Allah | numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md
2,16,5,balagha;divine-names-topic;hapax;iltifat-topic;phonaesthetic,"balagha=balagha-mapping.md | divine-names-topic=divine-names-distribution.md | hapax=root-hapax:rbH (lemma=rabiHat, root=rbH) | iltifat-topic=iltifat-catalog.md | phonaesthetic=phonaesthetics.md"
2,17,10,cross-textual;divine-names;fire-light;hapax;metal-mineral;numerical-coincidence;parable;parable-topic;paradise-hell;phonaesthetic,"cross-textual=cross-textual-baseline.md | divine-names=1 name(s): Allah | fire-light=fire-light-vocabulary.md | hapax=lemma-hapax:{sotawoqada (lemma={sotawoqada, root=wqd) | metal-mineral=metals-minerals.md"
2,18,3,numerical-coincidence;phonaesthetic;sensory,numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md | sensory=sensory-vocabulary.md
2,19,7,body-part;divine-names;hapax;jinas;numerical-coincidence;parable;parable-topic,"body-part=body-parts.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:Say~ib (lemma=Say~ib, root=Swb) | jinas=jinas-wordplay.md | numerical-coincidence=numerical-coincidences.md"
2,20,5,divine-names;hapax;palindrome;parable;phonaesthetic,"divine-names=1 name(s): Allah | hapax=lemma-hapax:>aZolama (lemma=>aZolama, root=Zlm) | palindrome=palindromes.md | parable=A:hypocrites→lightning blinds [] | phonaesthetic=phonaesthetics.md"
2,21,10,ethical-universalism;gematria;iltifat;imperative;imperative-topic;numerical-coincidence;prophet-pericope;rhetorical-Q-topic;vocative;vocative-topic,ethical-universalism=ethical-universalism.md | gematria=gematria-landscape.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=Eabada | imperative-topic=imperative-mood.md
2,22,7,divine-names;hadid-finding;iltifat;numerical-coincidence;palindrome;prohibitive;scientific-foreknowledge,divine-names=1 name(s): Allah | hadid-finding=hadid-deep-dive.md | iltifat=intra-strict:two_verbs | numerical-coincidence=numerical-coincidences.md | palindrome=palindromes.md
