band,surah,verse,V,len,num_names
FIRST,1,1,7,19,3
Q1,1,2,7,18,1
MID,1,4,7,12,0
Q3,1,6,7,19,0
LAST,1,7,7,44,0
FIRST,2,1,286,3,0
Q1,2,72,286,45,1
MID,2,144,286,146,2
Q3,2,215,286,104,1
LAST,2,286,286,196,1
FIRST,3,1,200,3,0
Q1,3,50,200,80,1
MID,3,100,200,69,0
Q3,3,150,200,26,1
LAST,3,200,200,57,1
FIRST,4,1,176,125,1
Q1,4,44,176,64,0
MID,4,88,176,88,1
Q3,4,132,176,40,1
LAST,4,176,176,191,1
FIRST,5,1,120,97,1
Q1,5,30,120,38,0
MID,5,60,120,110,1
Q3,5,90,120,82,0
LAST,5,120,120,42,1
FIRST,6,1,165,69,2
Q1,6,42,165,57,0
MID,6,83,165,58,0
Q3,6,124,165,118,1
LAST,6,165,165,86,0
FIRST,7,1,206,4,0
Q1,7,52,206,45,0
MID,7,104,206,34,0
Q3,7,155,206,170,0
LAST,7,206,206,48,0
FIRST,8,1,75,89,1
Q1,8,19,75,97,1
MID,8,38,75,59,0
Q3,8,57,75,43,0
LAST,8,75,75,95,1
FIRST,9,1,129,41,1
Q1,9,33,129,60,0
MID,9,65,129,64,1
Q3,9,97,129,69,1
LAST,9,129,129,54,2
FIRST,10,1,109,22,1
Q1,10,28,109,89,0
MID,10,55,109,58,1
Q3,10,82,109,33,2
LAST,10,109,109,45,1
FIRST,11,1,123,36,0
Q1,11,31,123,123,1
MID,11,62,123,83,0
Q3,11,93,123,82,0
LAST,11,123,123,73,1
FIRST,12,1,111,22,0
Q1,12,28,111,43,0
MID,12,56,111,72,0
Q3,12,84,111,51,0
LAST,12,111,111,94,0
FIRST,13,1,43,60,0
Q1,13,11,43,121,1
MID,13,22,43,101,0
Q3,13,33,43,139,1
LAST,13,43,43,64,1
FIRST,14,1,52,72,3
Q1,14,14,52,43,0
MID,14,26,52,49,0
Q3,14,40,52,39,0
LAST,14,52,52,60,0
FIRST,15,1,99,25,0
Q1,15,25,99,25,0
MID,15,50,99,22,0
Q3,15,75,99,21,0
LAST,15,99,99,22,0
FIRST,16,1,128,42,1
Q1,16,32,128,64,0
MID,16,64,128,63,0
Q3,16,96,128,64,1
LAST,16,128,128,32,1
FIRST,17,1,111,95,2
Q1,17,28,111,50,0
MID,17,56,111,52,0
Q3,17,84,111,40,0
LAST,17,111,111,72,1
FIRST,18,1,110,42,1
Q1,18,28,110,129,0
MID,18,56,110,92,0
Q3,18,83,110,38,0
LAST,18,110,110,92,0
FIRST,19,1,98,5,0
Q1,19,25,98,35,0
MID,19,50,98,37,0
Q3,19,74,98,35,0
LAST,19,98,98,46,0
FIRST,20,1,135,2,0
Q1,20,34,135,11,0
MID,20,68,135,21,0
Q3,20,102,135,36,0
LAST,20,135,135,50,0
FIRST,21,1,112,31,0
Q1,21,28,112,59,0
MID,21,56,112,55,0
Q3,21,84,112,69,0
LAST,21,112,112,43,1
FIRST,22,1,78,40,0
Q1,22,20,78,23,0
MID,22,40,78,148,1
Q3,22,59,78,35,1
LAST,22,78,78,199,1
FIRST,23,1,118,14,0
Q1,23,30,118,25,0
MID,23,60,118,45,0
Q3,23,89,118,22,1
LAST,23,118,118,29,0
FIRST,24,1,64,51,0
Q1,24,16,64,56,0
MID,24,32,64,83,1
Q3,24,48,64,48,1
LAST,24,64,64,86,1
FIRST,25,1,77,44,0
Q1,25,20,77,96,0
MID,25,39,77,33,0
Q3,25,58,77,52,1
LAST,25,77,77,45,0
FIRST,26,1,227,3,0
Q1,26,57,227,20,0
MID,26,114,227,19,0
Q3,26,171,227,18,0
LAST,26,227,227,92,1
FIRST,27,1,93,24,0
Q1,27,24,93,77,1
MID,27,47,93,51,1
Q3,27,70,93,32,0
LAST,27,93,93,51,1
FIRST,28,1,88,3,0
Q1,28,22,88,44,0
MID,28,44,88,52,0
Q3,28,66,88,35,0
LAST,28,88,88,63,1
FIRST,29,1,69,3,0
Q1,29,18,69,52,0
MID,29,35,69,30,0
Q3,29,52,69,91,1
LAST,29,69,69,47,1
FIRST,30,1,60,3,0
Q1,30,16,60,58,0
MID,30,30,60,92,1
Q3,30,46,60,83,0
LAST,30,60,60,39,1
FIRST,31,1,34,3,0
Q1,31,9,34,35,3
