perm_index,abs_tau,signed_tau,adj_matches
0,0.042695,0.042695,2
1,0.057910,0.057910,1
2,0.011644,0.011644,3
3,0.041764,-0.041764,1
4,0.002329,0.002329,3
5,0.047042,0.047042,0
6,0.041453,-0.041453,1
7,0.098898,-0.098898,1
8,0.049526,-0.049526,4
9,0.090203,0.090203,1
10,0.046111,-0.046111,3
11,0.096103,-0.096103,1
12,0.036175,0.036175,1
13,0.011644,0.011644,3
14,0.022512,-0.022512,5
15,0.043316,0.043316,2
16,0.107281,0.107281,2
17,0.021891,-0.021891,2
18,0.162863,-0.162863,2
19,0.013507,-0.013507,3
20,0.020649,0.020649,4
21,0.037417,0.037417,1
22,0.052011,0.052011,5
23,0.010713,0.010713,4
24,0.009781,-0.009781,2
25,0.036175,0.036175,2
26,0.032138,0.032138,1
27,0.019717,0.019717,0
28,0.035553,0.035553,3
29,0.036485,-0.036485,6
30,0.065673,0.065673,5
31,0.093619,-0.093619,1
32,0.115044,-0.115044,2
33,0.008539,0.008539,1
34,0.046421,0.046421,1
35,0.105729,0.105729,4
36,0.080267,-0.080267,4
37,0.053874,0.053874,2
38,0.101382,0.101382,2
39,0.069399,-0.069399,5
40,0.012576,0.012576,0
41,0.013507,-0.013507,3
42,0.108524,-0.108524,1
43,0.010402,-0.010402,2
44,0.149821,0.149821,2
45,0.024375,-0.024375,4
46,0.029033,-0.029033,1
47,0.037417,-0.037417,1
48,0.006365,0.006365,3
49,0.046421,-0.046421,2
50,0.048905,-0.048905,1
51,0.032759,-0.032759,2
52,0.111629,-0.111629,3
53,0.147027,0.147027,1
54,0.070952,0.070952,2
55,0.098277,0.098277,1
56,0.003571,0.003571,1
57,0.045490,0.045490,3
58,0.010713,-0.010713,1
59,0.032759,0.032759,4
60,0.002950,-0.002950,0
61,0.048284,-0.048284,3
62,0.129638,0.129638,3
63,0.023754,-0.023754,2
64,0.016302,-0.016302,2
65,0.074057,-0.074057,0
66,0.020338,-0.020338,3
67,0.034001,0.034001,2
68,0.000776,0.000776,0
69,0.032138,0.032138,0
70,0.025928,-0.025928,4
71,0.118149,-0.118149,3
72,0.000155,0.000155,0
73,0.054495,-0.054495,1
74,0.122807,-0.122807,1
75,0.056047,0.056047,3
76,0.022823,-0.022823,4
77,0.023754,0.023754,1
78,0.040522,0.040522,0
79,0.097035,-0.097035,0
80,0.035864,-0.035864,2
81,0.095793,0.095793,0
82,0.025307,-0.025307,3
83,0.041764,0.041764,4
84,0.045800,-0.045800,5
85,0.129949,0.129949,3
86,0.061636,-0.061636,3
87,0.117218,-0.117218,2
88,0.018165,-0.018165,2
89,0.013818,0.013818,1
90,0.056668,-0.056668,2
91,0.061947,-0.061947,1
92,0.048595,-0.048595,2
93,0.035864,-0.035864,1
94,0.081199,-0.081199,0
95,0.044248,-0.044248,5
96,0.010092,0.010092,2
97,0.019407,0.019407,1
98,0.035864,0.035864,3
99,0.101692,-0.101692,2
100,0.020028,-0.020028,2
101,0.004813,-0.004813,2
102,0.006055,-0.006055,1
103,0.063499,0.063499,1
104,0.021270,-0.021270,2
105,0.171557,-0.171557,1
106,0.014128,-0.014128,0
107,0.023133,-0.023133,2
108,0.006986,0.006986,2
109,0.152927,-0.152927,0
110,0.067536,0.067536,3
111,0.005434,0.005434,1
112,0.018786,-0.018786,1
113,0.070641,-0.070641,1
114,0.015681,0.015681,1
115,0.010092,0.010092,1
116,0.082751,0.082751,1
117,0.102003,0.102003,3
118,0.077472,-0.077472,5
119,0.012886,-0.012886,2
120,0.053563,-0.053563,2
121,0.065673,-0.065673,3
122,0.055116,-0.055116,8
123,0.014439,0.014439,3
124,0.073125,0.073125,0
125,0.024996,0.024996,2
126,0.028412,-0.028412,3
127,0.081820,-0.081820,4
128,0.095482,0.095482,4
