position,surah_id,surah_name,canonical_position,adj_in_canonical
1,81,At-Takwir,81,0
2,91,Ash-Shams,91,0
3,79,An-Nazi'at,79,0
4,87,Al-A'la,87,0
5,92,Al-Layl,92,1
6,93,Ad-Duhaa,93,1
7,97,Al-Qadr,97,0
8,106,Quraysh,106,0
9,109,Al-Kafirun,109,0
10,111,Al-Masad,111,0
11,104,Al-Humazah,104,0
12,101,Al-Qari'ah,101,0
13,88,Al-Ghashiyah,88,0
14,80,'Abasa,80,0
15,86,At-Tariq,86,0
16,90,Al-Balad,90,0
17,103,Al-'Asr,103,0
18,95,At-Tin,95,0
19,1,Al-Fatihah,1,0
20,82,Al-Infitar,82,1
21,83,Al-Mutaffifin,83,1
22,74,Al-Muddaththir,74,0
23,54,Al-Qamar,54,0
24,50,Qaf,50,0
25,38,Sad,38,0
26,36,Ya-Sin,36,0
27,67,Al-Mulk,67,0
28,32,As-Sajdah,32,0
29,45,Al-Jathiyah,45,0
30,30,Ar-Rum,30,0
31,40,Ghafir,40,1
32,39,Az-Zumar,39,1
33,16,An-Nahl,16,0
34,29,Al-'Ankabut,29,0
35,41,Fussilat,41,0
36,34,Saba,34,0
37,46,Al-Ahqaf,46,0
38,48,Al-Fath,48,0
39,57,Al-Hadid,57,0
40,59,Al-Hashr,59,1
41,58,Al-Mujadila,58,1
42,65,At-Talaq,65,0
43,60,Al-Mumtahanah,60,0
44,66,At-Tahrim,66,0
45,49,Al-Hujurat,49,0
46,61,As-Saf,61,0
47,63,Al-Munafiqun,63,1
48,62,Al-Jumu'ah,62,1
49,64,At-Taghabun,64,0
50,47,Muhammad,47,0
51,31,Luqman,31,0
52,42,Ash-Shuraa,42,0
53,14,Ibrahim,14,1
54,13,Ar-Ra'd,13,1
55,35,Fatir,35,0
56,22,Al-Hajj,22,0
57,8,Al-Anfal,8,0
58,33,Al-Ahzab,33,0
59,24,An-Nur,24,0
60,9,At-Tawbah,9,0
61,5,Al-Ma'idah,5,1
62,4,An-Nisa,4,1
63,2,Al-Baqarah,2,1
64,3,Ali 'Imran,3,1
65,6,Al-An'am,6,1
66,7,Al-A'raf,7,1
67,10,Yunus,10,0
68,28,Al-Qasas,28,0
69,12,Yusuf,12,1
70,11,Hud,11,1
71,18,Al-Kahf,18,1
72,17,Al-Isra,17,1
73,25,Al-Furqan,25,0
74,21,Al-Anbya,21,0
75,27,An-Naml,27,0
76,20,Taha,20,1
77,19,Maryam,19,1
78,43,Az-Zukhruf,43,0
79,23,Al-Mu'minun,23,0
80,37,As-Saffat,37,0
81,26,Ash-Shu'ara,26,0
82,15,Al-Hijr,15,0
83,51,Adh-Dhariyat,51,0
84,44,Ad-Dukhan,44,0
85,52,At-Tur,52,0
86,68,Al-Qalam,68,0
87,70,Al-Ma'arij,70,0
88,78,An-Naba,78,0
89,69,Al-Haqqah,69,0
90,56,Al-Waqi'ah,56,0
91,77,Al-Mursalat,77,0
92,75,Al-Qiyamah,75,0
93,84,Al-Inshiqaq,84,1
94,85,Al-Buruj,85,1
95,98,Al-Bayyinah,98,0
96,72,Al-Jinn,72,1
97,73,Al-Muzzammil,73,1
98,71,Nuh,71,0
99,76,Al-Insan,76,0
100,53,An-Najm,53,0
101,55,Ar-Rahman,55,0
102,89,Al-Fajr,89,0
103,105,Al-Fil,105,0
104,110,An-Nasr,110,0
105,112,Al-Ikhlas,112,0
106,114,An-Nas,114,1
107,113,Al-Falaq,113,1
108,99,Az-Zalzalah,99,1
109,100,Al-'Adiyat,100,1
110,102,At-Takathur,102,0
111,96,Al-'Alaq,96,0
112,107,Al-Ma'un,107,1
113,108,Al-Kawthar,108,1
114,94,Ash-Sharh,94,0
