id,name,type,raw_bytes,gzip_bytes,zlib_bytes,gzip_ratio,zlib_ratio
1,Al-Fatihah,meccan,314,162,150,0.5159235668789809,0.47770700636942676
2,Al-Baqarah,medinan,60107,15500,15488,0.25787345899812003,0.2576738150298634
3,Ali 'Imran,medinan,34118,9280,9268,0.27199718623600444,0.27164546573656134
4,An-Nisa,medinan,37224,9754,9742,0.26203524607779927,0.2617128734150011
5,Al-Ma'idah,medinan,27878,7665,7653,0.27494798766052087,0.27451754071310713
6,Al-An'am,meccan,29251,8471,8459,0.2895969368568596,0.28918669447198386
7,Al-A'raf,meccan,32840,9466,9454,0.2882460414129111,0.2878806333739342
8,Al-Anfal,medinan,12249,3626,3614,0.2960241652379786,0.29504449342803496
9,At-Tawbah,medinan,25241,6874,6862,0.2723346935541381,0.2718592765738283
10,Yunus,meccan,17391,5197,5185,0.2988327295727675,0.2981427174975562
11,Hud,meccan,17990,5473,5461,0.3042245692051139,0.3035575319622012
12,Yusuf,meccan,16759,5209,5197,0.3108180679038129,0.31010203472760905
13,Ar-Ra'd,medinan,8167,2762,2750,0.33819027794783885,0.33672095016529935
14,Ibrahim,meccan,8072,2749,2737,0.3405599603567889,0.3390733399405352
15,Al-Hijr,meccan,6447,2231,2219,0.34605242748565224,0.34419109663409336
16,An-Nahl,meccan,17864,5359,5347,0.29998880429914915,0.29931706224809673
17,Al-Isra,meccan,15101,4848,4836,0.3210383418316668,0.3202436924706973
18,Al-Kahf,meccan,14908,4897,4885,0.3284813522940703,0.32767641534746444
19,Maryam,meccan,8963,2999,2987,0.33459779091821934,0.33325895347539886
20,Taha,meccan,12318,4177,4165,0.33909725604805974,0.33812307192726093
21,Al-Anbya,meccan,11547,3759,3747,0.3255391010652117,0.32449987009612885
22,Al-Hajj,medinan,12137,3785,3773,0.3118563071599242,0.31086759495756777
23,Al-Mu'minun,meccan,10128,3297,3285,0.32553317535545023,0.3243483412322275
24,An-Nur,medinan,13114,3873,3861,0.2953332316608205,0.2944181790452951
25,Al-Furqan,meccan,8759,2949,2937,0.3366822696654869,0.33531225025687866
26,Ash-Shu'ara,meccan,12678,3574,3562,0.2819056633538413,0.28095914182047643
27,An-Naml,meccan,10906,3591,3579,0.32926829268292684,0.3281679809279296
28,Al-Qasas,meccan,13543,4322,4310,0.3191316547293805,0.3182455881267075
29,Al-'Ankabut,meccan,9809,3077,3065,0.31369150779896016,0.3124681415027016
30,Ar-Rum,meccan,7913,2460,2448,0.31088082901554404,0.3093643371666877
31,Luqman,meccan,4999,1777,1765,0.35547109421884376,0.3530706141228246
32,As-Sajdah,meccan,3551,1341,1329,0.377640101379893,0.37426077161363
33,Al-Ahzab,medinan,13121,3944,3932,0.30058684551482356,0.29967228107613747
34,Saba,meccan,8239,2727,2715,0.33098677023910666,0.32953028280131086
35,Fatir,meccan,7451,2514,2502,0.3374043752516441,0.3357938531740706
36,Ya-Sin,meccan,6937,2373,2361,0.3420787083753784,0.3403488539714574
37,As-Saffat,meccan,8710,2771,2759,0.31814006888633756,0.31676234213547644
38,Sad,meccan,6981,2484,2472,0.35582294800171893,0.3541039965620971
39,Az-Zumar,meccan,11160,3539,3527,0.3171146953405018,0.3160394265232975
40,Ghafir,meccan,11651,3619,3607,0.3106171144107802,0.3095871599004377
41,Fussilat,meccan,7655,2610,2598,0.340953625081646,0.33938602220770736
42,Ash-Shuraa,meccan,8119,2601,2589,0.320359650203227,0.3188816356694174
43,Az-Zukhruf,meccan,8155,2785,2773,0.34150827713059473,0.3400367872470877
44,Ad-Dukhan,meccan,3347,1252,1240,0.3740663280549746,0.3704810277860771
45,Al-Jathiyah,meccan,4729,1638,1626,0.3463734404736731,0.3438359061112286
46,Al-Ahqaf,meccan,6071,2123,2111,0.3496952726074782,0.3477186624938231
47,Muhammad,medinan,5471,1793,1781,0.3277280204715774,0.3255346371778468
48,Al-Fath,medinan,5699,1897,1885,0.3328654149850851,0.33075978241796805
49,Al-Hujurat,medinan,3505,1207,1195,0.3443651925820257,0.340941512125535
50,Qaf,meccan,3434,1343,1331,0.3910891089108911,0.3875946418171229
51,Adh-Dhariyat,meccan,3484,1317,1305,0.3780137772675086,0.37456946039035593
52,At-Tur,meccan,2995,1172,1160,0.39131886477462435,0.38731218697829717
53,An-Najm,meccan,3261,1247,1235,0.38239803741183687,0.3787181846059491
54,Al-Qamar,meccan,3303,1194,1182,0.3614895549500454,0.3578564940962761
55,Ar-Rahman,medinan,3654,975,963,0.26683087027914615,0.26354679802955666
56,Al-Waqi'ah,meccan,3893,1345,1333,0.34549190855381456,0.34240945286411506
57,Al-Hadid,medinan,5793,1915,1903,0.33057137925082,0.32849991368893494
58,Al-Mujadila,medinan,4689,1528,1516,0.3258690552356579,0.3233098741735978
59,Al-Hashr,medinan,4479,1541,1529,0.34405001116320605,0.3413708417057379
60,Al-Mumtahanah,medinan,3546,1231,1219,0.34715172024816693,0.3437676254935138
61,As-Saf,medinan,2193,819,807,0.3734610123119015,0.3679890560875513
62,Al-Jumu'ah,medinan,1739,696,684,0.40023001725129387,0.39332949971247844
63,Al-Munafiqun,medinan,1824,718,706,0.39364035087719296,0.38706140350877194
64,At-Taghabun,medinan,2489,937,925,0.3764564081960627,0.37163519485737245
