corpus,n,mean,stdev,median
quran,985,0.02918844890086353,0.06833235068217042,0.005047793098892074
bukhari,386,0.01884617519578401,0.025908226962265923,0.009328521042816515
jahiz-hayawan,496,0.015177151430413042,0.019731625006542276,0.007740534436789934
muallaqa-imru-al-qais,90,0.3047281512560161,0.2974369816881958,0.2813400186497648
muallaqa-labid,130,0.1844145625862616,0.6840174616878851,0.023153489591241996
muallaqa-zuhayr,79,0.14697494637442876,0.22542106397489506,0.0655315791678202
muallaqa-antara,121,0.055037212169127527,0.05548684410872456,0.042895316882087704
muallaqa-tarafa,162,0.03267172651350055,0.04916494491595924,0.02087038963389766
muallaqa-harith,170,0.026821788695139927,0.04278363247916195,0.017506807103348773
muallaqa-amr-bin-kulthum,145,0.042036070978778435,0.039689343920881484,0.03493511310944011
pooled_baseline,1779,0.056447551987431704,0.21799675758210116,0.01458193109010812
