surah,verses,words,dual_tokens,stem_dual,pron_suffix_dual,duals_per_100_words,duals_per_verse
1,7,29,0,0,0,0.0,0.0
2,286,6116,49,36,30,0.801,0.171
3,200,3481,12,11,3,0.345,0.06
4,176,3747,37,28,17,0.987,0.21
5,120,2804,35,26,19,1.248,0.292
6,165,3050,17,15,2,0.557,0.103
7,206,3320,42,22,31,1.265,0.204
8,75,1233,7,7,0,0.568,0.093
9,129,2498,6,6,0,0.24,0.047
10,109,1833,8,6,4,0.436,0.073
11,123,1917,6,5,2,0.313,0.049
12,111,1777,18,11,11,1.013,0.162
13,43,853,4,4,0,0.469,0.093
14,52,830,2,2,0,0.241,0.038
15,99,655,3,1,2,0.458,0.03
16,128,1844,5,4,1,0.271,0.039
17,111,1556,12,8,6,0.771,0.108
18,110,1579,50,35,30,3.167,0.455
19,98,961,3,2,1,0.312,0.031
20,135,1335,27,20,21,2.022,0.2
21,112,1169,6,3,6,0.513,0.054
22,78,1274,3,3,0,0.235,0.038
23,118,1050,6,3,3,0.571,0.051
24,64,1316,4,2,2,0.304,0.062
25,77,893,6,4,3,0.672,0.078
26,227,1318,6,4,5,0.455,0.026
27,93,1151,6,6,1,0.521,0.065
28,88,1430,25,17,12,1.748,0.284
29,69,976,3,2,2,0.307,0.043
30,60,817,1,0,1,0.122,0.017
31,34,546,7,5,3,1.282,0.206
32,30,372,1,0,1,0.269,0.033
33,73,1287,4,4,0,0.311,0.055
34,54,883,8,7,1,0.906,0.148
35,45,775,5,4,3,0.645,0.111
36,83,725,2,1,1,0.276,0.024
37,182,860,9,1,9,1.047,0.049
38,88,733,5,2,3,0.682,0.057
39,75,1172,1,1,1,0.085,0.013
40,85,1219,2,2,0,0.164,0.024
41,54,794,9,8,5,1.134,0.167
42,53,860,1,0,1,0.116,0.019
43,89,830,3,2,1,0.361,0.034
44,59,346,3,0,3,0.867,0.051
45,37,488,0,0,0,0.0,0.0
46,35,643,10,9,3,1.555,0.286
47,38,539,0,0,0,0.0,0.0
48,29,560,0,0,0,0.0,0.0
49,18,347,6,3,3,1.729,0.333
50,45,373,4,3,3,1.072,0.089
51,60,360,1,1,0,0.278,0.017
52,49,312,0,0,0,0.0,0.0
53,62,360,2,2,0,0.556,0.032
54,55,342,0,0,0,0.0,0.0
55,78,351,88,49,75,25.071,1.128
56,96,379,0,0,0,0.0,0.0
57,29,574,2,1,1,0.348,0.069
58,22,472,7,6,3,1.483,0.318
59,24,445,3,1,2,0.674,0.125
60,13,348,0,0,0,0.0,0.0
61,14,221,1,1,0,0.452,0.071
62,11,175,0,0,0,0.0,0.0
63,11,180,0,0,0,0.0,0.0
64,18,241,0,0,0,0.0,0.0
65,12,287,1,1,0,0.348,0.083
66,12,249,10,8,8,4.016,0.833
67,30,333,1,1,0,0.3,0.033
68,52,300,0,0,0,0.0,0.0
69,52,258,1,1,1,0.388,0.019
70,44,217,0,0,0,0.0,0.0
71,28,226,1,1,0,0.442,0.036
72,28,285,1,1,0,0.351,0.036
73,20,199,1,1,0,0.503,0.05
74,56,255,0,0,0,0.0,0.0
75,40,164,1,1,0,0.61,0.025
76,31,243,0,0,0,0.0,0.0
77,50,181,0,0,0,0.0,0.0
78,40,173,2,1,1,1.156,0.05
79,46,179,0,0,0,0.0,0.0
80,42,133,0,0,0,0.0,0.0
81,29,104,0,0,0,0.0,0.0
82,19,80,0,0,0,0.0,0.0
83,36,169,0,0,0,0.0,0.0
84,25,107,0,0,0,0.0,0.0
85,22,109,0,0,0,0.0,0.0
86,17,61,0,0,0,0.0,0.0
87,19,72,0,0,0,0.0,0.0
88,26,92,0,0,0,0.0,0.0
89,30,137,0,0,0,0.0,0.0
90,20,82,3,3,0,3.659,0.15
91,15,54,0,0,0,0.0,0.0
92,21,71,0,0,0,0.0,0.0
93,11,40,0,0,0,0.0,0.0
94,8,27,0,0,0,0.0,0.0
95,8,34,0,0,0,0.0,0.0
96,19,72,0,0,0,0.0,0.0
97,5,30,0,0,0,0.0,0.0
98,8,94,0,0,0,0.0,0.0
99,8,36,0,0,0,0.0,0.0
100,11,40,0,0,0,0.0,0.0
101,11,36,0,0,0,0.0,0.0
102,8,28,0,0,0,0.0,0.0
103,3,14,0,0,0,0.0,0.0
104,9,33,0,0,0,0.0,0.0
105,5,23,0,0,0,0.0,0.0
106,4,17,0,0,0,0.0,0.0
107,7,25,0,0,0,0.0,0.0
108,3,10,0,0,0,0.0,0.0
109,6,26,0,0,0,0.0,0.0
110,3,19,0,0,0,0.0,0.0
111,5,23,1,1,0,4.348,0.2
112,4,15,0,0,0,0.0,0.0
113,5,23,0,0,0,0.0,0.0
114,6,20,0,0,0,0.0,0.0
