root,count
ydy,33
k*b,31
vny,20
wld,20
kwn,11
qwl,9
jnn,8
Abw,7
zwj,7
Eyn,7
mrr,6
rjl,6
lqy,6
Anv,6
qwm,5
Aty,5
frq,5
bHr,5
Akl,4
Twf,4
jmE,4
*hb,4
qrb,3
Eqb,3
ywm,3
rwd,3
DEf,3
fAy,3
vlv,3
SlH,3
tbE,3
Tlq,3
qrn,3
$yA,2
mlk,2
slm,2
dEw,2
xwf,2
mrA,2
mvl,2
twb,2
Axw,2
$hr,2
glw,2
qtl,2
bny,2
Axr,2
qsm,2
Alh,2
*kr,2
Tfq,2
xSf,2
mAy,2
swy,2
fty,2
kff,2
rdd,2
klw,2
blg,2
wjd,2
xrj,2
sHr,2
xSm,2
Zhr,2
jhd,2
zwl,2
$rq,2
mss,2
Elm,1
Thr,1
rjE,1
Znn,1
Hwl,1
kml,1
$hd,1
f$l,1
kEb,1
ksb,1
bsT,1
Hqq,1
wly,1
jnH,1
*wq,1
Alf,1
Hsn,1
bwA,1
Trf,1
sbq,1
lfw,1
rzq,1
dAb,1
Ayy,1
rbw,1
Hzb,1
*rE,1
nsy,1
jwz,1
rkb,1
TEm,1
Amn,1
glm,1
ytm,1
sdd,1
Sdf,1
nEl,1
wny,1
rsl,1
hbT,1
fsd,1
Hkm,1
b$r,1
swq,1
*wd,1
Ajl,1
brhn,1
A*n,1
Ewm,1
qlb,1
Dll,1
qry,1
wEd,1
gwv,1
qws,1
sjd,1
grb,1
bgy,1
vql,1
nSr,1
jry,1
dhm,1
nDx,1
kfl,1
xld,1
Ebd,1
xwn,1
gny,1
dxl,1
krr,1
dkk,1
$fh,1
njd,1
