surah,verse,word,form_bw,form_ar,pos,root,lemma,marker,stem_dual,pron_suffix_dual,is_verb,is_impf,mood
2,35,7,wakulaA,وَكُلَا,V,Akl,>akala,2D,1,1,1,0,
2,35,11,$i}otumaA,شِئْتُمَا,V,$yA,$aA^'a,2D,1,1,1,0,
2,35,13,taqorabaA,تَقْرَبَا,V,qrb,yaqorabu,2D,1,1,1,1,JUS
2,35,16,fatakuwnaA,فَتَكُونَا,V,kwn,kaAna,2D,1,1,1,1,SUBJ
2,36,1,fa>azal~ahumaA,فَأَزَلَّهُمَا,REM,,,,0,1,0,0,
2,36,4,fa>axorajahumaA,فَأَخْرَجَهُمَا,CONJ,,,,0,1,0,0,
2,36,6,kaAnaA,كَانَا,V,kwn,kaAna,3MD,1,1,1,0,
2,60,11,{vonataA,ٱثْنَتَا,N,vny,{vonatayon,FD,1,0,0,0,
2,66,5,yadayohaA,يَدَيْهَا,N,ydy,yad,FD,1,0,0,0,
2,83,10,wabi{lowa`lidayoni,وَبِٱلْوَٰلِدَيْنِ,N,wld,waAlid,MD,1,0,0,0,
2,97,15,yadayohi,يَدَيْهِ,N,ydy,yad,FD,1,0,0,0,
2,102,20,{lomalakayoni,ٱلْمَلَكَيْنِ,N,mlk,malak,MD,1,0,0,0,
2,102,25,yuEal~imaAni,يُعَلِّمَانِ,V,Elm,Eal~ama,3MD,1,1,1,1,
2,102,29,yaquwlaA^,يَقُولَآ,V,qwl,qaAla,3MD,1,1,1,1,SUBJ
2,102,36,minohumaA,مِنْهُمَا,P,,min,,0,1,0,0,
2,125,17,Tah~iraA,طَهِّرَا,V,Thr,Tah~ara,2MD,1,1,1,0,
2,128,3,musolimayoni,مُسْلِمَيْنِ,N,slm,musolim,MD,1,0,0,0,
2,143,27,Eaqibayohi,عَقِبَيْهِ,N,Eqb,Eaqib,MD,1,0,0,0,
2,158,17,bihimaA,بِهِمَا,PRON,,,3D,1,0,0,0,
2,177,23,*awiY,ذَوِى,N,,*uw,MD,1,0,0,0,
2,180,11,lilowa`lidayoni,لِلْوَٰلِدَيْنِ,N,wld,waAlid,MD,1,0,0,0,
2,186,11,daEaAni,دَعَانِ,V,dEw,daEaA,2MD,1,1,1,0,
2,203,9,yawomayoni,يَوْمَيْنِ,N,ywm,yawom,MD,1,0,0,0,
2,215,9,falilowa`lidayoni,فَلِلْوَٰلِدَيْنِ,N,wld,waAlid,MD,1,0,0,0,
2,219,6,fiyhimaA^,فِيهِمَآ,P,,fiY,,0,1,0,0,
2,219,11,wa<ivomuhumaA^,وَإِثْمُهُمَآ,CONJ,,,,0,1,0,0,
2,219,14,n~afoEihimaA,نَّفْعِهِمَا,N,nfE,nafoE,,0,1,0,0,
2,229,2,mar~ataAni,مَرَّتَانِ,N,mrr,mar~ap,MD,1,0,0,0,
2,229,18,yaxaAfaA^,يَخَافَآ,V,xwf,xaAfa,3MD,1,1,1,1,SUBJ
2,229,20,yuqiymaA,يُقِيمَا,V,qwm,>aqaAma,3MD,1,1,1,1,SUBJ
2,229,26,yuqiymaA,يُقِيمَا,V,qwm,>aqaAma,3MD,1,1,1,1,SUBJ
2,229,31,EalayohimaA,عَلَيْهِمَا,P,,EalaY`,,0,1,0,0,
2,230,16,EalayohimaA^,عَلَيْهِمَآ,P,,EalaY`,,0,1,0,0,
2,230,18,yataraAjaEaA^,يَتَرَاجَعَآ,V,rjE,yataraAjaEa,3MD,1,1,1,1,SUBJ
2,230,20,Zan~aA^,ظَنَّآ,V,Znn,Zan~a,3MD,1,1,1,0,
2,230,22,yuqiymaA,يُقِيمَا,V,qwm,>aqaAma,3MD,1,1,1,1,SUBJ
2,233,4,Hawolayoni,حَوْلَيْنِ,T,Hwl,Hawol,MD,1,0,0,0,
2,233,5,kaAmilayoni,كَامِلَيْنِ,ADJ,kml,kaAmilayon,MD,1,0,0,0,
2,233,35,>araAdaA,أَرَادَا,V,rwd,>araAda,3MD,1,1,1,0,
2,233,39,m~inohumaA,مِّنْهُمَا,P,,min,,0,1,0,0,
2,233,43,EalayohimaA,عَلَيْهِمَا,P,,EalaY`,,0,1,0,0,
2,255,47,HifoZuhumaA,حِفْظُهُمَا,N,HfZ,HifoZ,,0,1,0,0,
2,265,18,DiEofayoni,ضِعْفَيْنِ,N,DEf,DiEof,MD,1,0,0,0,
