loc,surah,verse,word,seg,form,pos,lemma,tag
(3:103:17:2),3,103,17,2,>aSobaHo,V,>aSobaHa,V
(5:30:7:2),5,30,7,2,>aSobaHa,V,>aSobaHa,V
(5:31:23:2),5,31,23,2,>aSobaHa,V,>aSobaHa,V
(5:52:22:2),5,52,22,2,yuSobiHu,V,>aSobaHa,V
(5:53:14:2),5,53,14,2,>aSobaHu,V,>aSobaHa,V
(5:102:7:1),5,102,7,1,>aSobaHu,V,>aSobaHa,V
(6:96:2:2),6,96,2,2,<iSobaAHi,N,<iSobaAH,N
(7:78:3:2),7,78,3,2,>aSobaHu,V,>aSobaHa,V
(7:91:3:2),7,91,3,2,>aSobaHu,V,>aSobaHa,V
(11:67:5:2),11,67,5,2,>aSobaHu,V,>aSobaHa,V
(11:81:26:2),11,81,26,2,S~uboHu,N,SuboH,N
(11:81:28:2),11,81,28,2,S~uboHu,N,SuboH,N
(11:94:15:2),11,94,15,2,>aSobaHu,V,>aSobaHa,V
(15:66:9:1),15,66,9,1,m~uSobiHiyna,N,muSobiHiyn,N
(15:83:3:1),15,83,3,1,muSobiHiyna,N,muSobiHiyn,N
(18:40:13:2),18,40,13,2,tuSobiHa,V,>aSobaHa,V
(18:41:2:1),18,41,2,1,yuSobiHa,V,>aSobaHa,V
(18:42:3:2),18,42,3,2,>aSobaHa,V,>aSobaHa,V
(18:45:14:2),18,45,14,2,>aSobaHa,V,>aSobaHa,V
(22:63:9:2),22,63,9,2,tuSobiHu,V,>aSobaHa,V
(23:40:4:2),23,40,4,2,yuSobiHu,V,>aSobaHa,V
(24:35:9:1),24,35,9,1,miSobaAHN,N,miSobaAH,N
(24:35:10:2),24,35,10,2,miSobaAHu,N,miSobaAH,N
(26:157:2:2),26,157,2,2,>aSobaHu,V,>aSobaHa,V
(28:10:1:2),28,10,1,2,>aSobaHa,V,>aSobaHa,V
(28:18:1:2),28,18,1,2,>aSobaHa,V,>aSobaHa,V
(28:82:1:2),28,82,1,2,>aSobaHa,V,>aSobaHa,V
(29:37:4:2),29,37,4,2,>aSobaHu,V,>aSobaHa,V
(30:17:6:1),30,17,6,1,tuSobiHu,V,>aSobaHa,V
(37:137:4:1),37,137,4,1,m~uSobiHiyna,N,muSobiHiyn,N
(37:177:5:1),37,177,5,1,SabaAHu,N,SabaAH,N
(41:12:14:2),41,12,14,2,maSa`biyHa,N,miSobaAH,N
(41:23:7:2),41,23,7,2,>aSobaHo,V,>aSobaHa,V
(46:25:6:2),46,25,6,2,>aSobaHu,V,>aSobaHa,V
(49:6:13:2),49,6,13,2,tuSobiHu,V,>aSobaHa,V
(54:38:2:1),54,38,2,1,Sab~aHa,V,Sab~aHa,V
(61:14:34:2),61,14,34,2,>aSobaHu,V,>aSobaHa,V
(67:5:5:2),67,5,5,2,maSa`biyHa,N,miSobaAH,N
(67:30:4:1),67,30,4,1,>aSobaHa,V,>aSobaHa,V
(68:17:10:1),68,17,10,1,muSobiHiyna,N,muSobiHiyn,N
(68:20:1:2),68,20,1,2,>aSobaHato,V,>aSobaHa,V
(68:21:2:1),68,21,2,1,muSobiHiyna,N,muSobiHiyn,N
(74:34:1:3),74,34,1,3,S~uboHi,N,SuboH,N
(81:18:1:3),81,18,1,3,S~uboHi,N,SuboH,N
(100:3:2:1),100,3,2,1,SuboHFA,T,SuboH,T
