loc,surah,verse,word,seg,form,pos,lemma,tag
(2:260:22:2),2,260,22,2,Suro,V,Suro,V
(3:6:3:1),3,6,3,1,yuSaw~iru,V,Saw~ara,V
(6:73:18:2),6,73,18,2,S~uwri,N,S~uwr,N
(7:11:4:1),7,11,4,1,Saw~aro,V,Saw~ara,V
(18:99:9:2),18,99,9,2,S~uwri,N,S~uwr,N
(20:102:4:2),20,102,4,2,S~uwri,N,S~uwr,N
(23:101:4:2),23,101,4,2,S~uwri,N,S~uwr,N
(27:87:4:2),27,87,4,2,S~uwri,N,S~uwr,N
(36:51:3:2),36,51,3,2,S~uwri,N,S~uwr,N
(39:68:3:2),39,68,3,2,S~uwri,N,S~uwr,N
(40:64:9:2),40,64,9,2,Saw~ara,V,Saw~ara,V
(40:64:11:1),40,64,11,1,Suwara,N,Suwrap,N
(50:20:3:2),50,20,3,2,S~uwri,N,S~uwr,N
(59:24:5:2),59,24,5,2,muSaw~iru,ADJ,muSaw~ir,ADJ
(64:3:5:2),64,3,5,2,Saw~ara,V,Saw~ara,V
(64:3:7:1),64,3,7,1,Suwara,N,Suwrap,N
(69:13:4:2),69,13,4,2,S~uwri,N,S~uwr,N
(78:18:4:2),78,18,4,2,S~uwri,N,S~uwr,N
(82:8:3:1),82,8,3,1,SuwrapK,N,Suwrap,N
