loc,surah,verse,word,seg,form,pos,lemma,tag
(3:49:18:2),3,49,18,2,>anfuxu,V,nafaxa,V
(5:110:34:2),5,110,34,2,tanfuxu,V,nafaxa,V
(6:73:16:1),6,73,16,1,yunfaxu,V,nafaxa,V
(15:29:3:2),15,29,3,2,nafaxo,V,nafaxa,V
(18:96:10:1),18,96,10,1,{nfuxu,V,nafaxa,V
(18:99:7:2),18,99,7,2,nufixa,V,nafaxa,V
(20:102:2:1),20,102,2,1,yunfaxu,V,nafaxa,V
(21:91:4:2),21,91,4,2,nafaxo,V,nafaxa,V
(23:101:2:1),23,101,2,1,nufixa,V,nafaxa,V
(27:87:2:1),27,87,2,1,yunfaxu,V,nafaxa,V
(32:9:3:2),32,9,3,2,nafaxa,V,nafaxa,V
(36:51:1:2),36,51,1,2,nufixa,V,nafaxa,V
(38:72:3:2),38,72,3,2,nafaxo,V,nafaxa,V
(39:68:1:2),39,68,1,2,nufixa,V,nafaxa,V
(39:68:16:1),39,68,16,1,nufixa,V,nafaxa,V
(50:20:1:2),50,20,1,2,nufixa,V,nafaxa,V
(66:12:7:2),66,12,7,2,nafaxo,V,nafaxa,V
(69:13:2:1),69,13,2,1,nufixa,V,nafaxa,V
(69:13:5:1),69,13,5,1,nafoxapN,N,nafoxap,N
(78:18:2:1),78,18,2,1,yunfaxu,V,nafaxa,V
