loc,surah,verse,word,seg,form,pos,lemma,tag
(2:17:5:1),2,17,5,1,naArFA,N,naAr,N
(2:17:12:2),2,17,12,2,nuwri,N,nuwr,N
(2:24:7:2),2,24,7,2,n~aAra,N,naAr,N
(2:39:7:2),2,39,7,2,n~aAri,N,naAr,N
(2:80:4:2),2,80,4,2,n~aAru,N,naAr,N
(2:81:10:2),2,81,10,2,n~aAri,N,naAr,N
(2:126:28:2),2,126,28,2,n~aAri,N,naAr,N
(2:167:23:2),2,167,23,2,n~aAri,N,naAr,N
(2:174:19:2),2,174,19,2,n~aAra,N,naAr,N
(2:175:11:2),2,175,11,2,n~aAri,N,naAr,N
(2:201:14:2),2,201,14,2,n~aAri,N,naAr,N
(2:217:54:2),2,217,54,2,n~aAri,N,naAr,N
(2:221:28:2),2,221,28,2,n~aAri,N,naAr,N
(2:257:9:2),2,257,9,2,n~uwri,N,nuwr,N
(2:257:16:2),2,257,16,2,n~uwri,N,nuwr,N
(2:257:21:2),2,257,21,2,n~aAri,N,naAr,N
(2:266:27:1),2,266,27,1,naArN,N,naAr,N
(2:275:42:2),2,275,42,2,n~aAri,N,naAr,N
(3:10:16:2),3,10,16,2,n~aAri,N,naAr,N
(3:16:11:2),3,16,11,2,n~aAri,N,naAr,N
(3:24:6:2),3,24,6,2,n~aAru,N,naAr,N
(3:103:25:2),3,103,25,2,n~aAri,N,naAr,N
(3:116:15:2),3,116,15,2,n~aAri,N,naAr,N
(3:131:2:2),3,131,2,2,n~aAra,N,naAr,N
(3:151:16:2),3,151,16,2,n~aAru,N,naAr,N
(3:183:14:2),3,183,14,2,n~aAru,N,naAr,N
(3:184:12:2),3,184,12,2,muniyri,ADJ,m~uniyr,ADJ
(3:185:13:2),3,185,13,2,n~aAri,N,naAr,N
(3:191:21:2),3,191,21,2,n~aAri,N,naAr,N
(3:192:5:2),3,192,5,2,n~aAra,N,naAr,N
(4:10:11:1),4,10,11,1,naArFA,N,naAr,N
(4:14:8:1),4,14,8,1,naArFA,N,naAr,N
(4:30:8:1),4,30,8,1,naArFA,N,naAr,N
(4:56:7:1),4,56,7,1,naArFA,N,naAr,N
(4:145:7:2),4,145,7,2,n~aAri,N,naAr,N
(4:174:10:1),4,174,10,1,nuwrFA,N,nuwr,N
(5:15:21:1),5,15,21,1,nuwrN,N,nuwr,N
(5:16:13:2),5,16,13,2,n~uwri,N,nuwr,N
(5:29:10:2),5,29,10,2,n~aAri,N,naAr,N
(5:37:5:2),5,37,5,2,n~aAri,N,naAr,N
(5:44:6:2),5,44,6,2,nuwrN,N,nuwr,N
(5:46:17:2),5,46,17,2,nuwrN,N,nuwr,N
(5:64:36:1),5,64,36,1,naArFA,N,naAr,N
(5:72:29:2),5,72,29,2,n~aAru,N,naAr,N
(6:1:9:3),6,1,9,3,n~uwra,N,nuwr,N
(6:27:6:2),6,27,6,2,n~aAri,N,naAr,N
(6:91:23:1),6,91,23,1,nuwrFA,N,nuwr,N
(6:122:7:1),6,122,7,1,nuwrFA,N,nuwr,N
(6:128:24:2),6,128,24,2,n~aAru,N,naAr,N
(7:12:14:1),7,12,14,1,n~aArK,N,naAr,N
(7:36:8:2),7,36,8,2,n~aAri,N,naAr,N
(7:38:13:2),7,38,13,2,n~aAri,N,naAr,N
(7:38:34:2),7,38,34,2,n~aAri,N,naAr,N
(7:44:5:2),7,44,5,2,n~aAri,N,naAr,N
(7:47:6:2),7,47,6,2,n~aAri,N,naAr,N
(7:50:3:2),7,50,3,2,n~aAri,N,naAr,N
(7:157:37:2),7,157,37,2,n~uwra,N,nuwr,N
(8:14:6:2),8,14,6,2,n~aAri,N,naAr,N
(9:17:16:2),9,17,16,2,n~aAri,N,naAr,N
(9:32:4:1),9,32,4,1,nuwra,N,nuwr,N
(9:32:12:1),9,32,12,1,nuwra,N,nuwr,N
(9:35:5:1),9,35,5,1,naAri,N,naAr,N
(9:63:10:1),9,63,10,1,naAra,N,naAr,N
(9:68:6:1),9,68,6,1,naAra,N,naAr,N
(9:81:21:1),9,81,21,1,naAru,N,naAr,N
(9:109:21:1),9,109,21,1,naAri,N,naAr,N
(10:5:7:1),10,5,7,1,nuwrFA,N,nuwr,N
(10:8:3:2),10,8,3,2,n~aAru,N,naAr,N
(10:27:24:2),10,27,24,2,n~aAri,N,naAr,N
(11:16:8:2),11,16,8,2,n~aAru,N,naAr,N
(11:17:24:3),11,17,24,3,n~aAru,N,naAr,N
(11:98:6:2),11,98,6,2,n~aAra,N,naAr,N
(11:106:5:2),11,106,5,2,n~aAri,N,naAr,N
(11:113:7:2),11,113,7,2,n~aAru,N,naAr,N
(13:5:22:2),13,5,22,2,n~aAri,N,naAr,N
(13:16:28:3),13,16,28,3,n~uwru,N,nuwr,N
(13:17:16:2),13,17,16,2,n~aAri,N,naAr,N
(13:35:19:2),13,35,19,2,n~aAru,N,naAr,N
(14:1:10:2),14,1,10,2,n~uwri,N,nuwr,N
(14:5:11:2),14,5,11,2,n~uwri,N,nuwr,N
(14:30:12:2),14,30,12,2,n~aAri,N,naAr,N
(14:50:6:2),14,50,6,2,n~aAru,N,naAr,N
(15:27:6:1),15,27,6,1,n~aAri,N,naAr,N
(16:62:15:2),16,62,15,2,n~aAra,N,naAr,N
(18:29:14:1),18,29,14,1,naArFA,N,naAr,N
(18:53:3:2),18,53,3,2,n~aAra,N,naAr,N
(18:96:14:1),18,96,14,1,naArFA,N,naAr,N
(20:10:3:1),20,10,3,1,naArFA,N,naAr,N
(20:10:9:1),20,10,9,1,naArFA,N,naAr,N
(20:10:17:2),20,10,17,2,n~aAri,N,naAr,N
(21:39:10:2),21,39,10,2,n~aAra,N,naAr,N
(21:69:2:2),21,69,2,2,naAru,N,naAr,N
(22:8:13:1),22,8,13,1,m~uniyrK,N,m~uniyr,N
(22:19:12:1),22,19,12,1,n~aArK,N,naAr,N
(22:72:23:2),22,72,23,2,n~aAru,N,naAr,N
(23:104:3:2),23,104,3,2,n~aAru,N,naAr,N
(24:35:2:1),24,35,2,1,nuwru,N,nuwr,N
(24:35:6:1),24,35,6,1,nuwri,N,nuwr,N
(24:35:32:1),24,35,32,1,naArN,N,naAr,N
(24:35:33:1),24,35,33,1,n~uwrN,N,nuwr,N
(24:35:35:1),24,35,35,1,nuwrK,N,nuwr,N
(24:35:38:2),24,35,38,2,nuwri,N,nuwr,N
(24:40:29:1),24,40,29,1,nuwrFA,N,nuwr,N
(24:40:33:1),24,40,33,1,n~uwrK,N,nuwr,N
(24:57:9:2),24,57,9,2,n~aAru,N,naAr,N
(25:61:11:1),25,61,11,1,m~uniyrFA,N,m~uniyr,N
(27:7:7:1),27,7,7,1,naArFA,N,naAr,N
(27:8:8:2),27,8,8,2,n~aAri,N,naAr,N
(27:90:7:2),27,90,7,2,n~aAri,N,naAr,N
(28:29:11:1),28,29,11,1,naArFA,N,naAr,N
(28:29:17:1),28,29,17,1,naArFA,N,naAr,N
(28:29:25:2),28,29,25,2,n~aAri,N,naAr,N
(28:41:5:2),28,41,5,2,n~aAri,N,naAr,N
(29:24:14:2),29,24,14,2,n~aAri,N,naAr,N
(29:25:23:2),29,25,23,2,n~aAru,N,naAr,N
(31:20:30:1),31,20,30,1,m~uniyrK,N,m~uniyr,N
(32:20:5:2),32,20,5,2,n~aAru,N,naAr,N
(32:20:17:2),32,20,17,2,n~aAri,N,naAr,N
(33:43:10:2),33,43,10,2,n~uwri,N,nuwr,N
(33:46:6:1),33,46,6,1,m~uniyrFA,N,m~uniyr,N
(33:66:5:2),33,66,5,2,n~aAri,N,naAr,N
(34:42:14:2),34,42,14,2,n~aAri,N,naAr,N
(35:20:4:2),35,20,4,2,n~uwru,N,nuwr,N
(35:25:13:2),35,25,13,2,muniyri,N,m~uniyr,N
