sid,rank_by_dispersion,dispersion,n_stem_roots
1,2,0.504386,18
2,113,0.202984,585
3,107,0.237621,439
4,111,0.227823,462
5,106,0.238817,422
6,101,0.247343,421
7,110,0.231399,477
8,82,0.286605,266
9,99,0.252588,366
10,61,0.311313,290
11,92,0.262099,348
12,100,0.248120,336
13,73,0.300403,244
14,59,0.311969,225
15,70,0.303919,201
16,95,0.257522,358
17,96,0.255515,342
18,105,0.238934,369
19,80,0.288262,239
20,97,0.252789,324
21,88,0.273845,284
22,93,0.259039,328
23,79,0.289377,271
24,90,0.267345,287
25,76,0.297298,250
26,87,0.274843,265
27,78,0.291427,265
28,86,0.275812,296
29,43,0.323027,223
30,39,0.329015,195
31,46,0.318602,184
32,19,0.374046,131
33,84,0.280111,282
34,66,0.305470,221
35,64,0.308200,230
36,51,0.316995,211
37,83,0.283553,240
38,81,0.288167,235
39,63,0.309050,246
40,68,0.304492,257
41,41,0.326203,203
42,37,0.331204,206
43,58,0.312047,225
44,28,0.344478,122
45,16,0.381446,132
46,25,0.351621,177
47,53,0.313810,164
48,52,0.315341,176
49,27,0.344768,112
50,50,0.317043,147
51,35,0.332151,141
52,56,0.312492,133
53,40,0.328363,120
54,47,0.318296,140
55,98,0.252715,105
56,89,0.269877,141
57,31,0.341504,175
58,34,0.335971,143
59,33,0.336183,157
60,32,0.340138,107
61,13,0.390080,81
62,10,0.396930,76
63,9,0.397741,73
64,7,0.411641,96
65,22,0.363538,97
66,24,0.358918,96
67,42,0.324423,127
68,75,0.298317,123
69,72,0.300652,113
70,67,0.304511,105
71,21,0.364388,87
72,45,0.320526,100
73,29,0.344226,91
74,38,0.329712,109
75,54,0.313627,73
76,62,0.309445,112
77,71,0.302243,79
78,60,0.311754,100
79,44,0.322675,93
80,91,0.267293,70
81,74,0.300363,58
82,23,0.362020,37
83,55,0.313080,68
84,20,0.369771,52
85,17,0.376862,53
86,30,0.343966,33
87,18,0.375695,41
88,48,0.318070,50
89,77,0.296464,64
90,49,0.317739,45
91,57,0.312135,36
92,26,0.349380,41
93,69,0.304348,23
94,112,0.223058,14
95,15,0.386762,22
96,8,0.401864,32
97,14,0.389803,16
98,4,0.420008,42
99,12,0.393762,18
100,94,0.258200,23
101,108,0.234072,19
102,36,0.331738,11
103,11,0.396686,9
104,104,0.241459,19
105,65,0.305986,17
106,85,0.275917,11
107,109,0.233187,12
108,102,0.246867,7
109,1,0.565789,4
110,3,0.458480,15
111,114,0.199415,15
112,6,0.413534,7
113,103,0.244817,11
114,5,0.417065,11
