bab_id,N,V,alpha,r2,n_fit_points
1,4939,1754,0.825949,0.978363,566
2,3324,1186,0.853239,0.979236,384
3,3276,1320,0.789122,0.972099,417
4,2431,939,0.813501,0.971562,298
5,2143,778,0.846609,0.981117,252
6,2074,781,0.821853,0.975152,263
7,1838,879,0.749764,0.972925,235
8,1808,742,0.741895,0.979621,254
9,1739,770,0.798342,0.973342,212
10,1622,760,0.696860,0.960337,248
11,1611,670,0.839080,0.974654,185
12,1588,747,0.736005,0.969376,217
13,1474,667,0.654311,0.976827,233
14,1395,718,0.711539,0.964840,187
15,1300,531,0.759828,0.972747,186
16,1299,578,0.755087,0.964140,179
17,1297,621,0.674731,0.968702,199
18,1277,585,0.780380,0.973110,159
19,1261,655,0.685414,0.969469,177
20,1221,536,0.744396,0.967420,174
21,1216,479,0.811208,0.970209,153
22,1213,480,0.828539,0.970124,156
23,1211,620,0.745117,0.961745,157
24,1172,514,0.790642,0.967686,152
25,1140,609,0.684503,0.969413,157
26,1105,442,0.769936,0.967210,158
27,1059,431,0.761318,0.974490,148
28,1054,505,0.790432,0.966464,131
29,1032,462,0.742377,0.969839,142
30,1025,467,0.776068,0.968587,134
31,1011,479,0.804728,0.963538,123
32,987,487,0.681877,0.964443,147
33,978,451,0.778059,0.943829,133
34,948,458,0.735777,0.955147,132
35,938,352,0.740196,0.978671,145
36,931,421,0.744868,0.957929,135
37,908,463,0.683723,0.957797,131
38,907,406,0.747269,0.968281,124
39,896,449,0.687625,0.964718,133
40,894,432,0.761905,0.968480,116
41,889,438,0.717904,0.967724,123
42,878,411,0.698560,0.970657,132
43,875,455,0.668913,0.951426,130
44,874,422,0.720093,0.958064,126
45,865,483,0.624551,0.954637,133
46,860,495,0.637954,0.950167,123
47,838,416,0.713242,0.972529,118
48,823,423,0.660670,0.957566,128
49,805,384,0.653133,0.964665,131
50,804,422,0.736882,0.960106,105
51,803,390,0.714927,0.966836,113
52,797,428,0.689111,0.970765,108
53,785,375,0.801374,0.966884,95
54,780,334,0.766829,0.941235,103
55,775,403,0.668833,0.961707,114
56,760,331,0.738271,0.975552,111
57,747,409,0.603226,0.953648,122
58,744,367,0.753473,0.966468,97
59,741,356,0.577184,0.952624,124
60,736,400,0.641843,0.946179,113
61,736,409,0.613401,0.968730,109
62,735,387,0.678759,0.963460,104
63,734,271,0.753490,0.930449,108
64,731,365,0.674313,0.939626,114
65,731,401,0.629227,0.948333,114
66,730,369,0.734389,0.971021,92
67,719,388,0.751372,0.949174,91
68,696,345,0.737189,0.950708,99
69,684,366,0.599784,0.956170,114
70,661,367,0.577419,0.947972,106
71,661,321,0.765717,0.965843,88
72,655,316,0.837574,0.963210,73
73,652,308,0.734403,0.962660,95
74,635,310,0.658163,0.961345,106
75,631,338,0.643052,0.960337,95
76,627,286,0.718653,0.970961,86
77,623,341,0.715764,0.944431,84
78,614,252,0.716418,0.936012,93
79,611,318,0.680917,0.952949,93
80,608,280,0.778693,0.954076,81
81,598,313,0.780604,0.960340,70
82,578,325,0.567124,0.940702,103
83,576,299,0.691509,0.940901,87
84,571,320,0.697641,0.965482,77
85,568,283,0.704719,0.959277,83
86,566,308,0.658683,0.939970,89
87,560,287,0.652026,0.959041,91
88,555,293,0.655271,0.949241,88
89,553,301,0.699309,0.964594,76
90,552,274,0.774869,0.972487,70
91,552,313,0.563091,0.958886,92
92,548,293,0.717197,0.966927,74
93,547,286,0.634964,0.953175,91
94,540,229,0.544199,0.957848,106
95,536,296,0.622510,0.958595,81
96,530,277,0.693094,0.942231,79
97,525,328,0.632365,0.949356,69
98,517,267,0.710863,0.933031,78
99,514,333,0.575921,0.948828,73
100,510,307,0.489037,0.936368,90
101,508,268,0.689360,0.938317,77
102,507,285,0.653553,0.953865,75
103,503,239,0.647086,0.936952,88
104,495,246,0.751252,0.955782,70
105,493,276,0.551286,0.949875,89
106,489,275,0.749181,0.944491,60
107,486,234,0.545845,0.957812,89
108,486,234,0.545845,0.957812,89
109,485,223,0.677622,0.940031,87
110,485,216,0.675996,0.888342,67
111,478,224,0.772660,0.937107,68
112,477,259,0.629630,0.953196,70
113,476,226,0.657808,0.954967,77
114,475,245,0.593309,0.961877,84
