surah_id,N,V,alpha,r2,n_fit_points,is_muq,period,beta_h159,dispersion_h163
2,6140,2279,0.798537,0.979147,757,1,Medinan,0.793799,0.101789
3,3501,1469,0.761652,0.978253,445,1,Medinan,0.811439,0.127695
4,3763,1513,0.779772,0.975075,484,0,Medinan,0.801286,0.120898
5,2837,1249,0.752098,0.974724,374,0,Medinan,0.809876,0.138387
6,3056,1364,0.733185,0.972515,417,0,Meccan,0.809165,0.136238
7,3341,1558,0.730539,0.972046,442,1,Meccan,0.807283,0.122652
8,1242,641,0.673828,0.972833,172,0,Medinan,0.795413,0.172166
9,2505,1126,0.727692,0.979626,328,0,Medinan,0.829156,0.132823
10,1839,888,0.705606,0.972687,256,1,Meccan,0.790153,0.174099
11,1946,939,0.713017,0.974214,264,1,Meccan,0.802935,0.157293
12,1795,925,0.682074,0.957149,258,1,Meccan,0.805534,0.143672
13,853,511,0.648533,0.964083,106,1,Medinan,0.814477,0.199955
14,830,507,0.614655,0.953252,112,1,Meccan,0.866448,0.199255
15,657,432,0.580674,0.960862,84,1,Meccan,0.885376,0.206841
16,1844,919,0.697983,0.966135,257,0,Meccan,0.795447,0.164509
17,1558,885,0.628560,0.965403,222,0,Meccan,0.820622,0.151029
18,1583,917,0.615602,0.969051,222,0,Meccan,0.838264,0.142252
19,971,589,0.567342,0.946611,148,1,Meccan,0.879767,0.172247
20,1353,809,0.653736,0.968315,169,1,Meccan,0.866868,0.147882
21,1174,678,0.593232,0.963878,168,0,Meccan,0.825966,0.175782
22,1279,693,0.727804,0.959109,158,0,Medinan,0.886820,0.171652
23,1052,622,0.593612,0.962525,153,0,Meccan,0.885762,0.189397
24,1319,676,0.685286,0.971073,184,0,Medinan,0.839965,0.167882
25,896,574,0.504807,0.954920,138,0,Meccan,0.885631,0.192607
26,1320,649,0.722397,0.962659,170,1,Meccan,0.749864,0.172677
27,1159,679,0.611352,0.963576,159,1,Meccan,0.834076,0.178975
28,1438,791,0.658228,0.958747,200,1,Meccan,0.870586,0.160363
29,978,575,0.596231,0.950516,141,1,Meccan,0.851641,0.209616
30,817,451,0.650646,0.968390,115,1,Meccan,0.829012,0.215883
31,550,343,0.637208,0.955917,68,1,Meccan,0.820228,0.226373
32,372,280,0.462397,0.890115,44,1,Meccan,0.949620,0.257125
33,1303,688,0.705267,0.957563,170,0,Medinan,0.808596,0.163397
34,884,514,0.640997,0.966959,120,0,Meccan,0.868620,0.206524
35,778,482,0.662584,0.958047,96,0,Meccan,0.851879,0.200084
36,730,457,0.575345,0.949637,106,1,Meccan,0.835483,0.214065
37,865,535,0.580222,0.946487,121,0,Meccan,0.830066,0.179947
38,735,478,0.561808,0.957645,102,1,Meccan,0.889364,0.182259
39,1177,637,0.651074,0.963313,170,0,Meccan,0.833218,0.201443
40,1226,665,0.641262,0.959822,182,1,Meccan,0.791678,0.189920
41,794,513,0.577226,0.952347,109,1,Meccan,0.819534,0.208332
42,860,462,0.682368,0.977576,111,1,Meccan,0.830572,0.210725
43,836,544,0.494036,0.952363,126,1,Meccan,0.874711,0.207686
44,346,243,0.459293,0.945827,49,1,Meccan,0.803349,0.248409
45,488,314,0.568616,0.956654,69,1,Meccan,0.869242,0.250481
46,645,417,0.591999,0.956266,87,1,Meccan,0.891484,0.227252
47,542,340,0.626683,0.945013,74,0,Medinan,0.895687,0.199262
48,560,362,0.501513,0.906688,85,0,Medinan,0.849067,0.209652
49,353,217,0.657348,0.948158,47,0,Medinan,0.830961,0.236167
50,373,280,0.579718,0.921083,40,1,Meccan,0.846082,0.223257
51,360,265,0.433653,0.895017,51,0,Meccan,0.863053,0.243036
52,312,236,0.559299,0.920586,34,0,Meccan,0.860644,0.232527
53,360,247,0.583601,0.939141,47,0,Meccan,0.812450,0.214659
54,342,231,0.565611,0.939160,45,0,Meccan,0.779002,0.202701
55,352,179,0.925001,0.841451,36,0,Medinan,0.730777,0.183207
56,379,271,0.576957,0.949896,44,0,Meccan,0.904557,0.181343
57,575,365,0.552205,0.954801,84,0,Medinan,0.942615,0.230568
58,475,275,0.554456,0.944769,78,0,Medinan,0.829203,0.242555
59,447,299,0.622039,0.896446,58,0,Medinan,0.885590,0.226790
60,352,239,0.529092,0.951619,50,0,Medinan,0.771719,0.235447
61,226,156,0.499951,0.907091,35,0,Medinan,0.848232,0.275209
62,177,133,0.418363,0.886466,25,0,Medinan,0.799157,0.312779
63,181,139,0.455803,0.868566,24,0,Medinan,0.862104,0.292105
64,242,183,0.429285,0.905002,31,0,Medinan,0.860105,0.300352
65,289,205,0.577901,0.829967,37,0,Medinan,0.867117,0.242996
66,254,197,0.545703,0.922543,27,0,Medinan,0.910467,0.246028
67,333,224,0.532342,0.955502,44,0,Meccan,0.824151,0.240886
68,301,228,0.422095,0.908270,39,1,Meccan,0.830372,0.223978
69,260,203,0.366969,0.869723,35,0,Meccan,0.844417,0.203302
70,217,177,0.499320,0.885410,21,0,Meccan,0.836653,0.226388
71,227,172,0.458651,0.880277,26,0,Meccan,0.899526,0.230973
72,286,201,0.500011,0.939258,40,0,Meccan,0.841804,0.234706
73,200,158,0.425926,0.861515,25,0,Meccan,0.833783,0.248894
74,256,193,0.426859,0.925632,34,0,Meccan,0.865628,0.241971
75,164,124,0.433028,0.908018,22,0,Meccan,0.923313,0.210235
76,243,196,0.497766,0.916620,22,0,Medinan,0.942907,0.192687
77,181,129,0.667622,0.885215,20,0,Meccan,0.812702,0.219872
78,174,146,0.371363,0.900213,17,0,Meccan,0.860091,0.236134
79,179,154,0.260849,0.771099,19,0,Meccan,0.816781,0.214041
80,133,116,0.410679,0.839516,11,0,Meccan,nan,0.206829
81,104,84,0.860021,0.927261,7,0,Meccan,nan,0.222987
82,81,63,0.587963,0.932566,9,0,Meccan,nan,0.276696
83,169,118,0.372082,0.810900,29,0,Meccan,0.939740,0.245352
84,108,91,-0.000000,nan,17,0,Meccan,nan,0.313193
85,109,97,0.195168,0.700275,10,0,Meccan,nan,0.330546
86,61,53,0.175492,0.614972,7,0,Meccan,nan,0.292209
87,72,67,-0.000000,nan,5,0,Meccan,nan,0.284983
88,92,76,0.378580,0.858932,10,0,Meccan,nan,0.239416
89,139,114,0.312329,0.708013,18,0,Meccan,nan,0.223141
90,82,70,-0.000000,nan,12,0,Meccan,nan,0.274336
91,54,48,0.335035,0.740265,4,0,Meccan,nan,0.229720
92,71,59,0.242524,0.740350,9,0,Meccan,nan,0.235057
96,72,55,0.313819,0.840071,11,0,Meccan,nan,0.275839
98,94,70,0.350747,0.874496,16,0,Medinan,nan,0.318716
