rank_by_Q,sid,name_ar,N,Q_LB,z_Q,p_LB_perm,p_LB_chi2,acf_1,acf_2,acf_3,acf_4,acf_5,acf_6,acf_7,acf_8,acf_9,acf_10,pacf_1,pacf_2,pacf_3,pacf_4,pacf_5,max_abs_acf,max_abs_acf_lag,is_muq,period,muq_or_meccan
1,51,الذاريات,60,68.1224,11.2536,0.000500,0.000000,0.5506,0.3996,0.3160,0.2411,0.2752,0.2561,0.3530,0.2812,0.2353,0.0645,0.5506,0.1383,0.0736,0.0184,0.1403,0.5506,1,0,Meccan,1
2,7,الأعراف,206,66.2292,12.0243,0.000500,0.000000,0.2697,0.1752,0.2154,0.1555,0.1898,0.1416,0.1600,0.1445,0.0718,0.1727,0.2697,0.1105,0.1568,0.0587,0.1133,0.2697,1,1,Meccan,1
3,38,ص,88,56.4480,9.7933,0.000500,0.000000,0.3491,0.5680,0.2283,0.3025,0.0893,0.1041,0.0032,-0.0262,0.0491,0.0208,0.3491,0.5080,-0.0714,-0.0241,-0.0751,0.5680,2,1,Meccan,1
4,20,طه,135,35.4806,5.6560,0.001000,0.000103,0.2859,0.1289,0.1293,0.1048,0.0858,0.1445,0.1594,0.2165,0.0313,0.1497,0.2859,0.0513,0.0870,0.0460,0.0353,0.2859,1,1,Meccan,1
5,27,النمل,93,35.0302,5.4719,0.000500,0.000123,0.2415,0.1735,0.1273,0.3097,0.0688,-0.0151,-0.0991,-0.1089,-0.1712,-0.3000,0.2415,0.1223,0.0658,0.2696,-0.0769,0.3097,4,1,Meccan,1
6,52,الطور,49,34.0383,5.8937,0.001000,0.000182,0.3458,0.4187,0.3486,0.1890,0.3660,0.1315,0.1283,0.0623,-0.0057,-0.0344,0.3458,0.3398,0.1740,-0.0739,0.2220,0.4187,2,0,Meccan,1
7,53,النجم,62,33.3843,5.8943,0.001000,0.000235,0.3395,0.2296,0.3078,0.2712,0.2292,0.1652,0.0329,0.0458,0.2308,-0.1246,0.3395,0.1292,0.2253,0.1191,0.0766,0.3395,1,0,Meccan,1
8,2,البقرة,286,30.1233,4.7221,0.001499,0.000818,0.1630,0.1522,0.0865,0.1314,-0.0227,0.0257,0.1265,-0.0057,0.0999,0.0396,0.1630,0.1290,0.0458,0.0979,-0.0745,0.1630,1,1,Medinan,1
9,16,النحل,128,29.2954,4.1602,0.003498,0.001116,0.2668,0.1374,0.2147,0.1075,0.1740,0.0445,-0.1635,0.0752,0.0783,0.0275,0.2668,0.0713,0.1749,0.0073,0.1308,0.2668,1,0,Meccan,1
10,56,الواقعة,96,28.9931,4.1999,0.002499,0.001249,0.4064,0.1704,0.0872,0.0708,-0.0432,0.0018,0.0069,0.1299,0.1480,0.1930,0.4064,0.0062,0.0190,0.0337,-0.1035,0.4064,1,0,Meccan,1
11,18,الكهف,110,27.3689,3.6133,0.004998,0.002276,0.2550,0.2337,0.2558,0.1129,0.1441,0.0136,0.0833,0.1022,0.0155,-0.0401,0.2550,0.1804,0.1780,-0.0128,0.0547,0.2558,3,0,Meccan,1
12,33,الأحزاب,73,26.7238,3.6367,0.007496,0.002880,0.1779,0.2884,0.1805,-0.0499,-0.0859,-0.1407,-0.1590,-0.2479,-0.2136,-0.1426,0.1779,0.2651,0.1062,-0.1795,-0.1595,0.2884,2,0,Medinan,0
13,85,البروج,22,26.6230,4.0841,0.002999,0.002987,0.6399,0.2772,0.1092,-0.1442,-0.3150,-0.2781,-0.3128,-0.2681,-0.1500,-0.1217,0.6399,-0.2242,0.0633,-0.3507,-0.0554,0.6399,1,0,Meccan,1
14,39,الزمر,75,22.2153,2.5665,0.019490,0.014045,0.1745,0.2423,0.1768,0.0501,-0.1499,-0.0200,-0.1901,-0.1528,-0.1292,-0.2136,0.1745,0.2185,0.1144,-0.0425,-0.2360,0.2423,2,0,Meccan,1
15,68,القلم,52,21.0432,2.1794,0.034983,0.020795,0.0831,0.3291,0.0483,0.0238,0.1760,-0.0353,0.2410,0.1485,0.2068,0.2640,0.0831,0.3244,0.0032,-0.0966,0.1849,0.3291,2,1,Meccan,1
16,78,النبأ,40,20.5697,2.9146,0.015992,0.024302,0.4348,0.4227,0.2741,-0.0593,-0.0138,-0.0943,-0.0649,-0.0382,-0.0277,0.0550,0.4348,0.2882,0.0242,-0.3652,0.0023,0.4348,1,0,Meccan,1
