surah_id,type,letter_count,cluster,labial,alveolar,palatal,velar,pharyngeal,glottal,emphatic,voiced,continuant
1,meccan,143,2,0.160839,0.398601,0.097902,0.027972,0.090909,0.034965,0.041958,0.832168,0.881119
2,medinan,26249,1,0.225494,0.322565,0.082746,0.052764,0.052992,0.058593,0.017105,0.759800,0.841708
3,medinan,14985,1,0.224424,0.329596,0.084885,0.052786,0.048048,0.055522,0.016016,0.769303,0.840841
4,medinan,16332,1,0.219263,0.324026,0.089395,0.051249,0.048371,0.058413,0.020389,0.758878,0.850049
5,medinan,12206,1,0.216533,0.318368,0.088563,0.053171,0.052515,0.055628,0.016140,0.770850,0.846551
6,meccan,12726,1,0.219551,0.316675,0.095081,0.058070,0.051391,0.059642,0.018466,0.762691,0.839384
7,meccan,14435,1,0.216349,0.320679,0.085140,0.056945,0.052650,0.056044,0.017873,0.762937,0.837963
8,medinan,5387,1,0.232968,0.314646,0.090960,0.057360,0.050678,0.057546,0.015964,0.772601,0.849081
9,medinan,11115,1,0.233468,0.320108,0.083311,0.046514,0.051642,0.068826,0.016824,0.769051,0.861179
10,meccan,7589,1,0.214389,0.327052,0.092107,0.058110,0.048623,0.051654,0.016339,0.771248,0.842140
11,meccan,7817,1,0.225150,0.308047,0.095049,0.055776,0.053857,0.055264,0.018421,0.774594,0.839197
12,meccan,7307,1,0.195703,0.325989,0.096757,0.056384,0.057205,0.056247,0.017244,0.756261,0.837827
13,medinan,3545,1,0.214669,0.327221,0.087447,0.053879,0.050494,0.064316,0.017489,0.768688,0.834133
14,meccan,3539,1,0.215880,0.346143,0.089291,0.048036,0.048601,0.051144,0.019214,0.779316,0.842046
15,meccan,2882,1,0.211659,0.340042,0.091603,0.058293,0.053435,0.043720,0.019778,0.779667,0.844552
16,meccan,7832,1,0.224591,0.325715,0.089760,0.050306,0.052860,0.061925,0.014300,0.767620,0.851634
17,meccan,6643,1,0.202770,0.332832,0.088213,0.062171,0.053741,0.046064,0.018064,0.765467,0.825681
18,meccan,6552,1,0.204212,0.321734,0.089286,0.049451,0.060440,0.059982,0.020147,0.754579,0.824939
19,meccan,3935,1,0.197713,0.323507,0.104447,0.056671,0.057687,0.045489,0.015502,0.774079,0.827700
20,meccan,5399,1,0.199852,0.319689,0.107983,0.063345,0.059826,0.048713,0.019078,0.747731,0.831080
21,meccan,5094,1,0.213781,0.330781,0.079898,0.051237,0.053592,0.062426,0.018060,0.764429,0.849431
22,medinan,5314,1,0.210764,0.325367,0.102371,0.047422,0.051750,0.063606,0.021265,0.771735,0.856605
23,meccan,4483,1,0.229088,0.317644,0.076734,0.053313,0.057328,0.058220,0.015615,0.758867,0.847201
24,medinan,5754,0,0.220368,0.318213,0.098540,0.041884,0.058394,0.067084,0.019465,0.767119,0.851929
25,meccan,3878,1,0.202682,0.321300,0.095410,0.055183,0.050284,0.047189,0.015730,0.786230,0.843476
26,meccan,5630,1,0.218828,0.329485,0.095027,0.056661,0.056661,0.038366,0.016874,0.790409,0.851687
27,meccan,4790,1,0.208142,0.335282,0.092276,0.054280,0.048434,0.060960,0.019415,0.760543,0.834238
28,meccan,5930,1,0.200675,0.335413,0.101686,0.054806,0.052445,0.059022,0.017369,0.767116,0.838617
