surah,name,type,n_verses,n_chars,lz_count,lz_norm_simple,lz_norm_log,gzip_ratio,heap_beta,zipf_alpha,dispersion,is_muq
1,Al-Fatihah,meccan,7,171,57,0.3333333333333333,2.472617504961966,0.5159235668789809,0.9641035225561292,nan,0.504386,0
2,Al-Baqarah,medinan,286,33368,5328,0.15967393910333252,2.3992889665615498,0.25787345899812003,0.7589654137750551,0.99566,0.202984,1
3,Ali 'Imran,medinan,200,18917,3313,0.17513347782417932,2.4881906185300586,0.27199718623600444,0.8068426811599361,0.953981,0.237621,1
4,An-Nisa,medinan,176,20626,3462,0.16784640744691168,2.4056043273668695,0.26203524607779927,0.7978059602635535,0.964356,0.227823,0
5,Al-Ma'idah,medinan,120,15462,2767,0.1789548570689432,2.490414409881064,0.27494798766052087,0.7945649242611499,0.916651,0.238817,0
6,Al-An'am,meccan,165,16277,3046,0.18713522147815936,2.6181241492021954,0.2895969368568596,0.798184925554801,0.935833,0.247343,0
7,Al-A'raf,meccan,206,18195,3381,0.18582028029678482,2.6295900648691863,0.2882460414129111,0.7996267028904578,0.913216,0.231399,1
8,Al-Anfal,medinan,75,6784,1371,0.2020931603773585,2.5722256696943018,0.2960241652379786,0.8019206848230482,0.82143,0.286605,0
9,At-Tawbah,medinan,129,13957,2487,0.17819015547753816,2.4534470170008595,0.2723346935541381,0.812536561450623,0.907942,0.252588,0
10,Yunus,meccan,109,9677,1924,0.1988219489511212,2.6324710280168286,0.2988327295727675,0.7912989438868194,0.907395,0.311313,1
11,Hud,meccan,123,10036,2013,0.20057791948983658,2.666261575193171,0.3042245692051139,0.7970942108515553,0.855342,0.262099,1
12,Yusuf,meccan,111,9335,1922,0.20589180503481522,2.715390545074694,0.3108180679038129,0.7931714253448899,0.850994,0.24812,1
13,Ar-Ra'd,medinan,43,4547,1057,0.23246096327248736,2.8245632610958826,0.33819027794783885,0.8224546635961587,0.714972,0.300403,1
14,Ibrahim,meccan,52,4478,1055,0.23559624832514514,2.8574618015988142,0.3405599603567889,0.8519362237804433,0.722233,0.311969,1
15,Al-Hijr,meccan,99,3556,867,0.2438132733408324,2.8760310294868985,0.34605242748565224,0.8754144384336459,0.678979,0.303919,1
16,An-Nahl,meccan,128,9913,1967,0.19842630888731969,2.634130286673298,0.29998880429914915,0.7906835347627466,0.83814,0.257522,0
17,Al-Isra,meccan,111,8372,1815,0.21679407548972765,2.825120905662221,0.3210383418316668,0.8231607928710992,0.791194,0.255515,0
18,Al-Kahf,meccan,110,8282,1842,0.22241004588263705,2.894836554423487,0.3284813522940703,0.8362706905790008,0.790803,0.238934,0
19,Maryam,meccan,98,4987,1139,0.22839382394224986,2.8055797953580437,0.33459779091821934,0.8627166756484803,0.74997,0.288262,1
20,Taha,meccan,135,6863,1589,0.23153140026227598,2.9507805570329237,0.33909725604805974,0.8567073506311487,0.765283,0.252789,1
21,Al-Anbya,meccan,112,6391,1413,0.22109216085119698,2.795008621263511,0.3255391010652117,0.8305532208753577,0.775524,0.273845,0
22,Al-Hajj,medinan,78,6746,1427,0.21153276015416544,2.6906579146912044,0.3118563071599242,0.8649749436203911,0.727424,0.259039,0
23,Al-Mu'minun,meccan,118,5608,1252,0.22325249643366618,2.7802237578069366,0.32553317535545023,0.8934045520233471,0.755952,0.289377,0
24,An-Nur,medinan,64,7264,1472,0.2026431718061674,2.5992124687902294,0.2953332316608205,0.817643006678861,0.820494,0.267345,0
