,surah_length,mean_verse_length,muq_cardinality,allah_density,qul_density,prophet_narrative_density,legal_term_density,eschatological_density,book_reference_density,oath_density,divine_name_density,personal_pronoun_density,rhyme_letter_diversity,refrain_density,loanword_density,alpha_zipf,beta_heap,dispersion,noldeke_rank
surah_length,1.0000,0.3491,0.4519,0.1042,0.1462,0.2109,0.1905,0.3114,0.3649,-0.1198,0.1170,0.0872,0.2976,0.1131,0.3625,0.5530,-0.3857,-0.5395,0.3532
mean_verse_length,0.3491,1.0000,0.2963,0.8567,0.3390,0.4658,0.7374,0.7364,0.6190,-0.1514,0.8782,0.4889,0.2128,-0.1845,0.8895,0.5316,-0.1432,-0.1449,0.8986
muq_cardinality,0.4519,0.2963,1.0000,0.0212,0.0932,0.2252,0.2120,0.3347,0.4276,-0.1349,0.0988,0.1186,0.2496,-0.0539,0.4218,0.3235,-0.1169,-0.1690,0.2656
allah_density,0.1042,0.8567,0.0212,1.0000,0.1910,0.3858,0.6762,0.5652,0.3780,-0.0811,0.9594,0.4516,0.0993,-0.1619,0.7003,0.3445,-0.1283,0.0398,0.8121
qul_density,0.1462,0.3390,0.0932,0.1910,1.0000,-0.0075,0.1363,0.2003,0.3192,-0.1837,0.2577,0.1684,-0.0145,-0.0498,0.3387,0.2831,-0.1783,0.0260,0.3665
prophet_narrative_density,0.2109,0.4658,0.2252,0.3858,-0.0075,1.0000,0.3555,0.4065,0.1179,-0.1493,0.3579,0.1286,0.0905,-0.0651,0.5027,0.1766,-0.0364,-0.0294,0.4531
legal_term_density,0.1905,0.7374,0.2120,0.6762,0.1363,0.3555,1.0000,0.6051,0.6748,-0.1033,0.6931,0.3384,0.1226,-0.1444,0.7298,0.2838,-0.0784,0.0137,0.6304
eschatological_density,0.3114,0.7364,0.3347,0.5652,0.2003,0.4065,0.6051,1.0000,0.5841,-0.2006,0.5911,0.4278,0.2374,-0.1566,0.7463,0.3604,-0.0905,-0.0040,0.6792
book_reference_density,0.3649,0.6190,0.4276,0.3780,0.3192,0.1179,0.6748,0.5841,1.0000,-0.1365,0.4306,0.3490,0.1381,-0.1306,0.6837,0.3181,0.0080,-0.0765,0.5343
oath_density,-0.1198,-0.1514,-0.1349,-0.0811,-0.1837,-0.1493,-0.1033,-0.2006,-0.1365,1.0000,-0.0739,-0.1254,0.0375,-0.0325,-0.1729,-0.3199,0.0468,0.0692,-0.1928
divine_name_density,0.1170,0.8782,0.0988,0.9594,0.2577,0.3579,0.6931,0.5911,0.4306,-0.0739,1.0000,0.5125,0.1817,-0.1727,0.7372,0.3700,-0.1101,0.0678,0.8263
personal_pronoun_density,0.0872,0.4889,0.1186,0.4516,0.1684,0.1286,0.3384,0.4278,0.3490,-0.1254,0.5125,1.0000,0.1146,-0.1827,0.3796,0.2544,-0.0681,-0.0147,0.4381
rhyme_letter_diversity,0.2976,0.2128,0.2496,0.0993,-0.0145,0.0905,0.1226,0.2374,0.1381,0.0375,0.1817,0.1146,1.0000,-0.0122,0.2515,0.1449,-0.0587,-0.2220,0.1767
refrain_density,0.1131,-0.1845,-0.0539,-0.1619,-0.0498,-0.0651,-0.1444,-0.1566,-0.1306,-0.0325,-0.1727,-0.1827,-0.0122,1.0000,-0.1858,0.2301,-0.3561,0.0196,-0.0892
loanword_density,0.3625,0.8895,0.4218,0.7003,0.3387,0.5027,0.7298,0.7463,0.6837,-0.1729,0.7372,0.3796,0.2515,-0.1858,1.0000,0.5170,-0.0545,-0.1180,0.8201
alpha_zipf,0.5530,0.5316,0.3235,0.3445,0.2831,0.1766,0.2838,0.3604,0.3181,-0.3199,0.3700,0.2544,0.1449,0.2301,0.5170,1.0000,-0.4568,-0.5839,0.5783
beta_heap,-0.3857,-0.1432,-0.1169,-0.1283,-0.1783,-0.0364,-0.0784,-0.0905,0.0080,0.0468,-0.1101,-0.0681,-0.0587,-0.3561,-0.0545,-0.4568,1.0000,0.3351,-0.0868
dispersion,-0.5395,-0.1449,-0.1690,0.0398,0.0260,-0.0294,0.0137,-0.0040,-0.0765,0.0692,0.0678,-0.0147,-0.2220,0.0196,-0.1180,-0.5839,0.3351,1.0000,-0.0050
noldeke_rank,0.3532,0.8986,0.2656,0.8121,0.3665,0.4531,0.6304,0.6792,0.5343,-0.1928,0.8263,0.4381,0.1767,-0.0892,0.8201,0.5783,-0.0868,-0.0050,1.0000
