feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
surah_length,0.4246,0.7338,-0.1347,-0.0655,0.0345,-0.0061,0.1324,-0.0120,-0.0215,0.0051,0.2153,0.3124,0.1863,-0.2244,-0.0696,0.0073,0.0740,0.0066,0.0016
mean_verse_length,0.9634,-0.0742,0.0447,-0.0679,0.0366,-0.0594,0.0715,-0.0409,0.0315,-0.0060,-0.0062,0.0164,0.0276,0.0942,0.0356,-0.0102,-0.0173,0.1869,0.0233
muq_cardinality,0.3942,0.4568,-0.4269,0.1857,-0.1470,0.3163,-0.0355,0.0444,-0.2303,-0.2886,-0.3258,-0.0352,0.1351,0.1586,-0.0766,0.0301,-0.0171,-0.0076,0.0075
allah_density,0.8210,-0.3294,0.2579,-0.2411,0.0410,-0.1267,0.0372,-0.0034,0.0435,0.0281,-0.1277,0.0790,0.1259,0.0615,0.0101,0.1071,0.0426,-0.0641,0.1064
qul_density,0.3572,0.0679,0.2880,0.5801,0.3093,0.0558,0.0696,-0.5397,-0.0820,-0.0005,0.1405,-0.1217,0.0013,0.0270,-0.0985,0.0400,0.0027,-0.0107,0.0081
prophet_narrative_density,0.4914,-0.0290,-0.0797,-0.2782,-0.6458,-0.0566,0.1164,-0.2276,-0.2643,-0.0721,0.2203,-0.2197,-0.0154,-0.0939,0.0454,0.0705,-0.0171,-0.0075,-0.0052
legal_term_density,0.7848,-0.1877,-0.0344,-0.0591,-0.0137,0.1951,0.1397,0.2449,0.1058,0.2812,-0.0479,-0.2105,0.0171,-0.1467,-0.2505,-0.0509,-0.0496,-0.0032,0.0036
eschatological_density,0.7967,-0.0518,-0.1474,0.0341,-0.0990,0.1246,-0.1271,0.0684,-0.0763,0.0805,0.1573,0.2598,-0.3931,0.1508,-0.0856,0.0625,-0.0126,-0.0176,-0.0048
book_reference_density,0.6975,0.0667,-0.2440,0.3295,0.1812,0.3187,0.1060,0.2491,0.1291,0.1387,0.1170,-0.1026,0.0292,-0.0639,0.2350,0.1091,-0.0276,-0.0163,-0.0052
oath_density,-0.2245,-0.1808,-0.1464,-0.5398,0.4763,0.3467,0.3521,-0.0976,-0.0123,-0.3193,0.0958,-0.0369,-0.1023,-0.0101,-0.0133,0.0039,-0.0120,-0.0053,0.0020
divine_name_density,0.8552,-0.3135,0.2077,-0.1903,0.1041,-0.0760,-0.0436,-0.0370,0.0391,-0.0205,-0.1432,0.0355,0.1245,0.0405,-0.0223,0.1020,0.0710,-0.0114,-0.1193
personal_pronoun_density,0.5326,-0.1726,0.0405,0.0683,0.2929,-0.2349,-0.3953,0.3447,-0.3154,-0.2906,0.2438,-0.1192,0.0447,-0.0507,-0.0250,-0.0360,0.0112,-0.0044,0.0084
rhyme_letter_diversity,0.2630,0.2900,-0.3800,-0.3712,0.2117,0.0540,-0.5781,-0.3367,0.1390,0.1697,-0.0683,-0.0962,-0.0222,-0.0758,0.0232,0.0093,-0.0181,0.0006,0.0099
refrain_density,-0.1681,0.3933,0.5559,-0.1475,-0.2054,0.4142,-0.2244,0.1090,0.3214,-0.1103,0.2336,-0.0786,0.0839,0.1601,-0.0311,0.0055,0.0197,0.0024,0.0016
loanword_density,0.9266,-0.0035,-0.1131,0.0297,-0.0651,0.0712,0.0879,-0.0822,0.0544,0.0070,-0.0149,-0.0763,-0.0724,0.0714,0.0850,-0.2050,0.1847,-0.0350,0.0015
alpha_zipf,0.4834,0.5297,0.3223,0.0720,-0.0213,-0.2122,0.0384,0.0620,0.2367,-0.2968,-0.2424,-0.0834,-0.2704,-0.2035,0.0156,0.0355,-0.0042,0.0009,0.0034
beta_heap,-0.0720,-0.4549,-0.5519,0.2167,-0.1549,-0.2086,-0.0158,-0.0550,0.5103,-0.2691,0.1438,-0.0020,0.0593,0.0110,-0.0806,0.0356,0.0237,0.0009,0.0052
dispersion,-0.1287,-0.6737,0.1654,0.1783,-0.1827,0.4960,-0.2356,-0.0922,-0.0709,-0.1279,-0.1108,0.1528,-0.0090,-0.2584,0.0209,-0.0110,0.0417,0.0290,0.0115
noldeke_rank,0.9063,-0.0889,0.1251,-0.0098,-0.0529,-0.0209,0.0040,-0.1354,0.1024,-0.1247,0.0204,0.1646,0.1014,0.0046,0.0657,-0.1354,-0.2104,-0.0495,-0.0162
