rank,n_letters,n_bigrams,H_unigram,H_joint,H_cond
1,19329,19328,4.482997,8.381714,3.898717
2,13064,13063,4.421129,8.249039,3.827910
3,12853,12852,4.464429,8.353409,3.888981
4,9516,9515,4.446292,8.226970,3.780678
5,8336,8335,4.438292,8.207843,3.769551
6,8024,8023,4.451047,8.188968,3.737920
7,7227,7226,4.464206,8.228762,3.764556
8,7209,7208,4.467264,8.335239,3.867975
9,6747,6746,4.474465,8.260027,3.785562
10,6486,6485,4.443496,8.273192,3.829696
11,6312,6311,4.473302,8.352209,3.878908
12,6306,6305,4.480089,8.165167,3.685078
13,5946,5945,4.492773,8.306296,3.813523
14,5414,5413,4.458946,8.304862,3.845916
15,5217,5216,4.451011,8.213733,3.762722
16,5174,5173,4.483228,8.283432,3.800204
17,5120,5119,4.452602,8.164473,3.711871
18,5048,5047,4.415301,8.101981,3.686680
19,5031,5030,4.452164,8.278915,3.826750
20,4984,4983,4.439598,8.112626,3.673028
21,4748,4747,4.432796,8.203659,3.770863
22,4689,4688,4.446382,8.079417,3.633035
23,4580,4579,4.443523,8.057419,3.613896
24,4507,4506,4.458523,8.284492,3.825969
25,4504,4503,4.454877,8.133768,3.678892
26,4189,4188,4.460250,8.180639,3.720389
27,4182,4181,4.425564,8.055043,3.629479
28,4092,4091,4.363502,7.922438,3.558936
29,4009,4008,4.439409,8.070265,3.630856
30,4007,4006,4.380265,7.987519,3.607255
31,3972,3971,4.434986,8.069391,3.634405
32,3963,3962,4.439737,8.060276,3.620540
33,3878,3877,4.465882,8.224445,3.758563
34,3771,3770,4.377887,7.990972,3.613086
35,3654,3653,4.398689,8.057698,3.659009
36,3642,3641,4.407540,8.033949,3.626409
37,3581,3580,4.404891,7.877668,3.472778
38,3564,3563,4.443954,8.064432,3.620478
39,3546,3545,4.460276,8.171737,3.711460
40,3521,3520,4.451502,7.980376,3.528873
41,3502,3501,4.445042,8.084171,3.639129
42,3498,3497,4.391070,8.043198,3.652129
43,3429,3428,4.453053,8.223505,3.770452
44,3404,3403,4.476904,8.154119,3.677215
45,3398,3397,4.420536,8.172130,3.751594
46,3371,3370,4.473740,8.151222,3.677483
47,3251,3250,4.467329,8.119681,3.652352
48,3224,3223,4.436694,8.112862,3.676167
49,3189,3188,4.485315,8.201459,3.716144
50,3184,3183,4.463757,8.123006,3.659249
51,3128,3127,4.422361,8.087481,3.665120
52,3118,3117,4.422276,7.968430,3.546154
53,3086,3085,4.434249,7.979227,3.544978
54,3072,3071,4.421928,8.075635,3.653707
55,3059,3058,4.441846,8.091744,3.649898
56,2966,2965,4.509934,8.074200,3.564266
57,2956,2955,4.548958,8.292311,3.743353
58,2954,2953,4.437084,8.139030,3.701945
59,2920,2919,4.490599,8.124672,3.634074
60,2916,2915,4.465120,8.177957,3.712838
61,2908,2907,4.426138,8.088387,3.662249
62,2886,2885,4.446272,8.070994,3.624722
63,2873,2872,4.472295,8.147973,3.675678
64,2872,2871,4.457974,7.874332,3.416357
65,2869,2868,4.495594,8.189129,3.693534
66,2827,2826,4.427775,7.994538,3.566763
67,2798,2797,4.456747,8.115864,3.659117
68,2709,2708,4.536835,8.233580,3.696745
69,2558,2557,4.502836,8.113090,3.610253
70,2535,2534,4.439669,8.110825,3.671156
71,2516,2515,4.429937,7.954421,3.524484
72,2513,2512,4.394667,7.936033,3.541366
73,2475,2474,4.407839,7.872151,3.464311
74,2425,2424,4.472261,8.053551,3.581290
75,2421,2420,4.458216,8.085798,3.627583
76,2404,2403,4.379673,7.854114,3.474441
77,2390,2389,4.463228,7.863799,3.400571
78,2387,2386,4.486429,8.142801,3.656372
79,2346,2345,4.425777,8.010360,3.584583
80,2343,2342,4.416859,7.926388,3.509530
81,2333,2332,4.414542,7.861521,3.446979
82,2297,2296,4.467602,8.004182,3.536580
83,2262,2261,4.431344,7.948170,3.516826
84,2259,2258,4.348465,7.891005,3.542540
85,2250,2249,4.394913,7.821500,3.426587
86,2236,2235,4.457176,8.031623,3.574447
87,2234,2233,4.530054,8.138495,3.608441
88,2201,2200,4.456838,8.083238,3.626400
89,2188,2187,4.395318,7.921228,3.525910
90,2155,2154,4.470115,7.984609,3.514493
91,2154,2153,4.441968,8.042269,3.600301
92,2143,2142,4.489721,7.937622,3.447901
93,2131,2130,4.372136,7.689391,3.317254
94,2122,2121,4.406476,7.985012,3.578536
95,2122,2121,4.409028,7.969177,3.560150
96,2108,2107,4.330258,7.784437,3.454179
97,2080,2079,4.502493,8.117220,3.614727
98,2053,2052,4.382509,7.812304,3.429795
99,2048,2047,4.409799,7.843942,3.434143
100,2044,2043,4.488195,8.035651,3.547456
101,2043,2042,4.455642,8.135767,3.680125
102,1977,1976,4.466893,7.984132,3.517240
103,1943,1942,4.412053,7.765774,3.353721
104,1928,1927,4.415149,7.837717,3.422568
105,1918,1917,4.430517,7.793638,3.363121
106,1918,1917,4.430517,7.793638,3.363121
107,1909,1908,4.473893,8.096661,3.622768
108,1901,1900,4.344938,7.680422,3.335484
109,1897,1896,4.413967,7.977125,3.563158
110,1888,1887,4.417857,7.972142,3.554285
111,1887,1886,4.355433,7.809376,3.453943
112,1858,1857,4.473892,7.994132,3.520240
113,1856,1855,4.453330,7.889496,3.436166
114,1855,1854,4.322310,7.592472,3.270162
