sid,name,type,n_verses,n_letters,n_bigrams,H_unigram,H_joint,H_cond,residual_H_cond
1,Al-Fatihah,meccan,7,143,142,3.922502,5.931481,2.008979,-0.194661
2,Al-Baqarah,medinan,286,26249,26248,4.359020,8.224247,3.865227,-0.716371
3,Ali 'Imran,medinan,200,14985,14984,4.329988,8.133403,3.803415,-0.522777
4,An-Nisa,medinan,176,16332,16331,4.342960,8.150877,3.807917,-0.557493
5,Al-Ma'idah,medinan,120,12206,12205,4.343909,8.132133,3.788223,-0.444510
6,Al-An'am,meccan,165,12726,12725,4.408838,8.286887,3.878049,-0.373693
7,Al-A'raf,meccan,206,14435,14434,4.393050,8.274107,3.881057,-0.428098
8,Al-Anfal,medinan,75,5387,5386,4.338496,7.990670,3.652173,-0.207868
9,At-Tawbah,medinan,129,11115,11114,4.326756,8.055887,3.729131,-0.460942
10,Yunus,meccan,109,7589,7588,4.355420,8.160237,3.804817,-0.211384
11,Hud,meccan,123,7817,7816,4.404420,8.280652,3.876232,-0.153458
12,Yusuf,meccan,111,7307,7306,4.403438,8.282820,3.879383,-0.119565
13,Ar-Ra'd,medinan,43,3545,3544,4.368590,8.070982,3.702393,0.033037
14,Ibrahim,meccan,52,3539,3538,4.373714,8.115978,3.742263,0.073679
15,Al-Hijr,meccan,99,2882,2881,4.345248,8.001507,3.656259,0.081264
16,An-Nahl,meccan,128,7832,7831,4.363401,8.161273,3.797872,-0.232691
17,Al-Isra,meccan,111,6643,6642,4.437544,8.357225,3.919681,-0.035856
18,Al-Kahf,meccan,110,6552,6551,4.465762,8.391264,3.925502,-0.023751
19,Maryam,meccan,98,3935,3934,4.366223,8.166558,3.800335,0.083415
20,Taha,meccan,135,5399,5398,4.473426,8.364314,3.890888,0.029832
21,Al-Anbya,meccan,112,5094,5093,4.354753,8.126512,3.771759,-0.062799
22,Al-Hajj,medinan,78,5314,5313,4.354336,8.114482,3.760146,-0.093679
23,Al-Mu'minun,meccan,118,4483,4482,4.392298,8.146984,3.754685,-0.021649
24,An-Nur,medinan,64,5754,5753,4.382979,8.115679,3.732700,-0.157373
25,Al-Furqan,meccan,77,3878,3877,4.339259,8.101513,3.762254,0.051983
26,Ash-Shu'ara,meccan,227,5630,5629,4.362066,8.047630,3.685564,-0.194582
27,An-Naml,meccan,93,4790,4789,4.404449,8.235381,3.830932,0.024413
28,Al-Qasas,meccan,88,5930,5929,4.377198,8.187270,3.810072,-0.093730
29,Al-'Ankabut,meccan,69,4317,4316,4.303839,7.970013,3.666174,-0.092967
30,Ar-Rum,meccan,60,3472,3471,4.389834,8.036975,3.647141,-0.012733
31,Luqman,meccan,34,2171,2170,4.364816,7.978655,3.613839,0.167963
32,As-Sajdah,meccan,30,1563,1562,4.334516,7.882320,3.547804,0.251707
33,Al-Ahzab,medinan,73,5788,5787,4.304875,8.018860,3.713985,-0.178773
34,Saba,meccan,54,3594,3593,4.369428,8.094501,3.725073,0.049461
35,Fatir,meccan,45,3238,3237,4.384700,8.089580,3.704880,0.076804
36,Ya-Sin,meccan,83,3068,3067,4.364093,8.058940,3.694846,0.091348
37,As-Saffat,meccan,182,3899,3898,4.353070,8.016578,3.663508,-0.049224
38,Sad,meccan,88,3065,3064,4.435639,8.203702,3.768063,0.165011
39,Az-Zumar,meccan,75,4869,4868,4.385260,8.152943,3.767683,-0.046289
40,Ghafir,meccan,85,5108,5107,4.362871,8.112136,3.749266,-0.086543
41,Fussilat,meccan,54,3365,3364,4.400088,8.168866,3.768778,0.123169
42,Ash-Shuraa,meccan,53,3522,3521,4.364231,8.031244,3.667014,0.000624
43,Az-Zukhruf,meccan,89,3609,3608,4.389958,8.132195,3.742237,0.064727
44,Ad-Dukhan,meccan,59,1474,1473,4.326256,7.798516,3.472260,0.202891
45,Al-Jathiyah,meccan,37,2085,2084,4.321060,7.886694,3.565633,0.138180
46,Al-Ahqaf,meccan,35,2667,2666,4.356229,8.056957,3.700728,0.161068
47,Muhammad,medinan,38,2423,2422,4.349175,7.851660,3.502484,0.006554
48,Al-Fath,medinan,29,2510,2509,4.380241,7.965964,3.585723,0.073715
49,Al-Hujurat,medinan,18,1533,1532,4.308076,7.670659,3.362583,0.075322
50,Qaf,meccan,45,1507,1506,4.396595,8.023915,3.627320,0.347857
51,Adh-Dhariyat,meccan,60,1546,1545,4.343744,7.888718,3.544974,0.253863
52,At-Tur,meccan,49,1324,1323,4.329045,7.876730,3.547685,0.327246
53,An-Najm,meccan,62,1433,1432,4.494825,8.009210,3.514385,0.257877
54,Al-Qamar,meccan,55,1469,1468,4.490397,8.028959,3.538563,0.270743
55,Ar-Rahman,medinan,78,1647,1646,4.322239,7.145856,2.823616,-0.496344
56,Al-Waqi'ah,meccan,96,1756,1755,4.353797,7.820766,3.466969,0.117796
57,Al-Hadid,medinan,29,2545,2544,4.326078,7.880754,3.554676,0.036356
58,Al-Mujadila,medinan,22,2046,2045,4.306041,7.809265,3.503224,0.084377
59,Al-Hashr,medinan,24,1970,1969,4.304592,7.813466,3.508875,0.107282
60,Al-Mumtahanah,medinan,13,1560,1559,4.312950,7.723844,3.410894,0.115673
61,As-Saf,medinan,14,966,965,4.305705,7.611666,3.305960,0.229273
62,Al-Jumu'ah,medinan,11,768,767,4.226728,7.388002,3.161274,0.189209
63,Al-Munafiqun,medinan,11,801,800,4.306452,7.454300,3.147848,0.156591
64,At-Taghabun,medinan,18,1091,1090,4.310665,7.670459,3.359794,0.227614
65,At-Talaq,medinan,12,1203,1202,4.401727,7.804910,3.403182,0.226441
66,At-Tahrim,medinan,12,1105,1104,4.333310,7.763108,3.429797,0.291803
67,Al-Mulk,meccan,30,1347,1346,4.408900,7.883233,3.474333,0.246042
68,Al-Qalam,meccan,52,1289,1288,4.391177,7.940727,3.549550,0.341326
69,Al-Haqqah,meccan,52,1133,1132,4.443095,7.906387,3.463292,0.313886
70,Al-Ma'arij,meccan,44,971,970,4.357961,7.743770,3.385809,0.306768
71,Nuh,meccan,28,965,964,4.304876,7.562205,3.257329,0.181114
72,Al-Jinn,meccan,28,1109,1108,4.339006,7.693663,3.354657,0.215014
73,Al-Muzzammil,meccan,20,854,853,4.388422,7.745564,3.357142,0.336660
74,Al-Muddaththir,meccan,56,1035,1034,4.452089,7.935627,3.483538,0.375387
75,Al-Qiyamah,meccan,40,676,675,4.443245,7.575662,3.132418,0.218565
76,Al-Insan,medinan,31,1087,1086,4.407494,7.846596,3.439102,0.308597
77,Al-Mursalat,meccan,50,841,840,4.267592,7.440987,3.173395,0.159910
78,An-Naba,meccan,40,796,795,4.255569,7.539738,3.284169,0.295769
79,An-Nazi'at,meccan,46,785,784,4.502299,7.740782,3.238483,0.256430
80,'Abasa,meccan,42,552,551,4.607417,7.787168,3.179751,0.358374
81,At-Takwir,meccan,29,435,434,4.409216,7.217161,2.807945,0.095312
82,Al-Infitar,meccan,19,333,332,4.265397,7.016819,2.751422,0.160845
83,Al-Mutaffifin,meccan,36,750,749,4.276336,7.419595,3.143259,0.182013
84,Al-Inshiqaq,meccan,25,445,444,4.374380,7.470382,3.096002,0.372991
