surah_id,translit,gloss,class,mushaf_rank,revelation_order,type,noldeke_phase
1,Al-Fatihah,the Opening,REVELATION_RITUAL,1,5,meccan,Early Meccan
2,Al-Baqarah,the Cow,ANIMAL_OBJECT,2,87,medinan,Medinan
3,Al-Imran,the Family of Imran,PROPHET_PERSON,3,89,medinan,Medinan
4,An-Nisa,the Women,SOCIAL_LEGAL,4,92,medinan,Medinan
5,Al-Maidah,the Table-spread,ANIMAL_OBJECT,5,112,medinan,Medinan
6,Al-Anam,the Cattle,ANIMAL_OBJECT,6,55,meccan,Late Meccan
7,Al-Araf,the Heights,COSMOLOGICAL_NATURAL,7,39,meccan,Late Meccan
8,Al-Anfal,the Spoils,SOCIAL_LEGAL,8,88,medinan,Medinan
9,At-Tawbah,the Repentance,REVELATION_RITUAL,9,113,medinan,Medinan
10,Yunus,Jonah,PROPHET_PERSON,10,51,meccan,Late Meccan
11,Hud,Hud,PROPHET_PERSON,11,52,meccan,Late Meccan
12,Yusuf,Joseph,PROPHET_PERSON,12,53,meccan,Late Meccan
13,Ar-Rad,the Thunder,COSMOLOGICAL_NATURAL,13,96,medinan,Late Meccan
14,Ibrahim,Abraham,PROPHET_PERSON,14,72,meccan,Late Meccan
15,Al-Hijr,the Rocky Tract,COSMOLOGICAL_NATURAL,15,54,meccan,Middle Meccan
16,An-Nahl,the Bee,ANIMAL_OBJECT,16,70,meccan,Late Meccan
17,Al-Isra,the Night Journey,REVELATION_RITUAL,17,50,meccan,Middle Meccan
18,Al-Kahf,the Cave,REVELATION_RITUAL,18,69,meccan,Middle Meccan
19,Maryam,Mary,PROPHET_PERSON,19,44,meccan,Middle Meccan
20,Ta-Ha,Ta-Ha,MUQATTAAT_LETTER,20,45,meccan,Middle Meccan
21,Al-Anbiya,the Prophets,PROPHET_PERSON,21,73,meccan,Middle Meccan
22,Al-Hajj,the Pilgrimage,REVELATION_RITUAL,22,103,medinan,Medinan
23,Al-Muminun,the Believers,SOCIAL_LEGAL,23,74,meccan,Middle Meccan
24,An-Nur,the Light,DIVINE_ATTRIBUTE,24,102,medinan,Medinan
25,Al-Furqan,the Criterion,REVELATION_RITUAL,25,42,meccan,Middle Meccan
26,Ash-Shuara,the Poets,SOCIAL_LEGAL,26,47,meccan,Middle Meccan
27,An-Naml,the Ant,ANIMAL_OBJECT,27,48,meccan,Middle Meccan
28,Al-Qasas,the Stories,REVELATION_RITUAL,28,49,meccan,Late Meccan
29,Al-Ankabut,the Spider,ANIMAL_OBJECT,29,85,meccan,Late Meccan
30,Ar-Rum,the Romans,SOCIAL_LEGAL,30,84,meccan,Late Meccan
31,Luqman,Luqman,PROPHET_PERSON,31,57,meccan,Late Meccan
32,As-Sajdah,the Prostration,REVELATION_RITUAL,32,75,meccan,Late Meccan
33,Al-Ahzab,the Confederates,SOCIAL_LEGAL,33,90,medinan,Medinan
34,Saba,Sheba,PROPHET_PERSON,34,58,meccan,Late Meccan
35,Fatir,the Originator,DIVINE_ATTRIBUTE,35,43,meccan,Late Meccan
36,Ya-Sin,Ya-Sin,MUQATTAAT_LETTER,36,41,meccan,Middle Meccan
37,As-Saffat,the Ranks,SOCIAL_LEGAL,37,56,meccan,Middle Meccan
38,Sad,Sad,MUQATTAAT_LETTER,38,38,meccan,Middle Meccan
39,Az-Zumar,the Groups,SOCIAL_LEGAL,39,59,meccan,Late Meccan
40,Ghafir,the Forgiver,DIVINE_ATTRIBUTE,40,60,meccan,Late Meccan
41,Fussilat,Explained in Detail,REVELATION_RITUAL,41,61,meccan,Late Meccan
42,Ash-Shura,the Consultation,SOCIAL_LEGAL,42,62,meccan,Late Meccan
43,Az-Zukhruf,the Gold Adornments,ANIMAL_OBJECT,43,63,meccan,Middle Meccan
44,Ad-Dukhan,the Smoke,COSMOLOGICAL_NATURAL,44,64,meccan,Middle Meccan
45,Al-Jathiyah,the Kneeling,EVENT_ESCHATOLOGICAL,45,65,meccan,Late Meccan
46,Al-Ahqaf,the Sand-dunes,COSMOLOGICAL_NATURAL,46,66,meccan,Late Meccan
47,Muhammad,Muhammad,PROPHET_PERSON,47,95,medinan,Medinan
48,Al-Fath,the Victory,EVENT_ESCHATOLOGICAL,48,111,medinan,Medinan
