rank,surah,ayah,idx,pagerank,degree,celebrated,text_preview
1,55,13,4913,0.00235276,31,0,فبأي آلاء ربكما تكذبان
2,77,15,5636,0.00089751,11,0,ويل يومئذ للمكذبين
3,26,108,3039,0.00081097,10,0,فاتقوا الله وأطيعون
4,26,8,2939,0.00071374,9,0,إن في ذلك لآية ۖ وما كان أكثرهم مؤمنين
5,26,9,2940,0.00066258,8,0,وإن ربك لهو العزيز الرحيم
6,75,9,5559,0.00057299,7,0,وجمع الشمس والقمر
7,1,2,1,0.00056696,7,1,الحمد لله رب العالمين
8,29,47,3386,0.00056629,7,0,وكذلك أنزلنا إليك الكتاب ۚ فالذين آتيناهم الكتاب يؤمنون به ۖ ومن هؤلاء من يؤمن به ۚ وما يجحد بآياتنا
9,96,2,6107,0.00055860,7,0,خلق الإنسان من علق
10,56,24,5002,0.00054324,7,0,جزاء بما كانوا يعملون
11,6,21,809,0.00054065,7,0,ومن أظلم ممن افترى على الله كذبا أو كذب بآياته ۗ إنه لا يفلح الظالمون
12,3,16,308,0.00053798,7,0,الذين يقولون ربنا إننا آمنا فاغفر لنا ذنوبنا وقنا عذاب النار
13,26,226,3157,0.00053392,7,0,وأنهم يقولون ما لا يفعلون
14,30,26,3434,0.00053022,7,0,وله من في السماوات والأرض ۖ كل له قانتون
15,2,1,7,0.00052897,6,0,الم
16,10,48,1411,0.00052897,6,0,ويقولون متى هذا الوعد إن كنتم صادقين
17,31,26,3494,0.00052897,6,0,لله ما في السماوات والأرض ۚ إن الله هو الغني الحميد
18,37,80,3867,0.00052897,6,0,إنا كذلك نجزي المحسنين
19,40,1,4133,0.00052897,6,0,حم
20,2,136,142,0.00051687,7,0,قولوا آمنا بالله وما أنزل إلينا وما أنزل إلى إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط وما أوتي موسى و
21,33,12,3544,0.00051359,6,0,وإذ يقول المنافقون والذين في قلوبهم مرض ما وعدنا الله ورسوله إلا غرورا
22,39,26,4083,0.00050396,7,0,فأذاقهم الله الخزي في الحياة الدنيا ۖ ولعذاب الآخرة أكبر ۚ لو كانوا يعلمون
23,16,33,1933,0.00050065,6,0,هل ينظرون إلا أن تأتيهم الملائكة أو يأتي أمر ربك ۚ كذلك فعل الذين من قبلهم ۚ وما ظلمهم الله ولكن كان
24,74,27,5521,0.00050065,6,0,وما أدراك ما سقر
25,16,20,1920,0.00049336,6,0,والذين يدعون من دون الله لا يخلقون شيئا وهم يخلقون
26,56,13,4991,0.00048961,6,0,ثلة من الأولين
27,75,22,5572,0.00048961,6,0,وجوه يومئذ ناضرة
28,29,62,3401,0.00048868,6,0,الله يبسط الرزق لمن يشاء من عباده ويقدر له ۚ إن الله بكل شيء عليم
29,33,3,3535,0.00048181,6,0,وتوكل على الله ۚ وكفى بالله وكيلا
30,3,132,424,0.00048181,6,0,وأطيعوا الله والرسول لعلكم ترحمون
31,4,111,603,0.00047703,6,0,ومن يكسب إثما فإنما يكسبه على نفسه ۚ وكان الله عليما حكيما
32,39,27,4084,0.00047493,6,0,ولقد ضربنا للناس في هذا القرآن من كل مثل لعلهم يتذكرون
33,10,76,1439,0.00047459,6,0,فلما جاءهم الحق من عندنا قالوا إن هذا لسحر مبين
34,7,125,1078,0.00047388,6,0,قالوا إنا إلى ربنا منقلبون
35,20,5,2352,0.00047330,6,0,الرحمن على العرش استوى
36,5,120,788,0.00047266,6,0,لله ملك السماوات والأرض وما فيهن ۚ وهو على كل شيء قدير
37,35,38,3697,0.00046881,6,0,إن الله عالم غيب السماوات والأرض ۚ إنه عليم بذات الصدور
38,2,215,221,0.00046722,6,0,يسألونك ماذا ينفقون ۖ قل ما أنفقتم من خير فللوالدين والأقربين واليتامى والمساكين وابن السبيل ۗ وما ت
39,44,6,4419,0.00046633,6,0,رحمة من ربك ۚ إنه هو السميع العليم
40,2,212,218,0.00046474,6,0,زين للذين كفروا الحياة الدنيا ويسخرون من الذين آمنوا ۘ والذين اتقوا فوقهم يوم القيامة ۗ والله يرزق م
41,49,15,4626,0.00046447,6,0,إنما المؤمنون الذين آمنوا بالله ورسوله ثم لم يرتابوا وجاهدوا بأموالهم وأنفسهم في سبيل الله ۚ أولئك ه
42,2,190,196,0.00046218,6,0,وقاتلوا في سبيل الله الذين يقاتلونكم ولا تعتدوا ۚ إن الله لا يحب المعتدين
43,3,89,381,0.00046020,6,0,إلا الذين تابوا من بعد ذلك وأصلحوا فإن الله غفور رحيم
44,17,10,2038,0.00045576,6,0,وأن الذين لا يؤمنون بالآخرة أعتدنا لهم عذابا أليما
45,19,49,2298,0.00045526,5,0,فلما اعتزلهم وما يعبدون من دون الله وهبنا له إسحاق ويعقوب ۖ وكلا جعلنا نبيا
46,20,110,2457,0.00045526,5,0,يعلم ما بين أيديهم وما خلفهم ولا يحيطون به علما
47,26,107,3038,0.00045526,5,0,إني لكم رسول أمين
48,37,109,3896,0.00045526,5,0,سلام على إبراهيم
49,10,55,1418,0.00044997,6,0,ألا إن لله ما في السماوات والأرض ۗ ألا إن وعد الله حق ولكن أكثرهم لا يعلمون
50,13,34,1740,0.00044612,6,0,لهم عذاب في الحياة الدنيا ۖ ولعذاب الآخرة أشق ۖ وما لهم من الله من واق
