surah_id,name,transliteration,type,length_tokens,MaxN,top_ngram,top_count,h195_residual,highest_count_refrain_ngram,highest_count_refrain_count,highest_count_refrain_n
1,الفاتحة,Al-Fatihah,meccan,29,0,,0,-0.194661,,,
2,البقرة,Al-Baqarah,medinan,6140,9,أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,4,-0.716371,إن الله,23,2
3,آل عمران,Ali 'Imran,medinan,3501,6,تجري من تحتها الأنهار خالدين فيها,3,-0.522777,إن الله,15,2
4,النساء,An-Nisa,medinan,3763,7,جنات تجري من تحتها الأنهار خالدين فيها,3,-0.557493,إن الله,25,2
5,المائدة,Al-Ma'idah,medinan,2837,8,ومن لم يحكم بما أنزل الله فأولئك هم,3,-0.44451,الذين آمنوا,20,2
6,الأنعام,Al-An'am,meccan,3056,6,أظلم ممن افترى على الله كذبا,3,-0.373693,بما كانوا,10,2
7,الأعراف,Al-A'raf,meccan,3341,10,قال يا قوم اعبدوا الله ما لكم من إله غيره,3,-0.428098,في الأرض,10,2
8,الأنفال,Al-Anfal,medinan,1242,4,يا أيها الذين آمنوا,6,-0.207868,يا أيها,9,2
9,التوبة,At-Tawbah,medinan,2505,4,يا أيها الذين آمنوا,6,-0.460942,إن الله,15,2
10,يونس,Yunus,meccan,1839,4,الذين لا يرجون لقاءنا,3,-0.211384,في الأرض,10,2
11,هود,Hud,meccan,1946,10,قال يا قوم أرأيتم إن كنت على بينة من ربي,3,-0.153458,قال يا,9,2
12,يوسف,Yusuf,meccan,1795,5,ولكن أكثر الناس لا يعلمون,3,-0.119565,قالوا يا,7,2
13,الرعد,Ar-Ra'd,medinan,853,3,ويقول الذين كفروا,3,0.033037,الذين كفروا,5,2
14,ابراهيم,Ibrahim,meccan,830,2,وسخر لكم,4,0.073679,وسخر لكم,4,2
15,الحجر,Al-Hijr,meccan,657,5,من صلصال من حمإ مسنون,3,0.081264,من صلصال من حمإ مسنون,3,5
16,النحل,An-Nahl,meccan,1844,5,إن في ذلك لآية لقوم,5,-0.232691,إن الله,8,2
17,الإسراء,Al-Isra,meccan,1558,3,فإذا جاء وعد,3,-0.035856,إنه كان,7,2
18,الكهف,Al-Kahf,meccan,1583,5,إنك لن تستطيع معي صبرا,3,-0.023751,حتى إذا,8,2
19,مريم,Maryam,meccan,971,3,واذكر في الكتاب,5,0.083415,إنه كان,6,2
20,طه,Taha,meccan,1353,3,لا إله إلا,3,0.029832,يا موسى,9,2
21,الأنبياء,Al-Anbya,meccan,1174,3,من دون الله,3,-0.062799,الذين كفروا,4,2
22,الحج,Al-Hajj,medinan,1279,4,ألم تر أن الله,3,-0.093679,إن الله,14,2
23,المؤمنون,Al-Mu'minun,meccan,1052,3,سيقولون لله قل,3,-0.021649,والذين هم,7,2
24,النور,An-Nur,medinan,1319,5,ولولا فضل الله عليكم ورحمته,4,-0.157373,أو بيوت,8,2
25,الفرقان,Al-Furqan,meccan,896,2,وهو الذي,5,0.051983,وهو الذي,5,2
26,الشعراء,Ash-Shu'ara,meccan,1320,12,إن في ذلك لآية وما كان أكثرهم مؤمنين وإن ربك لهو العزيز,8,-0.194582,العزيز الرحيم,9,2
27,النمل,An-Naml,meccan,1159,3,أإله مع الله,5,0.024413,أإله مع الله,5,3
28,القصص,Al-Qasas,meccan,1438,3,إن الله لا,3,-0.09373,في الأرض,7,2
29,العنكبوت,Al-'Ankabut,meccan,978,4,والذين آمنوا وعملوا الصالحات,3,-0.092967,من دون الله,5,3
30,الروم,Ar-Rum,meccan,817,5,إن في ذلك لآيات لقوم,4,-0.012733,ومن آياته,7,2
31,لقمان,Luqman,meccan,550,2,إن الله,8,0.167963,إن الله,8,2
32,السجدة,As-Sajdah,meccan,372,1,من,18,0.251707,,,
33,الأحزاب,Al-Ahzab,medinan,1303,4,يا أيها الذين آمنوا,7,-0.178773,يا أيها,12,2
34,سبإ,Saba,meccan,884,3,وقال الذين كفروا,4,0.049461,الذين كفروا,5,2
35,فاطر,Fatir,meccan,778,3,يا أيها الناس,3,0.076804,إن الله,7,2
36,يس,Ya-Sin,meccan,730,3,إلا صيحة واحدة,3,0.091348,فإذا هم,4,2
37,الصافات,As-Saffat,meccan,865,7,كذلك نجزي المحسنين إنه من عبادنا المؤمنين,3,-0.049224,عباد الله المخلصين,5,3
38,ص,Sad,meccan,735,3,والأرض وما بينهما,3,0.165011,إن هذا,5,2
39,الزمر,Az-Zumar,meccan,1177,4,الله فما له من,3,-0.046289,السماوات والأرض,5,2
40,غافر,Ghafir,meccan,1226,5,الذين يجادلون في آيات الله,3,-0.086543,في الأرض,7,2
41,فصلت,Fussilat,meccan,794,2,الذين كفروا,5,0.123169,الذين كفروا,5,2
