surah	words	name_tokens	name_diversity	density	block	juz30	type
1	29	6	3	0.206897	other	0	meccan
2	6630	215	17	0.032428	tiwal	0	medinan
3	3717	152	12	0.040893	tiwal	0	medinan
4	4029	146	6	0.036237	tiwal	0	medinan
5	3047	101	12	0.033147	tiwal	0	medinan
6	3304	91	15	0.027542	tiwal	0	meccan
7	3551	51	3	0.014362	tiwal	0	meccan
8	1320	56	5	0.042424	tiwal	0	medinan
9	2674	119	6	0.044503	tiwal	0	medinan
10	1964	65	12	0.033096	other	0	meccan
11	2083	39	7	0.018723	other	0	meccan
12	1912	45	9	0.023536	other	0	meccan
13	928	31	9	0.033405	other	0	medinan
14	885	38	8	0.042938	other	0	meccan
15	666	5	4	0.007508	other	0	meccan
16	1963	68	4	0.034641	other	0	meccan
17	1644	14	5	0.008516	other	0	meccan
18	1657	16	3	0.009656	other	0	meccan
19	1012	25	3	0.024704	other	0	meccan
20	1409	14	6	0.009936	other	0	meccan
21	1236	11	4	0.008900	other	0	meccan
22	1356	58	6	0.042773	other	0	medinan
23	1089	16	5	0.014692	other	0	meccan
24	1415	52	3	0.036749	other	0	medinan
25	932	12	4	0.012876	other	0	meccan
26	1353	34	6	0.025129	other	0	meccan
27	1215	34	9	0.027984	other	0	meccan
28	1520	25	5	0.016447	other	0	meccan
29	1044	42	8	0.040230	other	0	meccan
30	868	29	8	0.033410	other	0	meccan
31	586	30	9	0.051195	other	0	meccan
32	390	3	3	0.007692	other	0	meccan
33	1384	55	4	0.039740	other	0	medinan
34	940	21	12	0.022340	other	0	meccan
35	844	35	9	0.041469	other	0	meccan
36	754	12	6	0.015915	other	0	meccan
37	881	16	2	0.018161	other	0	meccan
38	774	10	7	0.012920	other	0	meccan
39	1259	53	9	0.042097	other	0	meccan
40	1296	56	14	0.043210	hawamim	0	meccan
41	838	18	7	0.021480	hawamim	0	meccan
42	932	40	14	0.042918	hawamim	0	meccan
43	870	14	5	0.016092	hawamim	0	meccan
44	364	8	5	0.021978	hawamim	0	meccan
45	512	21	4	0.041016	hawamim	0	meccan
46	676	18	5	0.026627	hawamim	0	meccan
47	570	23	3	0.040351	other	0	medinan
48	600	27	2	0.045000	other	0	medinan
49	382	15	2	0.039267	other	0	medinan
50	389	3	3	0.007712	mufassal	0	meccan
51	371	7	5	0.018868	mufassal	0	meccan
52	324	4	3	0.012346	mufassal	0	meccan
53	372	6	1	0.016129	mufassal	0	meccan
54	350	0	0	0.000000	mufassal	0	meccan
55	355	1	1	0.002817	mufassal	0	medinan
56	380	0	0	0.000000	mufassal	0	meccan
57	618	35	12	0.056634	mufassal	0	medinan
58	516	23	2	0.044574	mufassal	0	medinan
59	478	34	15	0.071130	mufassal	0	medinan
60	377	17	7	0.045093	mufassal	0	medinan
61	238	13	4	0.054622	mufassal	0	medinan
62	186	15	6	0.080645	mufassal	0	medinan
63	195	9	1	0.046154	mufassal	0	medinan
64	264	18	5	0.068182	mufassal	0	medinan
65	313	11	3	0.035144	mufassal	0	medinan
66	268	12	4	0.044776	mufassal	0	medinan
67	348	11	6	0.031609	mufassal	0	meccan
68	308	0	0	0.000000	mufassal	0	meccan
69	264	2	2	0.007576	mufassal	0	meccan
70	222	1	1	0.004505	mufassal	0	meccan
71	230	7	1	0.030435	mufassal	0	meccan
72	293	8	1	0.027304	mufassal	0	meccan
73	214	1	1	0.004673	mufassal	0	meccan
74	265	2	1	0.007547	mufassal	0	meccan
75	165	0	0	0.000000	mufassal	0	meccan
76	250	4	1	0.016000	mufassal	0	medinan
77	182	0	0	0.000000	mufassal	0	meccan
78	177	2	1	0.011299	mufassal	1	meccan
79	180	1	1	0.005556	mufassal	1	meccan
80	133	0	0	0.000000	mufassal	1	meccan
81	104	1	1	0.009615	mufassal	1	meccan
82	82	1	1	0.012195	mufassal	1	meccan
83	172	0	0	0.000000	mufassal	1	meccan
84	109	1	1	0.009174	mufassal	1	meccan
85	111	9	7	0.081081	mufassal	1	meccan
86	61	0	0	0.000000	mufassal	1	meccan
87	73	1	1	0.013699	mufassal	1	meccan
88	92	1	1	0.010870	mufassal	1	meccan
89	141	0	0	0.000000	mufassal	1	meccan
90	82	0	0	0.000000	mufassal	1	meccan
91	54	1	1	0.018519	mufassal	1	meccan
92	71	0	0	0.000000	mufassal	1	meccan
93	40	0	0	0.000000	mufassal	1	meccan
94	27	0	0	0.000000	mufassal	1	meccan
95	34	1	1	0.029412	mufassal	1	meccan
96	73	1	1	0.013699	mufassal	1	meccan
97	30	0	0	0.000000	mufassal	1	meccan
98	98	3	1	0.030612	mufassal	1	medinan
99	36	0	0	0.000000	mufassal	1	medinan
100	41	0	0	0.000000	mufassal	1	meccan
101	36	0	0	0.000000	mufassal	1	meccan
102	28	0	0	0.000000	mufassal	1	meccan
103	14	0	0	0.000000	mufassal	1	meccan
104	34	1	1	0.029412	mufassal	1	meccan
105	23	0	0	0.000000	mufassal	1	meccan
106	17	0	0	0.000000	mufassal	1	meccan
107	25	0	0	0.000000	mufassal	1	meccan
108	10	0	0	0.000000	mufassal	1	meccan
109	27	0	0	0.000000	mufassal	1	meccan
110	20	2	1	0.100000	mufassal	1	medinan
111	23	0	0	0.000000	mufassal	1	meccan
112	15	3	2	0.200000	mufassal	1	meccan
113	23	0	0	0.000000	mufassal	1	meccan
114	20	0	0	0.000000	mufassal	1	meccan
