sid,cell_count,extreme_metrics_count,cells_extreme,M1_extreme,M2_extreme,M3_extreme,M5_extreme
2,4,9,"M1,M2,M3,M5",mushaf_minus_noldeke,is_muq,residual_H_cond,N_tokens;kl_from_corpus;zipf_alpha;lz_norm_log;gzip_ratio;dispersion_h168
3,4,7,"M1,M2,M3,M5",mushaf_minus_noldeke,is_muq,residual_H_cond,N_tokens;kl_from_corpus;zipf_alpha;gzip_ratio
108,4,7,"M1,M2,M3,M5",mushaf_minus_noldeke,noldeke_order,residual_H_cond;emphatic,kl_from_corpus;lz_norm_log;gzip_ratio
4,3,7,"M1,M3,M5",mushaf_minus_noldeke,,residual_H_cond,N_tokens;zipf_alpha;lz_norm_log;gzip_ratio;dispersion_h168
55,3,7,"M1,M3,M5",mushaf_position_is_structural_hinge,,pharyngeal,kl_from_corpus;zipf_alpha;heap_beta;lz_norm_log;gzip_ratio
7,3,5,"M2,M3,M5",,is_muq,z_Q_ljung_box,N_tokens;kl_from_corpus;dispersion_h168
106,3,5,"M1,M2,M5",mushaf_minus_noldeke,noldeke_order,,kl_from_corpus;lz_norm_log;gzip_ratio
111,3,5,"M1,M2,M5",mushaf_minus_noldeke,noldeke_order,,kl_from_corpus;gzip_ratio;dispersion_h168
5,3,4,"M1,M2,M5",mushaf_minus_noldeke,noldeke_order,,kl_from_corpus;gzip_ratio
9,3,4,"M1,M2,M5",mushaf_minus_noldeke,noldeke_order,,lz_norm_log;gzip_ratio
32,3,4,"M2,M3,M5",,is_muq,acf_2,heap_beta;alpha_beta_residual
54,3,4,"M1,M3,M5",mushaf_position_is_structural_hinge,,acf_1;H_unigram,heap_beta
60,3,4,"M2,M3,M5",,noldeke_order,emphatic,heap_beta;alpha_beta_residual
50,3,3,"M1,M2,M3",mushaf_position_is_structural_hinge,is_muq,residual_H_cond,
104,3,3,"M1,M2,M3",mushaf_minus_noldeke,noldeke_order,pharyngeal,
105,3,3,"M1,M3,M5",mushaf_minus_noldeke,,emphatic,lz_norm_log
107,3,3,"M1,M3,M5",mushaf_minus_noldeke,,H_unigram,dispersion_h168
109,2,6,"M3,M5",,,residual_H_cond;H_unigram;emphatic;pharyngeal,lz_norm_log;dispersion_h168
51,2,5,"M1,M3",mushaf_position_is_structural_hinge,,z_Q_ljung_box;acf_1;acf_2;max_abs_acf,
1,2,4,"M3,M5",,,H_unigram;emphatic;pharyngeal,dispersion_h168
38,2,4,"M2,M3",,is_muq,z_Q_ljung_box;acf_2;max_abs_acf,
86,2,4,"M3,M5",,,emphatic;pharyngeal,N_tokens;zipf_alpha
87,2,4,"M3,M5",,,H_unigram,N_tokens;zipf_alpha;lz_norm_log
94,2,4,"M3,M5",,,emphatic;pharyngeal,kl_from_corpus;dispersion_h168
110,2,4,"M2,M5",,noldeke_order,,lz_norm_log;gzip_ratio;dispersion_h168
114,2,4,"M3,M5",,,residual_H_cond;H_unigram;pharyngeal,dispersion_h168
26,2,3,"M2,M5",,is_muq,,heap_beta;lz_norm_log
28,2,3,"M2,M3",,is_muq,z_Q_ljung_box;max_abs_acf,
53,2,3,"M1,M3",mushaf_position_is_structural_hinge,,z_Q_ljung_box;H_unigram,
57,2,3,"M1,M5",mushaf_position_is_structural_hinge,,,heap_beta;alpha_beta_residual
74,2,3,"M2,M3",,noldeke_order,residual_H_cond;max_abs_acf,
76,2,3,"M3,M5",,,acf_1,heap_beta;alpha_beta_residual
80,2,3,"M3,M5",,,residual_H_cond;H_unigram,lz_norm_log
85,2,3,"M3,M5",,,acf_1;max_abs_acf,zipf_alpha
92,2,3,"M3,M5",,,z_Q_ljung_box;acf_1,N_tokens
112,2,3,"M3,M5",,,H_unigram,gzip_ratio;dispersion_h168
113,2,3,"M3,M5",,,emphatic;pharyngeal,gzip_ratio
10,2,2,"M2,M5",,is_muq,,kl_from_corpus
22,2,2,"M3,M5",,,acf_2,alpha_beta_residual
44,2,2,"M2,M5",,is_muq,,alpha_beta_residual
49,2,2,"M1,M2",mushaf_position_is_structural_hinge,noldeke_order,,
52,2,2,"M1,M3",mushaf_position_is_structural_hinge,,acf_2,
56,2,2,"M1,M3",mushaf_position_is_structural_hinge,,acf_1,
68,2,2,"M2,M3",,is_muq,residual_H_cond,
79,2,2,"M3,M5",,,H_unigram,alpha_beta_residual
83,2,2,"M3,M5",,,pharyngeal,heap_beta
84,2,2,"M3,M5",,,residual_H_cond,zipf_alpha
96,2,2,"M2,M5",,noldeke_order,,N_tokens
73,1,3,M3,,,residual_H_cond;z_Q_ljung_box;max_abs_acf,
78,1,3,M3,,,acf_1;acf_2;max_abs_acf,
6,1,2,M5,,,,N_tokens;kl_from_corpus
17,1,2,M3,,,z_Q_ljung_box;max_abs_acf,
97,1,2,M3,,,emphatic;pharyngeal,
103,1,2,M3,,,H_unigram;emphatic,
8,1,1,M1,mushaf_minus_noldeke,,,
11,1,1,M2,,is_muq,,
12,1,1,M2,,is_muq,,
13,1,1,M2,,is_muq,,
14,1,1,M2,,is_muq,,
15,1,1,M2,,is_muq,,
19,1,1,M2,,is_muq,,
20,1,1,M2,,is_muq,,
27,1,1,M2,,is_muq,,
29,1,1,M2,,is_muq,,
30,1,1,M2,,is_muq,,
31,1,1,M2,,is_muq,,
36,1,1,M2,,is_muq,,
40,1,1,M2,,is_muq,,
41,1,1,M2,,is_muq,,
42,1,1,M2,,is_muq,,
43,1,1,M2,,is_muq,,
45,1,1,M2,,is_muq,,
46,1,1,M2,,is_muq,,
62,1,1,M5,,,,alpha_beta_residual
66,1,1,M2,,noldeke_order,,
67,1,1,M3,,,acf_2,
71,1,1,M3,,,acf_1,
72,1,1,M3,,,acf_2,
77,1,1,M3,,,pharyngeal,
81,1,1,M5,,,,zipf_alpha
88,1,1,M3,,,H_unigram,
90,1,1,M5,,,,zipf_alpha
91,1,1,M5,,,,N_tokens
93,1,1,M5,,,,kl_from_corpus
98,1,1,M5,,,,dispersion_h168
100,1,1,M3,,,pharyngeal,
101,1,1,M3,,,emphatic,
102,1,1,M3,,,emphatic,
16,0,0,,,,,
18,0,0,,,,,
21,0,0,,,,,
23,0,0,,,,,
24,0,0,,,,,
25,0,0,,,,,
33,0,0,,,,,
34,0,0,,,,,
35,0,0,,,,,
37,0,0,,,,,
39,0,0,,,,,
47,0,0,,,,,
48,0,0,,,,,
58,0,0,,,,,
59,0,0,,,,,
61,0,0,,,,,
63,0,0,,,,,
64,0,0,,,,,
65,0,0,,,,,
69,0,0,,,,,
70,0,0,,,,,
75,0,0,,,,,
82,0,0,,,,,
89,0,0,,,,,
95,0,0,,,,,
99,0,0,,,,,
