surah	N_s	obs_tokens	obs_density	null_mean_density	null_sd_density	z	p_less
50	389	3	0.007712	0.028876	0.008444	-2.5064	0.003950
51	371	7	0.018868	0.028531	0.008652	-1.1169	0.165433
52	324	4	0.012346	0.028674	0.009198	-1.7753	0.041846
53	372	6	0.016129	0.028721	0.008692	-1.4486	0.092141
54	350	0	0.000000	0.028574	0.008821	-3.2395	0.000050
55	355	1	0.002817	0.028674	0.008830	-2.9283	0.000050
56	380	0	0.000000	0.028744	0.008530	-3.3698	0.000050
57	618	35	0.056634	0.028618	0.006678	+4.1955	0.999850
58	516	23	0.044574	0.028605	0.007383	+2.1628	0.982952
59	478	34	0.071130	0.028662	0.007687	+5.5245	0.999950
60	377	17	0.045093	0.028766	0.008580	+1.9030	0.975052
61	238	13	0.054622	0.028747	0.010831	+2.3889	0.991351
62	186	15	0.080645	0.028690	0.012332	+4.2132	0.999750
63	195	9	0.046154	0.028740	0.011961	+1.4559	0.943956
64	264	18	0.068182	0.028745	0.010126	+3.8947	0.999850
65	313	11	0.035144	0.028729	0.009536	+0.6727	0.804970
66	268	12	0.044776	0.028514	0.010206	+1.5934	0.953355
67	348	11	0.031609	0.028703	0.008904	+0.3264	0.699880
68	308	0	0.000000	0.028664	0.009587	-2.9899	0.000150
69	264	2	0.007576	0.028697	0.010122	-2.0866	0.015348
70	222	1	0.004505	0.028828	0.011140	-2.1834	0.010749
71	230	7	0.030435	0.028447	0.010970	+0.1812	0.668083
72	293	8	0.027304	0.028643	0.009761	-0.1372	0.533997
73	214	1	0.004673	0.028619	0.011502	-2.0820	0.014849
74	265	2	0.007547	0.028671	0.010362	-2.0386	0.017348
75	165	0	0.000000	0.028605	0.013195	-2.1678	0.010349
76	250	4	0.016000	0.028428	0.010510	-1.1825	0.164034
77	182	0	0.000000	0.028735	0.012283	-2.3394	0.005249
78	177	2	0.011299	0.028619	0.012523	-1.3829	0.114239
79	180	1	0.005556	0.028378	0.012412	-1.8388	0.037146
80	133	0	0.000000	0.028568	0.014493	-1.9712	0.020948
81	104	1	0.009615	0.028482	0.016271	-1.1595	0.203130
82	82	1	0.012195	0.028790	0.018518	-0.8962	0.315218
83	172	0	0.000000	0.028727	0.012650	-2.2709	0.006449
84	109	1	0.009174	0.028571	0.016161	-1.2002	0.185831
85	111	9	0.081081	0.028693	0.015899	+3.2951	0.998950
86	61	0	0.000000	0.028256	0.020994	-1.3459	0.170933
87	73	1	0.013699	0.028867	0.019542	-0.7762	0.373313
88	92	1	0.010870	0.028680	0.017323	-1.0282	0.255624
89	141	0	0.000000	0.028531	0.013993	-2.0389	0.019048
90	82	0	0.000000	0.028810	0.018506	-1.5567	0.088541
91	54	1	0.018519	0.028535	0.022866	-0.4381	0.548295
92	71	0	0.000000	0.028845	0.019857	-1.4526	0.124738
93	40	0	0.000000	0.028665	0.026235	-1.0926	0.309819
94	27	0	0.000000	0.028637	0.031896	-0.8978	0.453705
95	34	1	0.029412	0.028685	0.028646	+0.0254	0.744976
96	73	1	0.013699	0.028736	0.019392	-0.7754	0.374013
97	30	0	0.000000	0.028983	0.030900	-0.9380	0.418508
98	98	3	0.030612	0.028630	0.016928	+0.1171	0.693581
99	36	0	0.000000	0.028764	0.027757	-1.0363	0.349415
100	41	0	0.000000	0.028793	0.025985	-1.1081	0.298020
101	36	0	0.000000	0.028669	0.028051	-1.0220	0.354115
102	28	0	0.000000	0.029129	0.031677	-0.9196	0.436406
103	14	0	0.000000	0.029071	0.044652	-0.6511	0.660884
104	34	1	0.029412	0.028453	0.028073	+0.0342	0.749775
105	23	0	0.000000	0.029135	0.035272	-0.8260	0.508199
106	17	0	0.000000	0.028529	0.040328	-0.7074	0.611589
107	25	0	0.000000	0.028512	0.032761	-0.8703	0.477302
108	10	0	0.000000	0.028990	0.053897	-0.5379	0.748775
109	27	0	0.000000	0.028848	0.032235	-0.8949	0.454505
110	20	2	0.100000	0.028485	0.037209	+1.9220	0.981652
111	23	0	0.000000	0.028465	0.034786	-0.8183	0.514999
112	15	3	0.200000	0.028540	0.042930	+3.9939	0.999250
113	23	0	0.000000	0.028213	0.034616	-0.8150	0.516598
114	20	0	0.000000	0.028835	0.037476	-0.7694	0.557294
