surah,verse,reference,surah_name,verse_text,n_words,length_decile,decile_word_range,struct_z_composite,struct_rank,S_within_decile,n_hadith,reception_rank,R_within_decile,M,n_books,n_hadith_all17,driver_span,frac_hapax_root_tokens,mean_root_surprisal_bits,frac_root_tokens_freq_le5,rime_class_size,text_repeats,is_later_occurrence
111,5,Q 111:5,المسد,فِي جِيدِهَا حَبۡلٞ مِّن مَّسَدِۭ,5,1,3-5,5.191909,1,0.999386,0,3060.5,0.0,0.999386,0,0,,0.6666666666666666,14.672931880001371,0.6666666666666666,15,False,False
37,47,Q 37:47,الصافات,لَا فِيهَا غَوۡلٞ وَلَا هُمۡ عَنۡهَا يُنزَفُونَ,7,3,7-8,4.568528,4,0.999184,0,3060.5,0.0,0.999184,0,0,,0.5,15.108716854020573,1.0,1751,False,False
38,3,Q 38:3,ص,كَمۡ أَهۡلَكۡنَا مِن قَبۡلِهِم مِّن قَرۡنٖ فَنَادَواْ وَّلَاتَ حِينَ مَنَاصٖ,10,4,9-10,2.79454,35,0.999153,0,3060.5,0.0,0.999153,0,0,,0.2857142857142857,11.278107759872404,0.2857142857142857,2,False,False
9,57,Q 9:57,التوبه,لَوۡ يَجِدُونَ مَلۡجَـًٔا أَوۡ مَغَٰرَٰتٍ أَوۡ مُدَّخَلٗا لَّوَلَّوۡاْ إِلَيۡهِ وَهُمۡ يَجۡمَحُونَ,11,5,11-12,1.748051,99,0.999147,0,3060.5,0.0,0.999147,0,0,,0.16666666666666666,11.415101786395608,0.5,1751,False,False
22,73,Q 22:73,الحج,يَـٰٓأَيُّهَا ٱلنَّاسُ ضُرِبَ مَثَلٞ فَٱسۡتَمِعُواْ لَهُۥٓۚ إِنَّ ٱلَّذِينَ تَدۡعُونَ مِن دُونِ ٱللَّهِ لَن يَخۡلُقُواْ ذُبَابٗا وَلَوِ ٱجۡتَمَعُواْ لَهُۥۖ وَإِن يَسۡلُبۡهُمُ ٱلذُّبَابُ شَيۡـٔٗا لَّا يَسۡتَنقِذُوهُ مِنۡهُۚ ضَعُفَ ٱلطَّالِبُ وَٱلۡمَطۡلُوبُ,28,10,26-128,1.60913,115,0.999064,0,3060.5,0.0,0.999064,0,0,,0.058823529411764705,10.128756806874751,0.35294117647058826,13,False,False
18,18,Q 18:18,الكهف,وَتَحۡسَبُهُمۡ أَيۡقَاظٗا وَهُمۡ رُقُودٞۚ وَنُقَلِّبُهُمۡ ذَاتَ ٱلۡيَمِينِ وَذَاتَ ٱلشِّمَالِۖ وَكَلۡبُهُم بَٰسِطٞ ذِرَاعَيۡهِ بِٱلۡوَصِيدِۚ لَوِ ٱطَّلَعۡتَ عَلَيۡهِمۡ لَوَلَّيۡتَ مِنۡهُمۡ فِرَارٗا وَلَمُلِئۡتَ مِنۡهُمۡ رُعۡبٗا,22,9,20-25,1.172215,206,0.99902,0,3060.5,0.0,0.99902,0,0,,0.06666666666666667,11.6593757226293,0.3333333333333333,1192,False,False
22,45,Q 22:45,الحج,فَكَأَيِّن مِّن قَرۡيَةٍ أَهۡلَكۡنَٰهَا وَهِيَ ظَالِمَةٞ فَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا وَبِئۡرٖ مُّعَطَّلَةٖ وَقَصۡرٖ مَّشِيدٍ,14,6,13-14,1.975334,74,0.998984,0,3060.5,0.0,0.998984,0,0,,0.1111111111111111,11.937015219944408,0.4444444444444444,103,False,False
11,108,Q 11:108,هود,۞وَأَمَّا ٱلَّذِينَ سُعِدُواْ فَفِي ٱلۡجَنَّةِ خَٰلِدِينَ فِيهَا مَا دَامَتِ ٱلسَّمَٰوَٰتُ وَٱلۡأَرۡضُ إِلَّا مَا شَآءَ رَبُّكَۖ عَطَآءً غَيۡرَ مَجۡذُوذٖ,18,8,17-19,1.363134,163,0.998963,0,3060.5,0.0,0.998963,0,0,,0.0,9.543574995247338,0.18181818181818182,1,False,False
34,16,Q 34:16,سبا,فَأَعۡرَضُواْ فَأَرۡسَلۡنَا عَلَيۡهِمۡ سَيۡلَ ٱلۡعَرِمِ وَبَدَّلۡنَٰهُم بِجَنَّتَيۡهِمۡ جَنَّتَيۡنِ ذَوَاتَيۡ أُكُلٍ خَمۡطٖ وَأَثۡلٖ وَشَيۡءٖ مِّن سِدۡرٖ قَلِيلٖ,16,7,15-16,2.225693,60,0.99881,0,3060.5,0.0,0.99881,0,0,,0.23076923076923078,10.831498905454596,0.38461538461538464,44,False,False
38,31,Q 38:31,ص,إِذۡ عُرِضَ عَلَيۡهِ بِٱلۡعَشِيِّ ٱلصَّـٰفِنَٰتُ ٱلۡجِيَادُ,6,2,6-6,3.819747,9,0.998485,0,3060.5,0.0,0.998485,0,0,,0.5,13.080932936461895,0.5,44,False,False
37,67,Q 37:67,الصافات,ثُمَّ إِنَّ لَهُمۡ عَلَيۡهَا لَشَوۡبٗا مِّنۡ حَمِيمٖ,7,3,7-8,3.48649,12,0.997553,0,3060.5,0.0,0.997553,0,0,,0.5,13.412558142631193,0.5,551,False,False
20,12,Q 20:12,طه,إِنِّيٓ أَنَا۠ رَبُّكَ فَٱخۡلَعۡ نَعۡلَيۡكَ إِنَّكَ بِٱلۡوَادِ ٱلۡمُقَدَّسِ طُوٗى,9,4,9-10,2.587313,42,0.997458,0,3060.5,0.0,0.997458,0,0,,0.3333333333333333,12.414474082437499,0.5,1192,False,False
11,74,Q 11:74,هود,فَلَمَّا ذَهَبَ عَنۡ إِبۡرَٰهِيمَ ٱلرَّوۡعُ وَجَآءَتۡهُ ٱلۡبُشۡرَىٰ يُجَٰدِلُنَا فِي قَوۡمِ لُوطٍ,11,5,11-12,1.723157,101,0.99744,0,3060.5,0.0,0.99744,0,0,,0.16666666666666666,9.75986456910495,0.16666666666666666,5,False,False
