k,amplitude,null_99th_percentile
55,1253.1372570770486,5453.1453769254695
56,373.68146266893257,5507.735488816056
57,2080.3194447719,5689.627524638228
58,4246.951439584804,5830.588550472041
59,3118.386231414614,5689.355351883028
60,1235.832588882755,5207.031281260222
61,2078.0038327841817,5549.957284202693
62,2189.6476730920813,5347.08849907959
63,1896.513052643364,5484.132391125446
64,399.4952312104194,5478.75863785615
65,481.9074112056533,5473.502484744046
66,237.58292756088642,5536.4394570289105
67,1880.8066035353272,5554.838462296921
68,553.9119893430731,5508.517908276072
69,3106.235899965678,5515.998762804347
70,1233.5867726953861,5685.238746228699
71,7267.647787851051,5471.946805973852
72,6198.909095606083,5710.427612555096
73,1194.151158370552,5517.254471486037
74,1834.6579670054418,5492.0427578357985
75,2205.877343248323,5587.21006228312
76,1118.0606546885829,5489.387788092771
77,363.13327057950045,5303.227764391152
78,584.245025147159,5496.126008748306
79,1014.2531402356008,5315.44499356102
80,69.61442992344635,5509.167238210778
81,127.23762632022161,5523.11932493157
82,539.0153024352187,5617.860738340119
83,1532.3238365454222,5498.406935011324
84,768.7916925843265,5548.835358453866
85,622.2830435923319,5383.195995838025
86,2940.1686616412812,5548.928175508783
87,231.3580116098586,5557.495980587496
88,834.959587274331,5572.656724865048
89,254.80729306287765,5137.385973525385
90,1465.6917439058643,5202.015875459033
91,2663.8470281355912,5609.636435263619
92,1215.9816137834227,5553.700700317237
93,460.78543706301497,5645.249965744171
94,3632.306387919839,5433.815713372385
95,2040.7458200867711,5135.524688124315
96,1766.8837351659392,5403.653183062157
97,109.23152803558038,5372.863163002163
98,307.5958888187647,5398.150235184237
99,243.21638101772103,5361.003682867725
100,1154.1208051862798,5356.022241094393
101,322.31450161572457,5453.365791082741
102,1405.3363431775497,5544.856879922805
103,38.511274504465796,5493.682834331622
104,720.7253032281731,5464.235465944632
105,436.34693193429104,5461.256784769376
106,2529.1519011570917,5395.355786010407
107,515.0240126978902,5331.5156596797915
108,64.90494462436271,5530.2606124553695
109,996.962939020732,5191.295207634532
110,469.3866787169074,5272.762967461821
111,588.7025565456249,5314.356258241889
112,3755.3597174181464,5385.150819947684
113,735.3622999411988,5328.255051233827
114,6191.048212696628,5520.773848184595
115,1648.37152716061,5485.500177375111
116,2844.9103666002657,5296.4732387720915
117,4253.8777733222805,5557.73950727015
118,2409.778841170683,5604.996772639801
119,5185.305517709374,5477.008546340804
120,1748.7463831556806,5429.035800305544
121,36.67450783367506,5203.3709124969055
122,404.3981950028596,5404.641420816186
123,1083.4244274872535,5365.570338514114
124,1575.1758499621324,5465.1342063487145
125,2390.864332567833,5402.747665500502
126,2614.3770954028055,5527.570487354493
127,457.63853622593933,5437.084137924837
128,769.3784239189127,5735.708043097608
129,1251.951027057985,5329.490612073905
130,103.48006775021929,5468.938889400488
131,2357.554482637012,5212.546268210941
132,21.47621791120523,5609.6634131856135
133,665.7305578783382,5269.535492241235
134,286.84594689546014,5357.397917404047
135,83.21922973998963,5526.610579370871
136,350.8436082197315,5451.263978255947
137,2386.2871089124283,5571.038146564458
138,3523.38786383299,5533.076394185697
139,2587.7592436747123,5636.234228465553
140,2380.2871025677,5550.208246951244
141,1113.4987771257133,5381.966871892005
142,3150.2994632969926,5364.700326759791
143,529.7517872571293,5418.529394940732
144,349.322718645916,5696.627766648636
145,3611.1789697632726,5269.500226997348
146,1135.8514644419402,5378.19097244592
147,1473.1627497207069,5531.4060266552815
148,2442.209224215407,5746.65544696655
149,1615.6837601783557,5261.83855658725
150,50.799216072032806,5571.474243178079
151,1099.8048375550973,5717.876302343137
152,21.751844528784073,5513.546607530349
153,1230.804869496119,5485.968088550618
154,1805.495206891439,5481.190514156381
155,3176.0915490291795,5401.686348275477
156,1087.0717158224606,5316.92066036082
157,1822.6670723177867,5355.599911437436
158,1313.463117277776,5472.797577095131
159,713.808933555167,5591.519491032791
160,559.5405107249777,5638.195365498147
161,4825.735153958709,5489.297300566779
162,1154.6895940680447,5430.804046732286
163,2251.331514742702,5609.314382062452
164,197.14432851629587,5531.870865081611
165,1906.1819577440695,5395.051161518694
166,2026.258606356382,5419.201723724168
167,4834.600845790995,5565.1148226372525
168,5714.673379360205,5524.768305514799
169,2605.9624755455716,5520.683037519879
170,2310.3396441874265,5222.350562813104
171,412.7762579500236,5476.9405424162715
172,319.064672530577,5706.880955767363
173,708.9737633084261,5461.451957587249
174,3927.4184508770036,5436.774843078634
175,937.6836300353036,5385.1089920428685
176,1855.0871001583293,5519.2948445886295
177,38.4321481532195,5491.410730058341
178,1742.245007394638,5562.444776011176
179,745.8041390077965,5472.5395886603455
180,557.8855301246286,5470.098410878456
181,760.4795975428478,5209.44586545467
182,771.3344254485213,5467.768405107291
183,499.08270242975965,5605.435900292706
184,1716.608143831674,5486.432318774262
185,544.7478477477767,5645.284383328271
186,1883.7819573226543,5385.464531550598
187,1022.5254556484242,5487.369035264052
188,1627.2837710699916,5365.338512873089
189,2338.7430201896004,5471.7302912199175
190,3831.6003463671113,5556.549643027749
191,46.25375308497196,5314.326085569816
192,2064.105180043161,5389.499783147643
193,3809.658523596632,5260.410912243116
194,22.428804347122995,5379.439255840871
195,310.5551515581285,5545.887532956805
196,3313.937631743044,5484.825147864614
197,4022.2766002964877,5434.012013838485
198,255.40474361270333,5625.691495592098
199,844.4903864742339,5590.073181886755
200,1033.9633091011974,5558.6901042835725
201,571.109915697853,5690.7069251685825
202,2992.2717845403836,5335.455140398101
203,142.04842453019552,5512.790893735798
204,1154.6262775915434,5294.5106011451335
205,2113.7007950834163,5355.850630443155
206,359.677203271079,5495.661193804921
207,591.4060478515308,5437.529603361573
208,386.1164571604978,5442.790559160897
209,362.5597960199723,5494.742011541796
210,178.09239409086084,5790.622432110388
211,1884.5227925267407,5474.407813807726
212,4044.7682192749817,5474.720207438304
213,696.6433866264593,5369.472375862151
214,4666.139354022208,5583.481121428777
215,444.4507834872544,5431.885623508739
216,349.3981708434122,5532.28472411989
217,823.1270042507085,5476.089028950091
218,222.39306969594966,5629.045335441724
219,5655.227942403361,5541.551838894919
220,523.3688394674451,5549.251820657187
221,1015.7745039109175,5370.989662024141
222,160.20939904575388,5544.92913686302
223,1576.3154656152785,5426.038134449796
224,134.61082977927214,5542.670155389973
225,1914.0561618423983,5613.405859234993
226,1610.9238737941334,5417.601362027063
227,351.30654049338466,5424.849518799967
228,197.52051241336127,5460.082662801985
229,2925.903006303081,5415.089893917042
230,780.7816000532044,5301.549583314314
231,736.1239297212671,5577.73313117373
232,833.8805286520084,5301.453330379048
233,509.51544582395377,5404.856111752576
234,1716.2750498763248,5522.286248524771
235,1101.5903432300372,5459.135918523191
236,2290.6252753582435,5305.6304546135625
237,827.2974479262034,5591.450433237023
238,2537.447092985464,5314.717248569988
239,358.2186065461857,5642.761144968828
240,1632.7309710080012,5462.175803902115
241,260.6472001671497,5264.0697461863465
242,4840.436305231809,5359.460475547733
243,312.6758484774918,5311.584046604743
244,128.20515910877913,5475.63615108544
245,572.964961996918,5544.02978766665
246,3829.170078218442,5623.210113980671
247,1846.932211181666,5500.372950975317
248,106.65000850605752,5586.236351148069
249,442.94684035861707,5426.611556604644
250,46.48446463785196,5605.848529925807
251,3121.2094083119564,5346.534081087069
252,406.3640960230214,5544.394778179246
253,1134.640338800896,5339.853992604889
254,1026.6021752876572,5577.114482238631
255,63.858138550570715,5313.307275081092
256,554.5952652884099,5358.997526139985
257,726.6021928020377,5487.208420833027
258,129.46301870164322,5382.7356259884
259,291.8816068992651,5570.570982144573
260,209.39116144546674,5555.321542286142
261,1274.5388185968045,5405.125505077957
262,348.66450722591975,5359.191416041541
263,631.1492006447551,5373.481974317721
264,627.7196963436942,5353.7712476548295
265,977.7960572010567,5585.3226781060375
266,414.94008026068434,5616.167458061663
267,114.19996952103253,5543.621188863493
268,460.52107319948976,5305.1448336617905
269,492.2122666495782,5377.4023187182065
270,540.6794622614038,5155.123058626561
271,42.01552990334596,5744.197049250406
272,324.2303201785764,5305.181125156389
273,1889.2345692750848,5518.032849999764
274,993.6972073822984,5445.2111056637705
275,23.271635498069525,5329.424739394951
276,354.89910092839756,5434.925367031811
277,827.0729812181319,5347.826267985386
278,3629.2742063845435,5400.422697276039
279,996.188163890749,5480.4684681383305
280,287.7595355512848,5323.530909678473
281,799.7094267950491,5274.755419897158
282,721.5294541622643,5428.220215397011
283,1042.0676684620096,5469.909503128084
284,871.8322683733746,5463.239812318913
285,293.4705125253571,5469.119423997313
286,847.0028132895509,5356.774830285013
287,6725.4634464371165,5501.438710086188
288,271.6101213786178,5429.670548433014
289,5656.049977240575,5339.093809517814
290,383.01937079220596,5461.462090661957
291,6163.886203243546,5377.901747128625
292,1549.5827135503555,5385.945796530399
293,1462.8731264210894,5483.223065499391
294,58.06893328974743,5370.682564757067
295,1919.429262981836,5369.448625183298
296,15.618708181329072,5359.659963769365
297,225.46558870753483,5222.714476020425
298,4050.1648727445836,5195.096183818456
299,282.8501860686684,5503.460547531583
300,397.32063043052585,5439.644481398289
301,310.5753983900855,5303.95039971146
302,2569.170575863896,5460.850092696519
303,1612.3246040988695,5363.3722104311455
304,3339.283968025599,5320.505869425067
305,775.7702669380994,5583.540466339201
306,2973.0241664333003,5403.39325226797
307,582.487072299562,5491.652740058738
308,241.748959015875,5474.283577818061
309,420.4095823105643,5419.830692337898
310,509.03992922868736,5492.383891322109
311,101.27171043095395,5502.193518360672
312,105.91092271564884,5336.011743571384
313,179.2169054189423,5545.2891682831905
314,1496.0483212860258,5489.865182199283
315,219.23122552782897,5081.059088453549
316,267.3408406146373,5269.1042381034085
317,51.686422806657376,5361.002633840569
318,292.9438205654826,5181.403378722156
319,5.372813932917933,5294.242309103193
320,977.7590151085616,5531.6669083990255
321,406.21890733446276,5308.4375285818205
322,139.57473371844702,5397.702464374253
323,478.9949490319781,5502.899973260598
324,532.9781586853634,5362.492816603668
325,721.3668762453225,5355.222766112383
