surah,ayah,word,kind,form_buck,lem,root,cat
36,2,1,wP,quro'aAni,quro'aAn,qrA,INSTRUMENTAL_SCRIPTURAL
37,1,1,wP,S~a`^f~a`ti,Sa`^f~a`t,Sff,KINETIC_AGENTIVE
37,2,1,fCONJ,z~a`jira`ti,z~a`jira`t,zjr,KINETIC_AGENTIVE
37,3,1,fCONJ,t~a`liya`ti,t~a`liya`t,tlw,KINETIC_AGENTIVE
38,1,2,wP,quro'aAni,quro'aAn,qrA,INSTRUMENTAL_SCRIPTURAL
43,2,1,wP,kita`bi,kita`b,ktb,INSTRUMENTAL_SCRIPTURAL
44,2,1,wP,kita`bi,kita`b,ktb,INSTRUMENTAL_SCRIPTURAL
50,1,2,wP,quro'aAni,quro'aAn,qrA,INSTRUMENTAL_SCRIPTURAL
51,1,1,wCONJ,*~a`riya`ti,*~a`riya`t,*rw,KINETIC_NATURAL
51,2,1,fCONJ,Ha`mila`ti,Ha`mila`t,Hml,KINETIC_NATURAL
51,3,1,fCONJ,ja`riya`ti,ja`riya`t,jry,KINETIC_NATURAL
51,4,1,fCONJ,muqas~ima`ti,muqas~ima`t,qsm,KINETIC_AGENTIVE
52,1,1,wCONJ,T~uwri,Tuwr,Twr,TERRESTRIAL
52,2,1,wCONJ,kita`bK,kita`b,ktb,INSTRUMENTAL_SCRIPTURAL
53,1,1,wP,n~ajomi,n~ajom,njm,CELESTIAL
68,1,2,wP,qalami,qalam,qlm,INSTRUMENTAL_SCRIPTURAL
77,1,1,wP,murosala`ti,murosala`t,rsl,KINETIC_AGENTIVE
77,2,1,fCONJ,Ea`Sifa`ti,Ea`Sifa`t,ESf,KINETIC_NATURAL
77,3,1,wCONJ,n~a`$ira`ti,n~a`$ira`t,n$r,KINETIC_NATURAL
77,4,1,fCONJ,fa`riqa`ti,fa`riqa`t,frq,KINETIC_NATURAL
77,5,1,fCONJ,muloqiya`ti,muloqiya`t,lqy,KINETIC_AGENTIVE
79,1,1,wP,n~a`ziEa`ti,n~a`ziEa`t,nzE,KINETIC_AGENTIVE
79,2,1,wCONJ,n~a`$iTa`ti,n~a`$iTa`t,n$T,KINETIC_AGENTIVE
79,3,1,wCONJ,s~a`biHa`ti,s~a`biHa`t,sbH,KINETIC_AGENTIVE
79,4,1,fCONJ,s~a`biqa`ti,s~a`biqa`t,sbq,KINETIC_AGENTIVE
79,5,1,fCONJ,mudab~ira`ti,mudab~ira`t,dbr,KINETIC_AGENTIVE
85,1,1,wP,s~amaA^'i,samaA^',smw,CELESTIAL
85,2,1,wCONJ,yawomi,yawom,ywm,TEMPORAL
85,3,1,wCONJ,$aAhidK,$aAhid,$hd,ABSTRACT
85,3,2,wCONJ,ma$ohuwdK,ma$ohuwd,$hd,ABSTRACT
86,1,1,wP,s~amaA^'i,samaA^',smw,CELESTIAL
86,1,2,wCONJ,T~aAriqi,T~aAriq,Trq,CELESTIAL
89,1,1,wP,fajori,fajor,fjr,TEMPORAL
89,2,1,wCONJ,layaAlK,layol,lyl,TEMPORAL
89,3,1,wCONJ,$~afoEi,$~afoE,$fE,NUMERIC_PAIR
89,3,2,wCONJ,watori,wator,wtr,NUMERIC_PAIR
89,4,1,wCONJ,yoli,layol,lyl,TEMPORAL
91,1,1,wP,$~amosi,$amos,$ms,CELESTIAL
91,1,2,wCONJ,DuHaY`,DuHFY,DHw,TEMPORAL
91,2,1,wCONJ,qamari,qamar,qmr,CELESTIAL
91,3,1,wCONJ,n~ahaAri,nahaAr,nhr,TEMPORAL
91,4,1,wCONJ,yoli,layol,lyl,TEMPORAL
91,5,1,wCONJ,s~amaA^'i,samaA^',smw,CELESTIAL
91,6,1,wCONJ,>aroDi,>aroD,ArD,TERRESTRIAL
91,7,1,wCONJ,nafosK,nafos,nfs,PSYCHOLOGICAL
92,1,1,wP,yoli,layol,lyl,TEMPORAL
92,2,1,wCONJ,n~ahaAri,nahaAr,nhr,TEMPORAL
93,1,1,wP,D~uHaY`,DuHFY,DHw,TEMPORAL
93,2,1,wCONJ,yoli,layol,lyl,TEMPORAL
95,1,1,wP,t~iyni,t~iyn,tyn,TERRESTRIAL
95,1,2,wCONJ,z~ayotuwni,z~ayotuwn,zyt,TERRESTRIAL
95,2,1,wCONJ,Tuwri,Tuwr,Twr,TERRESTRIAL
95,3,1,wCONJ+DEM,baladi,balad,bld,TERRESTRIAL
100,1,1,wP,Ea`diya`ti,Ea`diya`t,Edw,KINETIC_AGENTIVE
100,2,1,fCONJ,muwriya`ti,muwriya`t,wry,KINETIC_AGENTIVE
100,3,1,fCONJ,mugiyra`ti,mugiyra`t,gyr,KINETIC_AGENTIVE
103,1,1,wP,EaSori,EaSor,ESr,TEMPORAL
