surah,name_tl,n_verses_total,n_verses_in_cluster,n_head_NPs,n_distinct_cats,cat_seq,jawab_theme,head_lems
36,Ya-Sin,83,1,1,1,INSTRUMENTAL_SCRIPTURAL,PROPHETHOOD,quro'aAn
37,As-Saffat,182,3,3,1,KINETIC_AGENTIVE|KINETIC_AGENTIVE|KINETIC_AGENTIVE,PROPHETHOOD,Sa`^f~a`t|z~a`jira`t|t~a`liya`t
38,Sad,88,1,1,1,INSTRUMENTAL_SCRIPTURAL,QURAN_STATUS,quro'aAn
43,Az-Zukhruf,89,1,1,1,INSTRUMENTAL_SCRIPTURAL,QURAN_STATUS,kita`b
44,Ad-Dukhan,59,1,1,1,INSTRUMENTAL_SCRIPTURAL,QURAN_STATUS,kita`b
50,Qaf,45,1,1,1,INSTRUMENTAL_SCRIPTURAL,PROPHETHOOD,quro'aAn
51,Adh-Dhariyat,60,4,4,2,KINETIC_NATURAL|KINETIC_NATURAL|KINETIC_NATURAL|KINETIC_AGENTIVE,ESCHATOLOGY,*~a`riya`t|Ha`mila`t|ja`riya`t|muqas~ima`t
52,At-Tur,49,2,2,2,TERRESTRIAL|INSTRUMENTAL_SCRIPTURAL,ESCHATOLOGY,Tuwr|kita`b
53,An-Najm,62,1,1,1,CELESTIAL,PROPHETHOOD,n~ajom
68,Al-Qalam,52,1,1,1,INSTRUMENTAL_SCRIPTURAL,PROPHETHOOD,qalam
77,Al-Mursalat,50,5,5,2,KINETIC_AGENTIVE|KINETIC_NATURAL|KINETIC_NATURAL|KINETIC_NATURAL|KINETIC_AGENTIVE,ESCHATOLOGY,murosala`t|Ea`Sifa`t|n~a`$ira`t|fa`riqa`t|muloqiya`t
79,An-Naziat,46,5,5,1,KINETIC_AGENTIVE|KINETIC_AGENTIVE|KINETIC_AGENTIVE|KINETIC_AGENTIVE|KINETIC_AGENTIVE,ESCHATOLOGY,n~a`ziEa`t|n~a`$iTa`t|s~a`biHa`t|s~a`biqa`t|mudab~ira`t
85,Al-Buruj,22,3,4,3,CELESTIAL|TEMPORAL|ABSTRACT|ABSTRACT,ESCHATOLOGY,samaA^'|yawom|$aAhid|ma$ohuwd
86,At-Tariq,17,1,2,1,CELESTIAL|CELESTIAL,PROPHETHOOD,samaA^'|T~aAriq
89,Al-Fajr,30,4,5,2,TEMPORAL|TEMPORAL|NUMERIC_PAIR|NUMERIC_PAIR|TEMPORAL,ESCHATOLOGY,fajor|layol|$~afoE|wator|layol
91,Ash-Shams,15,7,8,4,CELESTIAL|TEMPORAL|CELESTIAL|TEMPORAL|TEMPORAL|CELESTIAL|TERRESTRIAL|PSYCHOLOGICAL,HUMAN_NATURE,$amos|DuHFY|qamar|nahaAr|layol|samaA^'|>aroD|nafos
92,Al-Layl,21,2,2,1,TEMPORAL|TEMPORAL,HUMAN_NATURE,layol|nahaAr
93,Ad-Dhuha,11,2,2,1,TEMPORAL|TEMPORAL,PROPHETHOOD,DuHFY|layol
95,At-Tin,8,3,4,1,TERRESTRIAL|TERRESTRIAL|TERRESTRIAL|TERRESTRIAL,HUMAN_NATURE,t~iyn|z~ayotuwn|Tuwr|balad
100,Al-Adiyat,11,3,3,1,KINETIC_AGENTIVE|KINETIC_AGENTIVE|KINETIC_AGENTIVE,HUMAN_NATURE,Ea`diya`t|muwriya`t|mugiyra`t
103,Al-Asr,3,1,1,1,TEMPORAL,HUMAN_NATURE,EaSor
