surah,translit,gloss,class,muqattaat,type,target,n_in,n_rest,hits_in,hits_rest,rate_in,rate_rest,ratio,p_two,p_upper,p_poisson_upper,sig_bon
1,Al-Fatihah,the Opening,REVELATION_RITUAL,0,ROOT,ftH,29,77400,0,38,0.000000,0.000491,0.000,1.000e+00,1.000e+00,1.000e+00,0
2,Al-Baqarah,the Cow,ANIMAL_OBJECT,1,ROOT,bqr,6116,71313,5,4,0.000818,0.000056,14.575,2.949e-04,2.949e-04,8.411e-04,1
3,Aal-Imran,the Family of Imran,PROPHET_PERSON,1,LEM,Eimora`n,3481,73948,2,1,0.000575,0.000014,42.487,5.880e-03,5.880e-03,8.317e-03,0
4,An-Nisa,the Women,SOCIAL_LEGAL,0,ROOT,nsw,3747,73682,20,39,0.005338,0.000529,10.084,2.126e-12,2.126e-12,3.544e-11,1
5,Al-Maidah,the Table-Spread,ANIMAL_OBJECT,0,ROOT,myd,2804,74625,2,3,0.000713,0.000040,17.743,1.219e-02,1.219e-02,1.454e-02,0
6,Al-Anam,the Cattle,ANIMAL_OBJECT,0,ROOT,nEm,3050,74379,6,134,0.001967,0.001802,1.092,8.257e-01,4.754e-01,4.736e-01,0
7,Al-Araf,the Heights,COSMOLOGICAL_NATURAL,1,ROOT,Erf,3320,74109,6,64,0.001807,0.000864,2.093,1.260e-01,7.953e-02,8.407e-02,0
8,Al-Anfal,the Spoils,SOCIAL_LEGAL,0,ROOT,nfl,1233,76196,2,2,0.001622,0.000026,61.797,1.488e-03,1.488e-03,1.945e-03,0
9,At-Tawbah,the Repentance,REVELATION_RITUAL,0,ROOT,twb,2498,74931,17,70,0.006805,0.000934,7.285,2.442e-09,2.442e-09,8.363e-09,1
10,Yunus,Jonah,PROPHET_PERSON,1,LEM,yuwnus,1833,75596,1,3,0.000546,0.000040,13.747,9.139e-02,9.139e-02,9.035e-02,0
11,Hud,Hud,PROPHET_PERSON,1,LEM,huwd,1917,75512,5,2,0.002608,0.000026,98.477,1.864e-07,1.864e-07,1.128e-06,1
12,Yusuf,Joseph,PROPHET_PERSON,1,LEM,yuwsuf,1777,75652,25,2,0.014069,0.000026,532.161,2.977e-39,2.977e-39,0.000e+00,1
13,Ar-Rad,the Thunder,COSMOLOGICAL_NATURAL,1,ROOT,rEd,853,76576,1,1,0.001172,0.000013,89.773,2.191e-02,2.191e-02,2.179e-02,0
14,Ibrahim,Abraham,PROPHET_PERSON,1,LEM,<iboraAhiym,830,76599,1,68,0.001205,0.000888,1.357,5.248e-01,5.248e-01,5.227e-01,0
15,Al-Hijr,the Rocky Tract,COSMOLOGICAL_NATURAL,1,ROOT,Hjr,655,76774,2,19,0.003053,0.000247,12.338,1.349e-02,1.349e-02,1.403e-02,0
16,An-Nahl,the Bee,ANIMAL_OBJECT,0,ROOT,nHl,1844,75585,1,1,0.000542,0.000013,40.990,4.706e-02,4.706e-02,4.651e-02,0
17,Al-Isra,the Night Journey,REVELATION_RITUAL,0,ROOT,sry,1556,75873,1,7,0.000643,0.000092,6.966,1.499e-01,1.499e-01,1.485e-01,0
18,Al-Kahf,the Cave,REVELATION_RITUAL,0,ROOT,khf,1579,75850,6,0,0.003800,0.000000,inf,7.126e-11,7.126e-11,4.197e-09,1
19,Maryam,Mary,PROPHET_PERSON,1,LEM,maroyam,961,76468,3,31,0.003122,0.000405,7.700,8.566e-03,8.566e-03,9.158e-03,0
20,Ta-Ha,Ta-Ha,MUQATTAAT_LETTER,1,NONE,,1335,76094,,,,,,,,,0
21,Al-Anbiya,the Prophets,PROPHET_PERSON,0,ROOT,nbA,1169,76260,0,160,0.000000,0.002098,0.000,1.836e-01,1.000e+00,1.000e+00,0
22,Al-Hajj,the Pilgrimage,REVELATION_RITUAL,0,ROOT,Hjj,1274,76155,1,32,0.000785,0.000420,1.868,4.217e-01,4.217e-01,4.190e-01,0
23,Al-Muminun,the Believers,SOCIAL_LEGAL,0,ROOT,Amn,1050,76379,8,871,0.007619,0.011404,0.668,3.041e-01,9.097e-01,9.069e-01,0
24,An-Nur,the Light,DIVINE_ATTRIBUTE,0,ROOT,nwr,1316,76113,9,185,0.006839,0.002431,2.814,6.300e-03,6.300e-03,6.877e-03,0
25,Al-Furqan,the Criterion,REVELATION_RITUAL,0,ROOT,frq,893,76536,1,71,0.001120,0.000928,1.207,5.664e-01,5.664e-01,5.641e-01,0
