sid,name_tl,type,genre,n_root_tokens,n_distinct_roots,mean_freq,geom_mean_freq,median_freq,rare_density_5,hapax_density,common_only_density,null_z,log_n,length_quintile,gm_resid_rank_in_quintile,rare5_resid_rank_in_quintile,hapax_resid_rank_in_quintile
1,Al-Fatihah,meccan,hymn,23,18,517.7826086956521,230.9441707040234,316,0.0,0.0,0.782608695652174,1.3525714831191866,3.1354942159291497,0,21,4,9
2,Al-Baqarah,medinan,legal,3884,585,491.43743563336767,161.74382790027292,170.0,0.028063851699279094,0.004634397528321318,0.6436663233779608,3.0323146577642217,8.264620829411216,4,14,7,8
3,Ali 'Imran,medinan,legal,2274,439,559.7418645558487,195.32846545217254,196.0,0.024626209322779244,0.002638522427440633,0.7053649956024626,8.522953630476328,7.729295674310482,4,25,5,3
4,An-Nisa,medinan,legal,2462,462,532.6693744922827,167.4629998799687,167.5,0.028838342810722988,0.005280259951259139,0.6454102355808286,3.445215752878089,7.808729306744399,4,19,8,10
5,Al-Ma'idah,medinan,legal,1798,422,513.4560622914349,166.57779439997356,176.0,0.0389321468298109,0.006117908787541713,0.6601779755283649,2.892973877931552,7.494430215031565,4,18,16,14
6,Al-An'am,meccan,narrative,1946,421,466.15056526207604,171.88820613717846,185.0,0.03237410071942446,0.0035971223021582736,0.6639260020554985,4.015408082827081,7.57353126274595,4,21,13,5
7,Al-A'raf,meccan,narrative,2144,477,433.0065298507463,160.60620357234643,180.0,0.024253731343283583,0.006063432835820896,0.6408582089552238,2.074274888666287,7.670428522190693,4,12,4,13
8,Al-Anfal,medinan,polemic,803,266,562.8044831880449,167.83875317404448,170,0.034869240348692404,0.0062266500622665,0.6587795765877957,2.062807475795848,6.688354713946762,4,20,14,15
9,At-Tawbah,medinan,polemic,1646,366,536.821992709599,161.31156791846956,167.0,0.02916160388821385,0.0054678007290400975,0.6251518833535844,1.9517370342289477,7.406103381237015,4,13,9,11
10,Yunus,meccan,narrative,1129,290,504.81753764393267,209.58366790701803,210,0.008857395925597875,0.0,0.7015057573073517,7.992451806452759,7.029087564149662,4,26,1,1
11,Hud,meccan,narrative,1162,348,443.9148020654045,158.76063947669775,180.0,0.03700516351118761,0.004302925989672977,0.6368330464716007,1.272733306829492,7.057897937411856,4,11,15,7
12,Yusuf,meccan,narrative,1126,336,436.5577264653641,123.22543087847491,129.0,0.06483126110124333,0.012433392539964476,0.5941385435168739,-3.5639268277778164,7.026426808699636,4,3,24,22
13,Ar-Ra'd,medinan,narrative,563,244,426.90763765541743,147.02512235224734,167,0.02664298401420959,0.003552397868561279,0.6252220248667851,-0.2976002105372259,6.333279628139691,3,9,7,13
14,Ibrahim,meccan,narrative,556,225,465.5431654676259,162.23820146053308,182.0,0.03597122302158273,0.007194244604316547,0.658273381294964,1.201466318887677,6.320768294250582,3,14,11,17
15,Al-Hijr,meccan,narrative,410,201,369.96585365853656,123.80019097766484,140.0,0.05365853658536585,0.007317073170731708,0.5780487804878048,-2.181448287759861,6.016157159698354,3,3,19,18
16,An-Nahl,meccan,narrative,1184,358,477.1706081081081,161.9177315633242,180.0,0.03125,0.009290540540540541,0.6621621621621622,1.6477743743604134,7.076653815443951,4,15,12,21
17,Al-Isra,meccan,narrative,1043,342,355.0613614573346,127.7368121819009,151,0.05560882070949185,0.007670182166826462,0.5896452540747843,-2.8179993125585514,6.949856455000773,4,4,22,17
18,Al-Kahf,meccan,narrative,1057,369,361.1097445600757,112.68824822337291,140,0.065279091769158,0.008514664143803218,0.5827814569536424,-4.927989278760413,6.963189985870238,4,2,25,19
19,Maryam,meccan,narrative,657,239,399.06240487062405,144.3791573228542,184,0.0426179604261796,0.0136986301369863,0.6316590563165906,-0.5650130628981573,6.48768401848461,4,9,19,24
20,Taha,meccan,narrative,837,324,352.5890083632019,110.02667137525326,127,0.06571087216248507,0.016726403823178016,0.5591397849462365,-4.390224458244863,6.729824070489475,4,1,26,25
21,Al-Anbya,meccan,narrative,716,284,408.57402234636874,141.68910565832093,168.5,0.05307262569832402,0.012569832402234637,0.63268156424581,-0.8860045329231625,6.573680166960646,4,7,21,23
22,Al-Hajj,medinan,narrative,826,328,470.79782082324454,133.47138151015417,158.0,0.05569007263922518,0.01694915254237288,0.612590799031477,-1.909923568677776,6.716594773520978,4,5,23,26
23,Al-Mu'minun,meccan,narrative,637,271,411.1302982731554,143.5083524291675,168,0.04081632653061224,0.0031397174254317113,0.6342229199372057,-0.6389216616949275,6.456769655572163,4,8,17,4
24,An-Nur,medinan,legal,859,287,479.0291036088475,137.2200928089107,148,0.04307334109429569,0.004656577415599534,0.5972060535506403,-1.4505984075722171,6.755768921984255,4,6,20,9
25,Al-Furqan,meccan,narrative,608,250,363.0131578947368,139.66777902450502,176.0,0.039473684210526314,0.004934210526315789,0.6463815789473685,-0.9835954333142986,6.410174881966167,3,7,15,14
26,Ash-Shu'ara,meccan,narrative,821,265,461.2216808769793,179.62386633204295,191,0.030450669914738125,0.007308160779537149,0.705237515225335,3.4289762047734906,6.710523109452428,4,22,11,16
27,An-Naml,meccan,narrative,737,265,472.14654002713706,164.87065068025197,182,0.04206241519674356,0.008141112618724558,0.6594301221166893,1.6381490403932326,6.602587892189336,4,17,18,18
28,Al-Qasas,meccan,narrative,882,296,449.4988662131519,157.14838721624724,168.0,0.02947845804988662,0.009070294784580499,0.6462585034013606,0.8349828106007169,6.782192056006791,4,10,10,20
29,Al-'Ankabut,meccan,narrative,627,223,541.0446570972887,213.1774278273253,261,0.01594896331738437,0.001594896331738437,0.7065390749601276,6.143614872826632,6.440946540632921,3,21,1,7
30,Ar-Rum,meccan,narrative,528,195,400.7121212121212,169.39745481759223,184.0,0.022727272727272728,0.001893939393939394,0.6837121212121212,1.759985387376162,6.269096283706261,3,16,4,8
31,Luqman,meccan,narrative,352,184,466.5511363636364,140.21021131065086,157.0,0.036931818181818184,0.005681818181818182,0.6136363636363636,-0.7422529627123919,5.863631175598097,3,8,13,15
32,As-Sajdah,meccan,narrative,237,131,357.1434599156118,163.93327282351297,191,0.029535864978902954,0.004219409282700422,0.6835443037974683,0.8255929690627603,5.4680601411351315,2,17,6,4
33,Al-Ahzab,medinan,legal,881,282,555.727582292849,164.21730841396672,158,0.024971623155505107,0.0056753688989784334,0.6299659477866061,1.6744113330428643,6.78105762593618,4,16,6,12
