surah,verse,word,seg,form,lemma,root,pgn,addressee,rule
1,6,1,1,{hodi,hadaY,hdy,2MS,prophet:Muhammad,2MS-default
2,13,4,1,'aAminu,'aAmana,Amn,2MP,believers-or-group,2MP-default
2,21,3,1,{Eobudu,Eabada,Ebd,2MP,humanity,voc
2,23,9,2,>otu,>ataY,Aty,2MP,believers-or-group,2MP-default
2,23,13,2,{doEu,daEaA,dEw,2MP,believers-or-group,2MP-default
2,24,6,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
2,25,1,2,ba$~iri,bu$~ira,b$r,2MS,prophet:Muhammad,2MS-default
2,31,10,1,>an[bi_#u,>an[ba>a,nbA,2MP,believers-or-group,2MP-default
2,33,3,1,>an[bi}o,>an[ba>a,nbA,2MS,prophet:Muhammad,2MS-default
2,34,4,1,{sojudu,sajada,sjd,2MP,believers-or-group,2MP-default
2,35,3,1,{sokuno,sakana,skn,2MS,prophet:Muhammad,2MS-default
2,35,7,2,kula,>akala,Akl,,unknown,unknown
2,36,9,1,{hobiTu,yahobiTu,hbT,2MP,believers-or-group,2MP-default
2,38,2,1,{hobiTu,yahobiTu,hbT,2MP,believers-or-group,2MP-default
2,40,3,1,{*okuru,*akara,*kr,2MP,believers-or-group,2MP-default
2,40,8,2,>awofu,>awofaY`,wfy,2MP,believers-or-group,2MP-default
2,40,13,2,{rohabu,yarohabu,rhb,2MP,believers-or-group,2MP-default
2,41,1,2,'aAminu,'aAmana,Amn,2MP,believers-or-group,2MP-default
2,41,18,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
2,43,1,2,>aqiymu,>aqaAma,qwm,2MP,believers-or-group,2MP-default
2,43,3,2,'aAtu,A^taY,Aty,2MP,believers-or-group,2MP-default
2,43,5,2,{rokaEu,yarokaEu,rkE,2MP,believers-or-group,2MP-default
2,45,1,2,{sotaEiynu,{sotaEiynu,Ewn,2MP,believers-or-group,2MP-default
2,47,3,1,{*okuru,*akara,*kr,2MP,believers-or-group,2MP-default
2,48,1,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
2,54,11,2,tuwbu,taAba,twb,2MP,believers-or-group,2MP-default
2,54,14,2,{qotulu,qatala,qtl,2MP,believers-or-group,2MP-default
2,57,8,1,kulu,>akala,Akl,2MP,believers-or-group,2MP-default
2,58,3,1,{doxulu,daxala,dxl,2MP,believers-or-group,2MP-default
2,58,6,2,kulu,>akala,Akl,2MP,believers-or-group,2MP-default
2,58,11,2,{doxulu,daxala,dxl,2MP,believers-or-group,2MP-default
2,58,14,2,quwlu,qaAla,qwl,2MP,believers-or-group,2MP-default
2,60,6,1,{Dorib,Daraba,Drb,2MS,prophet:Muhammad,2MS-default
2,60,19,1,kulu,>akala,Akl,2MP,believers-or-group,2MP-default
2,60,20,2,{$orabu,$ariba,$rb,2MP,believers-or-group,2MP-default
2,61,9,2,{doEu,daEaA,dEw,2MS,prophet:Muhammad,2MS-default
2,61,31,1,{hobiTu,yahobiTu,hbT,2MP,believers-or-group,2MP-default
2,63,7,1,xu*u,>axa*a,Ax*,2MP,believers-or-group,2MP-default
2,63,11,2,{*okuru,*akara,*kr,2MP,believers-or-group,2MP-default
2,65,10,1,kuwnu,kaAna,kwn,2MP,believers-or-group,2MP-default
2,68,2,1,{doEu,daEaA,dEw,2MS,prophet:Muhammad,2MS-default
2,68,21,2,{foEalu,faEala,fEl,2MP,believers-or-group,2MP-default
2,69,2,1,{doEu,daEaA,dEw,2MS,prophet:Muhammad,2MS-default
2,70,2,1,{doEu,daEaA,dEw,2MS,prophet:Muhammad,2MS-default
2,73,2,1,{Doribu,Daraba,Drb,2MP,believers-or-group,2MP-default
2,80,8,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,83,16,2,quwlu,qaAla,qwl,2MP,believers-or-group,2MP-default
2,83,19,2,>aqiymu,>aqaAma,qwm,2MP,believers-or-group,2MP-default
2,83,21,2,'aAtu,A^taY,Aty,2MP,believers-or-group,2MP-default
2,91,4,1,'aAminu,'aAmana,Amn,2MP,believers-or-group,2MP-default
2,91,21,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,93,7,1,xu*u,>axa*a,Ax*,2MP,believers-or-group,2MP-default
2,93,11,2,{somaEu,samiEa,smE,2MP,believers-or-group,2MP-default
2,93,20,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,94,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,94,13,2,taman~a,yataman~a,mny,2MP,believers-or-group,2MP-default
2,97,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,104,6,1,ra`Ei,ra`Ei,rEy,2MS,believers,voc
2,104,7,2,quwlu,qaAla,qwl,2MP,believers,voc
2,104,8,1,{nZuro,n~aZara,nZr,2MS,believers,voc
2,104,9,2,{somaEu,samiEa,smE,2MP,believers,voc
2,109,22,2,{Eofu,EafaA,Efw,2MP,believers-or-group,2MP-default
2,109,23,2,{SofaHu,yaSofaHu,SfH,2MP,believers-or-group,2MP-default
2,110,1,2,>aqiymu,>aqaAma,qwm,2MP,believers-or-group,2MP-default
2,110,3,2,'aAtu,A^taY,Aty,2MP,believers-or-group,2MP-default
2,111,13,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
