surah,period,verses,impv_count,impv_per_verse,qul_count
1,Meccan,7,1,0.1429,0
2,Medinan,286,200,0.6993,18
3,Medinan,200,93,0.465,23
4,Medinan,176,85,0.483,5
5,Medinan,120,83,0.6917,9
6,Meccan,165,83,0.503,44
7,Meccan,206,104,0.5049,11
8,Medinan,75,36,0.48,3
9,Medinan,129,58,0.4496,12
10,Meccan,109,55,0.5046,24
11,Meccan,123,43,0.3496,3
12,Meccan,111,39,0.3514,1
13,Medinan,43,11,0.2558,10
14,Meccan,52,17,0.3269,2
15,Meccan,99,19,0.1919,1
16,Meccan,128,25,0.1953,1
17,Meccan,111,50,0.4505,21
18,Meccan,110,27,0.2455,8
19,Meccan,98,25,0.2551,1
20,Meccan,135,50,0.3704,3
21,Meccan,112,16,0.1429,5
22,Medinan,78,27,0.3462,3
23,Meccan,118,32,0.2712,11
24,Medinan,64,20,0.3125,4
25,Meccan,77,15,0.1948,4
26,Meccan,227,47,0.207,1
27,Meccan,93,31,0.3333,7
28,Meccan,88,27,0.3068,4
29,Meccan,69,23,0.3333,4
30,Meccan,60,11,0.1833,1
31,Meccan,34,16,0.4706,1
32,Meccan,30,8,0.2667,2
33,Medinan,73,38,0.5205,5
34,Meccan,54,27,0.5,15
35,Meccan,45,6,0.1333,1
36,Meccan,83,13,0.1566,1
37,Meccan,182,17,0.0934,1
38,Meccan,88,27,0.3068,3
39,Meccan,75,30,0.4,15
40,Meccan,85,24,0.2824,1
41,Meccan,54,16,0.2963,5
42,Meccan,53,6,0.1132,2
43,Meccan,89,13,0.1461,2
44,Meccan,59,12,0.2034,0
45,Meccan,37,5,0.1351,2
46,Meccan,35,16,0.4571,4
47,Medinan,38,5,0.1316,0
48,Medinan,29,6,0.2069,3
49,Medinan,18,15,0.8333,3
50,Meccan,45,8,0.1778,0
51,Meccan,60,5,0.0833,0
52,Meccan,49,11,0.2245,1
53,Meccan,62,3,0.0484,0
54,Meccan,55,8,0.1455,0
55,Medinan,78,2,0.0256,0
56,Meccan,96,3,0.0312,1
57,Medinan,29,10,0.3448,0
58,Medinan,22,10,0.4545,0
59,Medinan,24,9,0.375,0
60,Medinan,13,8,0.6154,0
61,Medinan,14,2,0.1429,0
62,Medinan,11,9,0.8182,3
63,Medinan,11,3,0.2727,0
64,Medinan,18,9,0.5,1
65,Medinan,12,12,1.0,0
66,Medinan,12,10,0.8333,0
67,Meccan,30,12,0.4,6
68,Meccan,52,4,0.0769,0
69,Meccan,52,8,0.1538,0
70,Meccan,44,2,0.0455,0
71,Meccan,28,6,0.2143,0
72,Meccan,28,5,0.1786,5
73,Meccan,20,17,0.85,0
74,Meccan,56,7,0.125,0
75,Meccan,40,1,0.025,0
76,Medinan,31,4,0.129,0
77,Meccan,50,8,0.16,0
78,Meccan,40,1,0.025,0
79,Meccan,46,2,0.0435,1
80,Meccan,42,0,0.0,0
81,Meccan,29,0,0.0,0
82,Meccan,19,0,0.0,0
83,Meccan,36,0,0.0,0
84,Meccan,25,1,0.04,0
85,Meccan,22,0,0.0,0
86,Meccan,17,2,0.1176,0
87,Meccan,19,2,0.1053,0
88,Meccan,26,1,0.0385,0
89,Meccan,30,3,0.1,0
90,Meccan,20,0,0.0,0
91,Meccan,15,0,0.0,0
92,Meccan,21,0,0.0,0
93,Meccan,11,1,0.0909,0
94,Meccan,8,2,0.25,0
95,Meccan,8,0,0.0,0
96,Meccan,19,4,0.2105,0
97,Meccan,5,0,0.0,0
98,Medinan,8,0,0.0,0
99,Medinan,8,0,0.0,0
100,Meccan,11,0,0.0,0
101,Meccan,11,0,0.0,0
102,Meccan,8,0,0.0,0
103,Meccan,3,0,0.0,0
104,Meccan,9,0,0.0,0
105,Meccan,5,0,0.0,0
106,Meccan,4,0,0.0,0
107,Meccan,7,0,0.0,0
108,Meccan,3,2,0.6667,0
109,Meccan,6,1,0.1667,1
110,Medinan,3,2,0.6667,0
111,Meccan,5,0,0.0,0
112,Meccan,4,1,0.25,1
113,Meccan,5,1,0.2,1
114,Meccan,6,1,0.1667,1
