surah,verse,word,laA_form,verb_form,verb_lem,verb_root,verb_pgn
2,11,4,laA,tufosidu,>afosadu,fsd,2MP
2,22,18,laA,tajoEalu,jaEala,jEl,2MP
2,35,12,laA,taqoraba,yaqorabu,qrb,
2,41,7,laA,takuwnu,kaAna,kwn,2MP
2,41,12,laA,ta$otaru,{$otaraY`,$ry,2MP
2,42,1,laA,talobisu,labaso,lbs,2MP
2,60,24,laA,taEova,taEova,Evw,2MP
2,104,4,laA,taquwlu,qaAla,qwl,2MP
2,150,24,laA,taxo$a,xa$iYa,x$y,2MP
2,152,5,laA,takofuru,kafara,kfr,2MP
2,154,1,laA,taquwlu,qaAla,qwl,2MP
2,168,9,laA,tat~abiEu,{t~abaEa,tbE,2MP
2,187,48,laA,tuba`$iru,ba`$iru,b$r,2MP
2,187,57,laA,taqorabu,yaqorabu,qrb,2MP
2,188,1,laA,ta>okulu,>akala,Akl,2MP
2,190,7,laA,taEotadu,{EotadaY`,Edw,2MP
2,191,12,laA,tuqa`tilu,qa`tala,qtl,2MP
2,195,5,laA,tuloqu,>aloqaY`^,lqy,2MP
2,196,11,laA,taHoliqu,taHoliqu,Hlq,2MP
2,208,8,laA,tat~abiEu,{t~abaEa,tbE,2MP
2,221,1,laA,tankiHu,nakaHa,nkH,2MP
2,221,13,laA,tunkiHu,tunkiHu,nkH,2MP
2,222,11,laA,taqorabu,yaqorabu,qrb,2MP
2,224,1,laA,tajoEalu,jaEala,jEl,2MP
2,229,38,laA,taEotadu,{EotadaY`,Edw,2MP
2,231,11,laA,tumosiku,>amosaka,msk,2MP
2,231,21,laA,tat~axi*u,{t~axa*a,Ax*,2MP
2,232,6,laA,taEoDulu,taEoDulu,EDl,2MP
2,235,27,laA,taEozimu,Eazama,Ezm,2MP
2,237,27,laA,tansa,nasiYa,nsy,2MP
2,264,4,laA,tuboTilu,yuboTila,bTl,2MP
2,267,14,laA,tayam~amu,tayam~amu,ymm,2MP
2,272,27,laA,tuZolamu,Zalama,Zlm,2MP
2,279,16,laA,tuZolamu,Zalama,Zlm,2MP
2,282,31,laA,yaboxaso,yaboxaso,bxs,3MS
2,282,78,laA,taso_#amu,yaso_#amu,sAm,2MP
2,283,21,laA,takotumu,katama,ktm,2MP
2,286,14,laA,tu&aAxi*o,yu&aAxi*u,Ax*,2MS
2,286,21,laA,taHomilo,Hamala,Hml,2MS
2,286,32,laA,tuHam~ilo,Hum~ila,Hml,2MS
3,8,2,laA,tuzigo,>azaAga,zyg,2MS
3,60,4,laA,takun,kaAna,kwn,2MS
3,73,1,laA,tu&ominu,'aAmana,Amn,2MP
3,103,5,laA,tafar~aqu,tafar~aqa,frq,2MP
3,105,1,laA,takuwnu,kaAna,kwn,2MP
3,118,4,laA,tat~axi*u,{t~axa*a,Ax*,2MP
3,130,4,laA,ta>okulu,>akala,Akl,2MP
3,139,1,laA,tahinu,wahana,whn,2MP
3,139,3,laA,taHozanu,yaHozun,Hzn,2MP
3,156,4,laA,takuwnu,kaAna,kwn,2MP
3,169,1,laA,taHosaba,Hasiba,Hsb,2MS
3,175,6,laA,taxaAfu,xaAfa,xwf,2MP
3,178,1,laA,yaHosaba,Hasiba,Hsb,3MS
3,194,7,laA,tuxozi,>axozayo,xzy,2MS
3,196,1,laA,yagur~a,gar~a,grr,3MS
4,2,4,laA,tatabad~alu,yatabad~ali,bdl,2MP
4,2,8,laA,ta>okulu,>akala,Akl,2MP
4,5,1,laA,tu&otu,A^taY,Aty,2MP
4,6,14,laA,ta>okulu,>akala,Akl,2MP
4,19,11,laA,taEoDulu,taEoDulu,EDl,2MP
4,20,10,laA,ta>oxu*u,>axa*a,Ax*,2MP
4,22,1,laA,tankiHu,nakaHa,nkH,2MP
4,29,4,laA,ta>okulu,>akala,Akl,2MP
4,29,16,laA,taqotulu,qatala,qtl,2MP
4,32,1,laA,tataman~a,yataman~a,mny,2MP
4,34,32,laA,tabogu,bagaY`,bgy,2MP
4,36,3,laA,tu$oriku,>a$oraka,$rk,2MP
4,43,4,laA,taqorabu,yaqorabu,qrb,2MP
4,77,46,laA,tuZolamu,Zalama,Zlm,2MP
4,89,8,laA,tat~axi*u,{t~axa*a,Ax*,2MP
4,89,23,laA,tat~axi*u,{t~axa*a,Ax*,2MP
4,94,10,laA,taquwlu,qaAla,qwl,2MP
4,104,1,laA,tahinu,wahana,whn,2MP
4,129,9,laA,tamiylu,yamiylu,myl,2MP
4,135,23,laA,tat~abiEu,{t~abaEa,tbE,2MP
4,140,15,laA,taqoEudu,qaEada,qEd,2MP
4,144,4,laA,tat~axi*u,{t~axa*a,Ax*,2MP
4,154,12,laA,taEodu,yaEodu,Edw,2MP
4,171,3,laA,tagoluw,tagoluw,glw,
4,171,7,laA,taquwlu,qaAla,qwl,2MP
4,171,29,laA,taquwlu,qaAla,qwl,2MP
5,2,4,laA,tuHil~u,>aHal~a,Hll,2MP
5,2,27,laA,yajorima,yajorima,jrm,3MS
5,2,42,laA,taEaAwanu,taEaAwanu,Ewn,2MP
5,3,37,laA,taxo$a,xa$iYa,x$y,2MP
5,8,9,laA,yajorima,yajorima,jrm,3MS
5,21,9,laA,tarotad~u,{rotad~a,rdd,2MP
5,41,3,laA,yaHozun,yaHozun,Hzn,3MS
5,44,24,laA,taxo$a,xa$iYa,x$y,2MP
5,44,28,laA,ta$otaru,{$otaraY`,$ry,2MP
5,48,18,laA,tat~abiEo,{t~abaEa,tbE,2MS
5,49,7,laA,tat~abiEo,{t~abaEa,tbE,2MS
5,51,4,laA,tat~axi*u,{t~axa*a,Ax*,2MP
5,57,4,laA,tat~axi*u,{t~axa*a,Ax*,2MP
5,68,26,laA,ta>osa,ta>osa,Asw,2MS
