surah,verse,word
2,80,8
2,91,21
2,93,20
2,94,1
2,97,1
2,111,13
2,120,10
2,135,7
2,139,1
2,140,13
2,142,12
2,189,4
2,215,4
2,217,7
2,219,5
2,219,18
2,220,7
2,222,4
3,12,1
3,15,1
3,20,3
3,20,9
3,26,1
3,29,1
3,31,1
3,32,1
3,61,10
3,64,1
3,73,7
3,73,22
3,84,1
3,93,18
3,95,1
3,98,1
3,99,1
3,119,20
3,154,29
3,154,51
3,165,10
3,168,9
3,183,15
4,63,11
4,77,38
4,78,25
4,127,4
4,176,2
5,4,5
5,17,11
5,18,8
5,59,1
5,60,1
5,68,1
5,76,1
5,77,1
5,100,1
6,11,1
6,12,1
6,12,7
6,14,1
6,14,13
6,15,1
6,19,1
6,19,6
6,19,26
6,19,29
6,37,8
6,40,1
6,46,1
6,47,1
6,50,1
6,50,22
6,54,6
6,56,1
6,56,11
6,57,1
6,58,1
6,63,1
6,64,1
6,65,1
6,66,6
6,71,1
6,71,30
6,90,7
6,91,15
6,91,38
6,109,10
6,135,1
6,143,9
6,144,7
6,145,1
6,147,3
6,148,23
6,149,1
6,150,1
6,151,1
6,158,34
6,161,1
6,162,1
6,164,1
7,28,11
7,29,1
7,32,1
7,32,12
7,33,1
7,158,1
7,187,6
7,187,28
7,188,1
7,195,20
7,203,8
8,1,4
8,38,1
8,70,3
9,24,1
9,51,1
9,52,1
9,53,1
9,61,8
9,64,11
9,65,8
9,81,20
9,83,9
9,94,6
9,105,1
9,129,3
10,15,17
10,16,1
10,18,15
10,20,8
10,21,14
10,31,1
10,31,25
10,34,1
10,34,10
10,35,1
10,35,9
10,38,4
10,41,3
10,49,1
10,50,1
10,53,4
10,58,1
10,59,1
10,59,13
10,69,1
10,101,1
10,102,10
10,104,1
10,108,1
11,13,4
11,35,4
11,121,1
12,108,1
13,16,1
13,16,6
13,16,8
13,16,19
13,16,38
13,27,10
13,30,18
13,33,12
13,36,13
13,43,6
14,30,7
14,31,1
15,89,1
16,102,1
17,23,22
17,24,7
17,28,9
17,42,1
17,50,1
17,51,10
17,51,21
17,53,1
17,56,1
17,80,1
17,81,1
17,84,1
17,85,4
17,88,1
17,93,19
17,95,1
17,96,1
17,100,1
17,107,1
17,110,1
17,111,1
18,22,15
18,24,9
18,26,1
18,29,1
18,83,5
18,103,1
18,109,1
18,110,1
19,75,1
20,105,4
20,114,14
20,135,1
21,24,6
21,42,1
21,45,1
21,108,1
21,109,3
22,49,1
22,68,3
22,72,18
23,28,8
23,29,1
23,84,1
23,85,3
23,86,1
23,87,3
23,88,1
23,89,3
23,93,1
23,97,1
23,118,1
24,30,1
24,31,1
24,53,8
24,54,1
25,6,1
25,15,1
25,57,1
25,77,1
26,216,3
27,59,1
27,64,14
27,65,1
27,69,1
27,72,1
27,92,11
27,93,1
28,49,1
28,71,1
28,72,1
28,85,9
29,20,1
29,50,8
29,52,1
29,63,16
30,42,1
31,25,9
32,11,1
32,29,1
33,16,1
33,17,1
33,28,3
33,59,3
33,63,5
34,3,7
34,22,1
34,24,1
34,24,7
34,25,1
34,26,1
34,27,1
34,30,1
34,36,1
34,39,1
34,46,1
34,47,1
34,48,1
34,49,1
34,50,1
35,40,1
36,79,1
37,18,1
38,65,1
38,67,1
38,86,1
39,8,27
39,9,13
39,10,1
39,11,1
39,13,1
39,14,1
39,15,6
39,38,9
39,38,31
39,39,1
39,43,7
39,44,1
39,46,1
39,53,1
39,64,1
40,66,1
41,6,1
41,9,1
41,13,3
41,44,11
41,52,1
42,15,9
42,23,10
43,81,1
43,89,3
45,14,1
45,26,1
46,4,1
46,8,4
46,9,1
46,10,1
48,11,17
48,15,15
48,16,1
49,14,4
49,16,1
49,17,5
52,31,1
56,49,1
62,6,1
62,8,1
62,11,10
64,7,7
67,23,1
67,24,1
67,26,1
67,28,1
67,29,1
67,30,1
72,1,1
72,20,1
72,21,1
72,22,1
72,25,1
79,18,1
109,1,1
112,1,1
113,1,1
114,1,1
