surah,verse,count,text
2,11,1,وَإِذا قيلَ لَهُم لا تُفسِدوا فِى الأَرضِ قالوا إِنَّما نَحنُ مُصلِحونَ
2,14,1,وَإِذا لَقُوا الَّذينَ ءامَنوا قالوا ءامَنّا وَإِذا خَلَوا إِلىٰ شَيٰطينِهِم قالوا إِنّا مَعَكُم إِنَّما نَحنُ مُستَهزِءونَ
2,102,1,وَاتَّبَعوا ما تَتلُوا الشَّيٰطينُ عَلىٰ مُلكِ سُلَيمٰنَ ۖ وَما كَفَرَ سُلَيمٰنُ وَلٰكِنَّ الشَّيٰطينَ كَفَروا يُعَلِّمونَ النّاسَ السِّحرَ وَما أُنزِلَ عَلَى المَلَكَينِ بِبابِلَ هٰروتَ وَمٰروتَ ۚ وَما يُعَلِّمانِ مِن أَحَدٍ حَتّىٰ يَقولا إِنَّما نَحنُ فِتنَةٌ فَلا تَكفُر ۖ فَيَتَعَلَّمونَ مِنهُما ما يُفَرِّقونَ بِهِ بَينَ المَرءِ وَزَوجِهِ ۚ وَما هُم بِضارّينَ بِهِ مِن أَحَدٍ إِلّا بِإِذنِ اللَّهِ ۚ وَيَتَعَلَّمونَ ما يَضُرُّهُم وَلا يَنفَعُهُم ۚ وَلَقَد عَلِموا لَمَنِ اشتَرىٰهُ ما لَهُ فِى الءاخِرَةِ مِن خَلٰقٍ ۚ وَلَبِئسَ ما شَرَوا بِهِ أَنفُسَهُم ۚ لَو كانوا يَعلَمونَ
2,117,1,بَديعُ السَّمٰوٰتِ وَالأَرضِ ۖ وَإِذا قَضىٰ أَمرًا فَإِنَّما يَقولُ لَهُ كُن فَيَكونُ
2,137,1,فَإِن ءامَنوا بِمِثلِ ما ءامَنتُم بِهِ فَقَدِ اهتَدَوا ۖ وَإِن تَوَلَّوا فَإِنَّما هُم فى شِقاقٍ ۖ فَسَيَكفيكَهُمُ اللَّهُ ۚ وَهُوَ السَّميعُ العَليمُ
2,169,1,إِنَّما يَأمُرُكُم بِالسّوءِ وَالفَحشاءِ وَأَن تَقولوا عَلَى اللَّهِ ما لا تَعلَمونَ
2,173,1,إِنَّما حَرَّمَ عَلَيكُمُ المَيتَةَ وَالدَّمَ وَلَحمَ الخِنزيرِ وَما أُهِلَّ بِهِ لِغَيرِ اللَّهِ ۖ فَمَنِ اضطُرَّ غَيرَ باغٍ وَلا عادٍ فَلا إِثمَ عَلَيهِ ۚ إِنَّ اللَّهَ غَفورٌ رَحيمٌ
2,181,1,فَمَن بَدَّلَهُ بَعدَما سَمِعَهُ فَإِنَّما إِثمُهُ عَلَى الَّذينَ يُبَدِّلونَهُ ۚ إِنَّ اللَّهَ سَميعٌ عَليمٌ
2,275,1,الَّذينَ يَأكُلونَ الرِّبوٰا۟ لا يَقومونَ إِلّا كَما يَقومُ الَّذى يَتَخَبَّطُهُ الشَّيطٰنُ مِنَ المَسِّ ۚ ذٰلِكَ بِأَنَّهُم قالوا إِنَّمَا البَيعُ مِثلُ الرِّبوٰا۟ ۗ وَأَحَلَّ اللَّهُ البَيعَ وَحَرَّمَ الرِّبوٰا۟ ۚ فَمَن جاءَهُ مَوعِظَةٌ مِن رَبِّهِ فَانتَهىٰ فَلَهُ ما سَلَفَ وَأَمرُهُ إِلَى اللَّهِ ۖ وَمَن عادَ فَأُولٰئِكَ أَصحٰبُ النّارِ ۖ هُم فيها خٰلِدونَ
3,20,1,فَإِن حاجّوكَ فَقُل أَسلَمتُ وَجهِىَ لِلَّهِ وَمَنِ اتَّبَعَنِ ۗ وَقُل لِلَّذينَ أوتُوا الكِتٰبَ وَالأُمِّيّۦنَ ءَأَسلَمتُم ۚ فَإِن أَسلَموا فَقَدِ اهتَدَوا ۖ وَإِن تَوَلَّوا فَإِنَّما عَلَيكَ البَلٰغُ ۗ وَاللَّهُ بَصيرٌ بِالعِبادِ
