surah,surah_name,type,start,end,length,is_opening,first_oath_type,sworn_by_forms,sworn_by_roots,categories,mixed,chiastic_cats,in_U2,out_U2,post_v,post_en
4,An-Nisa,medinan,157,157,2,False,waw,qawoli | $ak~K,qwl | $kk,other | other,False,False,1.0,0.2914285714285714,158,
4,An-Nisa,medinan,161,161,2,False,waw,>axo*i | >akoli,Ax* | Akl,other | other,False,False,1.0,0.2857142857142857,162,
6,Al-An'am,meccan,109,109,1,False,qsm,{ll~ahi,Alh,other,False,False,1.0,0.5426829268292683,110,
16,An-Nahl,meccan,16,16,1,False,waw,Eala`ma`tK,Elm,other,False,False,1.0,0.6614173228346457,17,
16,An-Nahl,meccan,38,38,1,False,qsm,{ll~ahi,Alh,other,False,False,1.0,0.6614173228346457,39,
21,Al-Anbya,meccan,78,78,3,False,waw,"daAwu,da | sulayoma`na | Harovi", |  | Hrv,other | other | other,False,False,1.0,0.5495495495495496,79,
21,Al-Anbya,meccan,83,83,1,False,waw,>ay~uwba,,other,False,False,1.0,0.5495495495495496,84,
21,Al-Anbya,meccan,89,89,1,False,waw,zakariy~aA^,,other,False,False,1.0,0.5495495495495496,90,
24,An-Nur,medinan,53,53,1,False,qsm,{ll~ahi,Alh,other,False,False,1.0,0.36507936507936506,54,
26,Ash-Shu'ara,meccan,58,58,2,False,waw,kunuwzK | maqaAmK,knz | qwm,other | eschatological,True,False,1.0,0.5132743362831859,59,
26,Ash-Shu'ara,meccan,134,134,2,False,waw,jan~a`tK | EuyuwnK,jnn | Eyn,other | other,False,False,1.0,0.5132743362831859,135,
26,Ash-Shu'ara,meccan,148,148,2,False,waw,zuruwEK | naxolK,zrE | nxl,other | other,False,False,1.0,0.5132743362831859,149,
29,Al-'Ankabut,meccan,39,39,2,False,waw,qa`ruwna | >aroDi, | ArD,other | terrestrial,True,False,1.0,0.5,40,
35,Fatir,meccan,42,42,1,False,qsm,{ll~ahi,Alh,other,False,False,1.0,0.36363636363636365,43,
36,Ya-Sin,meccan,2,2,1,False,waw,quro'aAni,qrA,instrumental,False,False,1.0,0.6707317073170732,3,
37,As-Saffat,meccan,1,3,3,True,waw,S~a`^f~a`ti | z~a`jira`ti | t~a`liya`ti,Sff | zjr | tlw,angelic | angelic | angelic,False,False,0.6666666666666666,0.46368715083798884,4,
