surah,name,type,n_verses,opening_chars,body_chars,self_concat_gz,self_delta,self_ncd,foreign_mean_gz,foreign_mean_delta,foreign_min_delta,foreign_max_delta,self_rank_size,self_rank_delta,self_rank_ncd,n_candidates
2,Al-Baqarah,medinan,286,3,33364,15500,4,0.998580278781621,1941.2212389380531,1.9734513274336283,-3,8,114,96,114,114
3,Ali 'Imran,medinan,200,3,18913,9280,-3,0.9968760099105892,1996.2654867256638,2.0353982300884956,-3,8,111,1,109,114
4,An-Nisa,medinan,176,157,20468,9754,75,0.9900816200020663,2086.548672566372,95.82300884955752,44,127,113,11,112,114
5,Al-Ma'idah,medinan,120,124,15337,7665,49,0.9862132352941176,2092.7964601769913,83.8141592920354,47,108,109,2,108,114
6,Al-An'am,meccan,165,84,16192,8471,30,0.989100817438692,2055.336283185841,53.65486725663717,21,79,110,5,109,114
7,Al-A'raf,meccan,206,4,18190,9466,4,0.9974635383639823,1996.4424778761063,3.7964601769911503,-1,9,112,46,112,114
8,Al-Anfal,medinan,75,112,6671,3626,35,0.9718741297688666,2112.548672566372,67.94690265486726,29,89,93,3,82,114
9,At-Tawbah,medinan,129,49,13907,6874,9,0.988638018936635,2044.6194690265486,28.991150442477878,11,46,108,1,107,114
10,Yunus,meccan,109,28,9648,5197,25,0.9918793503480279,2051.4424778761063,20.831858407079647,6,30,104,81,107,114
11,Hud,meccan,123,47,9988,5473,34,0.9898878470307042,2069.0353982300885,40.78761061946903,22,53,107,9,105,114
12,Yusuf,meccan,111,28,9306,5209,27,0.9924739482825164,2049.849557522124,19.327433628318584,7,29,105,102,107,114
13,Ar-Ra'd,medinan,43,78,4468,2762,42,0.9716911764705882,2108.2566371681414,55.94690265486726,31,78,84,17,81,114
14,Ibrahim,meccan,52,89,4388,2749,35,0.9661016949152542,2115.424778761062,63.06194690265487,33,87,83,2,76,114
15,Al-Hijr,meccan,99,32,3523,2231,25,0.9782411604714415,2081.7256637168143,24.86725663716814,14,35,75,58,76,114
16,An-Nahl,meccan,128,52,9860,5359,25,0.9866891638545182,2068.6106194690265,39.43362831858407,11,57,106,5,104,114
17,Al-Isra,meccan,111,117,8254,4848,53,0.9812304483837331,2112.008849557522,78.06194690265487,48,103,102,5,98,114
18,Al-Kahf,meccan,110,54,8227,4897,45,0.9899010717230008,2074.221238938053,40.7787610619469,21,54,103,79,106,114
19,Maryam,meccan,98,5,4981,2999,6,0.9916471767457401,2055.9557522123896,6.061946902654867,2,10,88,41,87,114
20,Taha,meccan,135,2,6860,4177,0,0.9942542494613359,2041.6991150442477,2.2831858407079646,-1,5,100,10,98,114
21,Al-Anbya,meccan,112,37,6353,3759,18,0.9836941994119219,2072.9557522123896,29.68141592920354,16,41,96,3,89,114
22,Al-Hajj,medinan,78,51,6694,3785,29,0.9826943556975506,2081.619469026549,38.47787610619469,18,57,97,11,93,114
23,Al-Mu'minun,meccan,118,16,5591,3297,9,0.98661800486618,2060.787610619469,13.504424778761061,5,22,90,10,88,114
24,An-Nur,medinan,64,59,7204,3873,24,0.981553650298779,2079.991150442478,37.67256637168141,19,58,98,7,92,114
25,Al-Furqan,meccan,77,52,4792,2949,31,0.980123372172721,2088.7699115044247,38.21238938053097,22,53,87,20,84,114
26,Ash-Shu'ara,meccan,227,3,7011,3574,4,0.9938375350140056,2047.9734513274336,3.185840707964602,-1,7,92,64,94,114
