surah,name,type,n_candidates,self_rank_delta,self_rank_size,self_delta,foreign_mean_delta
2,Al-Baqarah,medinan,114,13,114,131,152.5929203539823
3,Ali 'Imran,medinan,114,7,111,21,38.85840707964602
4,An-Nisa,medinan,114,1,113,102,173.95575221238937
5,Al-Ma'idah,medinan,114,25,109,27,36.743362831858406
6,Al-An'am,meccan,114,3,110,64,86.78761061946902
7,Al-A'raf,meccan,114,16,112,31,40.584070796460175
8,Al-Anfal,medinan,114,20,95,64,81.43362831858407
9,At-Tawbah,medinan,114,26,108,43,50.575221238938056
10,Yunus,meccan,114,8,105,29,43.283185840707965
11,Hud,meccan,114,11,107,44,60.584070796460175
12,Yusuf,meccan,114,44,104,87,90.32743362831859
13,Ar-Ra'd,medinan,114,10,84,44,60.796460176991154
14,Ibrahim,meccan,114,17,83,41,49.13274336283186
15,Al-Hijr,meccan,114,42,75,20,20.734513274336283
16,An-Nahl,meccan,114,17,106,15,21.72566371681416
17,Al-Isra,meccan,114,59,102,60,59.10619469026549
18,Al-Kahf,meccan,114,2,103,61,84.19469026548673
19,Maryam,meccan,114,3,88,22,39.11504424778761
20,Taha,meccan,114,31,100,43,47.65486725663717
21,Al-Anbya,meccan,114,22,97,32,38.9646017699115
22,Al-Hajj,medinan,114,2,96,122,166.04424778761063
23,Al-Mu'minun,meccan,114,1,90,18,28.911504424778762
24,An-Nur,medinan,114,10,98,45,70.5575221238938
25,Al-Furqan,meccan,114,42,87,48,49.52212389380531
26,Ash-Shu'ara,meccan,114,81,92,78,66.01769911504425
27,An-Naml,meccan,114,15,93,40,50.69911504424779
28,Al-Qasas,meccan,114,5,101,40,60.72566371681416
29,Al-'Ankabut,meccan,114,16,89,28,37.69911504424779
30,Ar-Rum,meccan,114,67,78,39,38.19469026548673
31,Luqman,meccan,114,35,72,74,82.38053097345133
32,As-Sajdah,meccan,114,1,65,10,21.43362831858407
33,Al-Ahzab,medinan,114,3,99,27,58.415929203539825
34,Saba,meccan,114,23,82,38,47.9646017699115
35,Fatir,meccan,114,17,78,73,87.39823008849558
36,Ya-Sin,meccan,114,14,76,25,33.75221238938053
37,As-Saffat,meccan,114,44,85,14,15.0
38,Sad,meccan,114,43,79,16,16.787610619469028
39,Az-Zumar,meccan,114,24,91,54,64.45132743362832
40,Ghafir,meccan,114,1,93,46,68.16814159292035
41,Fussilat,meccan,114,29,81,34,38.76106194690266
42,Ash-Shuraa,meccan,114,5,80,18,38.982300884955755
43,Az-Zukhruf,meccan,114,30,86,26,29.0
44,Ad-Dukhan,meccan,114,5,62,9,14.761061946902656
45,Al-Jathiyah,meccan,114,15,69,15,31.734513274336283
46,Al-Ahqaf,meccan,114,7,74,71,91.71681415929204
47,Muhammad,medinan,114,39,71,106,113.63716814159292
48,Al-Fath,medinan,114,47,71,208,217.12389380530973
49,Al-Hujurat,medinan,114,37,59,26,32.876106194690266
50,Qaf,meccan,114,7,63,36,50.150442477876105
51,Adh-Dhariyat,meccan,114,25,63,19,24.283185840707965
52,At-Tur,meccan,114,28,57,20,22.61946902654867
53,An-Najm,meccan,114,21,61,12,16.265486725663717
54,Al-Qamar,meccan,114,37,58,22,22.946902654867255
55,Ar-Rahman,medinan,114,1,52,14,24.150442477876105
56,Al-Waqi'ah,meccan,114,4,66,10,16.469026548672566
57,Al-Hadid,medinan,114,9,73,52,71.4424778761062
58,Al-Mujadila,medinan,114,54,67,170,175.46017699115043
59,Al-Hashr,medinan,114,6,68,35,60.13274336283186
60,Al-Mumtahanah,medinan,114,23,59,51,63.849557522123895
61,As-Saf,medinan,114,4,43,92,119.4424778761062
62,Al-Jumu'ah,medinan,114,39,38,64,70.01769911504425
63,Al-Munafiqun,medinan,114,29,42,32,39.89380530973451
64,At-Taghabun,medinan,114,66,49,24,21.371681415929203
65,At-Talaq,medinan,114,55,53,73,73.38053097345133
66,At-Tahrim,medinan,114,64,47,71,69.07964601769912
67,Al-Mulk,meccan,114,2,56,23,37.48672566371681
68,Al-Qalam,meccan,114,10,55,11,17.451327433628318
69,Al-Haqqah,meccan,114,65,54,17,16.4070796460177
70,Al-Ma'arij,meccan,114,58,46,38,38.150442477876105
71,Nuh,meccan,114,13,45,41,52.07964601769911
72,Al-Jinn,meccan,114,78,49,55,51.11504424778761
73,Al-Muzzammil,meccan,114,73,34,277,261.37168141592923
74,Al-Muddaththir,meccan,114,64,50,41,40.32743362831859
75,Al-Qiyamah,meccan,114,40,37,24,26.079646017699115
76,Al-Insan,medinan,114,83,51,47,39.876106194690266
77,Al-Mursalat,meccan,114,97,40,22,18.256637168141594
78,An-Naba,meccan,114,81,41,65,60.256637168141594
79,An-Nazi'at,meccan,114,20,43,27,32.65486725663717
80,'Abasa,meccan,114,97,35,19,15.20353982300885
81,At-Takwir,meccan,114,55,31,22,23.168141592920353
82,Al-Infitar,meccan,114,92,25,40,33.309734513274336
83,Al-Mutaffifin,meccan,114,25,39,18,21.805309734513273
84,Al-Inshiqaq,meccan,114,86,32,39,28.41592920353982
85,Al-Buruj,meccan,114,30,33,11,12.654867256637168
86,At-Tariq,meccan,114,80,23,21,18.504424778761063
87,Al-A'la,meccan,114,92,28,19,16.911504424778762
88,Al-Ghashiyah,meccan,114,50,30,12,13.256637168141593
89,Al-Fajr,meccan,114,1,36,3,10.176991150442477
90,Al-Balad,meccan,114,78,29,15,13.964601769911505
91,Ash-Shams,meccan,114,13,22,9,12.814159292035399
92,Al-Layl,meccan,114,16,27,8,10.787610619469026
93,Ad-Duhaa,meccan,114,38,19,16,18.088495575221238
94,Ash-Sharh,meccan,114,96,12,15,13.008849557522124
95,At-Tin,meccan,114,52,19,17,17.72566371681416
96,Al-'Alaq,meccan,114,48,24,21,21.86725663716814
97,Al-Qadr,meccan,114,111,14,25,19.95575221238938
98,Al-Bayyinah,medinan,114,74,26,82,75.36283185840708
99,Az-Zalzalah,medinan,114,2,16,12,21.86725663716814
100,Al-'Adiyat,meccan,114,57,21,17,17.061946902654867
101,Al-Qari'ah,meccan,114,40,16,8,9.176991150442477
102,At-Takathur,meccan,114,53,12,20,20.15929203539823
103,Al-'Asr,meccan,114,113,1,48,28.442477876106196
104,Al-Humazah,meccan,114,8,17,8,11.601769911504425
105,Al-Fil,meccan,114,12,11,14,17.345132743362832
106,Quraysh,meccan,114,96,4,28,24.469026548672566
107,Al-Ma'un,meccan,114,103,15,13,9.309734513274336
108,Al-Kawthar,meccan,114,56,3,16,16.548672566371682
109,Al-Kafirun,meccan,114,98,6,13,10.389380530973451
110,An-Nasr,medinan,114,97,4,38,30.991150442477878
111,Al-Masad,meccan,114,58,9,17,17.601769911504423
112,Al-Ikhlas,meccan,114,77,2,16,14.814159292035399
113,Al-Falaq,meccan,114,50,7,14,15.274336283185841
114,An-Nas,meccan,114,81,6,11,9.327433628318584
