id,name,type,n_verses,n_letters,n_distinct_letters,H
1,Al-Fatihah,meccan,7,143,23,3.9213873178485477
2,Al-Baqarah,medinan,286,26249,36,4.358994537255188
3,Ali 'Imran,medinan,200,14985,36,4.329939746199911
4,An-Nisa,medinan,176,16332,36,4.342917546944548
5,Al-Ma'idah,medinan,120,12206,36,4.343964132972071
6,Al-An'am,meccan,165,12726,36,4.4087737128667905
7,Al-A'raf,meccan,206,14435,36,4.3929864171444555
8,Al-Anfal,medinan,75,5387,36,4.338353106315291
9,At-Tawbah,medinan,129,11115,36,4.326684288931785
10,Yunus,meccan,109,7589,36,4.355302150015996
11,Hud,meccan,123,7817,36,4.4043210794931875
12,Yusuf,meccan,111,7307,36,4.403318658162377
13,Ar-Ra'd,medinan,43,3545,36,4.3686428848640935
14,Ibrahim,meccan,52,3539,36,4.37381423085311
15,Al-Hijr,meccan,99,2882,36,4.344842388832824
16,An-Nahl,meccan,128,7832,36,4.3633048349856285
17,Al-Isra,meccan,111,6643,36,4.437310194669398
18,Al-Kahf,meccan,110,6552,36,4.465519483040994
19,Maryam,meccan,98,3935,36,4.365822633823081
20,Taha,meccan,135,5399,36,4.473602482356339
21,Al-Anbya,meccan,112,5094,36,4.354549374974017
22,Al-Hajj,medinan,78,5314,36,4.354405294893444
23,Al-Mu'minun,meccan,118,4483,36,4.392075596636465
24,An-Nur,medinan,64,5754,36,4.382840062981049
25,Al-Furqan,meccan,77,3878,36,4.3388357366634525
26,Ash-Shu'ara,meccan,227,5630,36,4.3618643803957475
27,An-Naml,meccan,93,4790,36,4.404261800749703
28,Al-Qasas,meccan,88,5930,36,4.377032637543303
29,Al-'Ankabut,meccan,69,4317,36,4.303631638267104
30,Ar-Rum,meccan,60,3472,36,4.389623582148194
31,Luqman,meccan,34,2171,36,4.36493153269004
32,As-Sajdah,meccan,30,1563,36,4.333861129261204
33,Al-Ahzab,medinan,73,5788,36,4.304607195288654
34,Saba,meccan,54,3594,36,4.369513652613941
35,Fatir,meccan,45,3238,36,4.384230871670778
36,Ya-Sin,meccan,83,3068,36,4.363763480470877
37,As-Saffat,meccan,182,3899,36,4.352767496013237
38,Sad,meccan,88,3065,36,4.435359791962067
39,Az-Zumar,meccan,75,4869,36,4.3851238126788195
40,Ghafir,meccan,85,5108,36,4.3627343639134875
41,Fussilat,meccan,54,3365,36,4.401398974121277
42,Ash-Shuraa,meccan,53,3522,36,4.364316861336612
43,Az-Zukhruf,meccan,89,3609,36,4.38969963135595
44,Ad-Dukhan,meccan,59,1474,36,4.325534283011654
45,Al-Jathiyah,meccan,37,2085,36,4.320622037439441
46,Al-Ahqaf,meccan,35,2667,35,4.355958598282818
47,Muhammad,medinan,38,2423,36,4.348802102287246
48,Al-Fath,medinan,29,2510,36,4.379694986300925
49,Al-Hujurat,medinan,18,1533,36,4.307643142725693
50,Qaf,meccan,45,1507,35,4.396803869266287
51,Adh-Dhariyat,meccan,60,1546,36,4.343158688754142
52,At-Tur,meccan,49,1324,36,4.3281735674835184
53,An-Najm,meccan,62,1433,36,4.4938314043375005
54,Al-Qamar,meccan,55,1469,35,4.489926075366437
55,Ar-Rahman,medinan,78,1647,36,4.321997347370101
56,Al-Waqi'ah,meccan,96,1756,36,4.3532142433848415
57,Al-Hadid,medinan,29,2545,36,4.325780080894654
58,Al-Mujadila,medinan,22,2046,36,4.305726800812524
59,Al-Hashr,medinan,24,1970,36,4.304304829264095
60,Al-Mumtahanah,medinan,13,1560,36,4.313376197674438
61,As-Saf,medinan,14,966,35,4.305015104501371
62,Al-Jumu'ah,medinan,11,768,35,4.226450949154869
63,Al-Munafiqun,medinan,11,801,35,4.3055033201682
64,At-Taghabun,medinan,18,1091,36,4.310019956248563
65,At-Talaq,medinan,12,1203,36,4.400626262168077
66,At-Tahrim,medinan,12,1105,36,4.332558015150755
67,Al-Mulk,meccan,30,1347,36,4.408438726489192
68,Al-Qalam,meccan,52,1289,35,4.390333085959824
69,Al-Haqqah,meccan,52,1133,35,4.4424193155370935
70,Al-Ma'arij,meccan,44,971,35,4.35719033011057
71,Nuh,meccan,28,965,35,4.3031921695774304
72,Al-Jinn,meccan,28,1109,36,4.337599593304479
73,Al-Muzzammil,meccan,20,854,35,4.388026643198341
74,Al-Muddaththir,meccan,56,1035,36,4.453943702880928
75,Al-Qiyamah,meccan,40,676,34,4.444130831364414
76,Al-Insan,medinan,31,1087,36,4.405912681094069
77,Al-Mursalat,meccan,50,841,35,4.266869560625999
78,An-Naba,meccan,40,796,35,4.253090101923984
79,An-Nazi'at,meccan,46,785,35,4.49990297658046
80,'Abasa,meccan,42,552,34,4.608405803978358
81,At-Takwir,meccan,29,435,34,4.408000732877104
82,Al-Infitar,meccan,19,333,31,4.271237454683798
83,Al-Mutaffifin,meccan,36,750,36,4.275208217039759
84,Al-Inshiqaq,meccan,25,445,34,4.373235748310312
85,Al-Buruj,meccan,22,469,35,4.297079460170568
86,At-Tariq,meccan,17,254,32,4.29383593856266
87,Al-A'la,meccan,19,296,33,4.503720497138231
88,Al-Ghashiyah,meccan,26,382,35,4.508195235217228
89,Al-Fajr,meccan,30,584,33,4.369546971560336
90,Al-Balad,meccan,20,342,31,4.319365668433168
91,Ash-Shams,meccan,15,253,30,4.1026208871813585
92,Al-Layl,meccan,21,314,35,4.462170534444423
93,Ad-Duhaa,meccan,11,165,30,4.410408799564717
94,Ash-Sharh,meccan,8,102,27,4.287167923403724
95,At-Tin,meccan,8,162,28,4.17625818020167
96,Al-'Alaq,meccan,19,288,29,4.334043471871326
97,Al-Qadr,meccan,5,115,28,4.211233794285048
98,Al-Bayyinah,medinan,8,404,33,4.294184063751533
99,Az-Zalzalah,medinan,8,158,30,4.322651812409823
100,Al-'Adiyat,meccan,11,169,30,4.3917451831787
101,Al-Qari'ah,meccan,11,160,25,4.083794149416458
102,At-Takathur,meccan,8,123,23,3.979790979602066
103,Al-'Asr,meccan,3,73,19,3.6873945197666638
104,Al-Humazah,meccan,9,134,29,4.2149574611848655
105,Al-Fil,meccan,5,97,22,4.0688927321914665
106,Quraysh,meccan,4,77,26,4.258988490145608
107,Al-Ma'un,meccan,7,114,23,3.93756675807543
108,Al-Kawthar,meccan,3,43,20,3.9873274760758837
109,Al-Kafirun,meccan,6,99,16,3.6566905250711383
110,An-Nasr,medinan,3,80,23,4.163789922639631
111,Al-Masad,meccan,5,81,24,4.168736296985432
112,Al-Ikhlas,meccan,4,47,14,3.40578633125868
113,Al-Falaq,meccan,5,73,22,4.15623784153629
114,An-Nas,meccan,6,80,23,3.738374308244837
