surah,name,type,n_verses,tokens,per_verse
1,Al-Fatihah,meccan,7,0,0.0
2,Al-Baqarah,medinan,286,40,0.13986013986013987
3,Ali 'Imran,medinan,200,48,0.24
4,An-Nisa,medinan,176,13,0.07386363636363637
5,Al-Ma'idah,medinan,120,18,0.15
6,Al-An'am,meccan,165,46,0.2787878787878788
7,Al-A'raf,meccan,206,39,0.18932038834951456
8,Al-Anfal,medinan,75,8,0.10666666666666667
9,At-Tawbah,medinan,129,10,0.07751937984496124
10,Yunus,meccan,109,24,0.22018348623853212
11,Hud,meccan,123,11,0.08943089430894309
12,Yusuf,meccan,111,9,0.08108108108108109
13,Ar-Ra'd,medinan,43,13,0.3023255813953488
14,Ibrahim,meccan,52,5,0.09615384615384616
15,Al-Hijr,meccan,99,8,0.08080808080808081
16,An-Nahl,meccan,128,14,0.109375
17,Al-Isra,meccan,111,21,0.1891891891891892
18,Al-Kahf,meccan,110,12,0.10909090909090909
19,Maryam,meccan,98,10,0.10204081632653061
20,Taha,meccan,135,13,0.0962962962962963
21,Al-Anbya,meccan,112,14,0.125
22,Al-Hajj,medinan,78,10,0.1282051282051282
23,Al-Mu'minun,meccan,118,7,0.059322033898305086
24,An-Nur,medinan,64,8,0.125
25,Al-Furqan,meccan,77,7,0.09090909090909091
26,Ash-Shu'ara,meccan,227,16,0.07048458149779736
27,An-Naml,meccan,93,17,0.1827956989247312
28,Al-Qasas,meccan,88,11,0.125
29,Al-'Ankabut,meccan,69,16,0.2318840579710145
30,Ar-Rum,meccan,60,17,0.2833333333333333
31,Luqman,meccan,34,8,0.23529411764705882
32,As-Sajdah,meccan,30,7,0.23333333333333334
33,Al-Ahzab,medinan,73,4,0.0547945205479452
34,Saba,meccan,54,8,0.14814814814814814
35,Fatir,meccan,45,2,0.044444444444444446
36,Ya-Sin,meccan,83,4,0.04819277108433735
37,As-Saffat,meccan,182,2,0.01098901098901099
38,Sad,meccan,88,7,0.07954545454545454
39,Az-Zumar,meccan,75,19,0.25333333333333335
40,Ghafir,meccan,85,12,0.1411764705882353
41,Fussilat,meccan,54,16,0.2962962962962963
42,Ash-Shuraa,meccan,53,12,0.22641509433962265
43,Az-Zukhruf,meccan,89,10,0.11235955056179775
44,Ad-Dukhan,meccan,59,3,0.05084745762711865
45,Al-Jathiyah,meccan,37,15,0.40540540540540543
46,Al-Ahqaf,meccan,35,7,0.2
47,Muhammad,medinan,38,2,0.05263157894736842
48,Al-Fath,medinan,29,3,0.10344827586206896
49,Al-Hujurat,medinan,18,0,0.0
50,Qaf,meccan,45,3,0.06666666666666667
51,Adh-Dhariyat,meccan,60,4,0.06666666666666667
52,At-Tur,meccan,49,2,0.04081632653061224
53,An-Najm,meccan,62,2,0.03225806451612903
54,Al-Qamar,meccan,55,11,0.2
55,Ar-Rahman,medinan,78,1,0.01282051282051282
56,Al-Waqi'ah,meccan,96,2,0.020833333333333332
57,Al-Hadid,medinan,29,8,0.27586206896551724
58,Al-Mujadila,medinan,22,4,0.18181818181818182
59,Al-Hashr,medinan,24,2,0.08333333333333333
60,Al-Mumtahanah,medinan,13,0,0.0
61,As-Saf,medinan,14,0,0.0
62,Al-Jumu'ah,medinan,11,4,0.36363636363636365
63,Al-Munafiqun,medinan,11,1,0.09090909090909091
64,At-Taghabun,medinan,18,1,0.05555555555555555
65,At-Talaq,medinan,12,1,0.08333333333333333
66,At-Tahrim,medinan,12,0,0.0
67,Al-Mulk,meccan,30,0,0.0
68,Al-Qalam,meccan,52,3,0.057692307692307696
69,Al-Haqqah,meccan,52,3,0.057692307692307696
70,Al-Ma'arij,meccan,44,0,0.0
71,Nuh,meccan,28,0,0.0
72,Al-Jinn,meccan,28,2,0.07142857142857142
73,Al-Muzzammil,meccan,20,2,0.1
74,Al-Muddaththir,meccan,56,1,0.017857142857142856
75,Al-Qiyamah,meccan,40,0,0.0
76,Al-Insan,medinan,31,2,0.06451612903225806
77,Al-Mursalat,meccan,50,0,0.0
78,An-Naba,meccan,40,2,0.05
79,An-Nazi'at,meccan,46,1,0.021739130434782608
80,'Abasa,meccan,42,1,0.023809523809523808
81,At-Takwir,meccan,29,1,0.034482758620689655
82,Al-Infitar,meccan,19,0,0.0
83,Al-Mutaffifin,meccan,36,5,0.1388888888888889
84,Al-Inshiqaq,meccan,25,3,0.12
85,Al-Buruj,meccan,22,1,0.045454545454545456
86,At-Tariq,meccan,17,0,0.0
87,Al-A'la,meccan,19,3,0.15789473684210525
88,Al-Ghashiyah,meccan,26,1,0.038461538461538464
89,Al-Fajr,meccan,30,1,0.03333333333333333
90,Al-Balad,meccan,20,1,0.05
91,Ash-Shams,meccan,15,0,0.0
92,Al-Layl,meccan,21,0,0.0
93,Ad-Duhaa,meccan,11,0,0.0
94,Ash-Sharh,meccan,8,0,0.0
95,At-Tin,meccan,8,0,0.0
96,Al-'Alaq,meccan,19,0,0.0
97,Al-Qadr,meccan,5,0,0.0
98,Al-Bayyinah,medinan,8,1,0.125
99,Az-Zalzalah,medinan,8,0,0.0
100,Al-'Adiyat,meccan,11,0,0.0
101,Al-Qari'ah,meccan,11,0,0.0
102,At-Takathur,meccan,8,0,0.0
103,Al-'Asr,meccan,3,0,0.0
104,Al-Humazah,meccan,9,0,0.0
105,Al-Fil,meccan,5,0,0.0
106,Quraysh,meccan,4,0,0.0
107,Al-Ma'un,meccan,7,0,0.0
108,Al-Kawthar,meccan,3,0,0.0
109,Al-Kafirun,meccan,6,0,0.0
110,An-Nasr,medinan,3,0,0.0
111,Al-Masad,meccan,5,0,0.0
112,Al-Ikhlas,meccan,4,0,0.0
113,Al-Falaq,meccan,5,0,0.0
114,An-Nas,meccan,6,0,0.0
