surah_id,name,type,n_verses_used,pearson_r
1,Al-Fatihah,meccan,7,0.7075679924491276
2,Al-Baqarah,medinan,285,0.18459237416699756
3,Ali 'Imran,medinan,199,0.03789328875908757
4,An-Nisa,medinan,176,-0.1624666663151842
5,Al-Ma'idah,medinan,120,-0.17757287401425326
6,Al-An'am,meccan,165,0.17806645046355557
7,Al-A'raf,meccan,205,0.02086821169197185
8,Al-Anfal,medinan,75,0.14129946924159265
9,At-Tawbah,medinan,129,-0.08305471254426401
10,Yunus,meccan,109,-0.12283784967384924
11,Hud,meccan,123,-0.2098075366517043
12,Yusuf,meccan,111,-0.04877618927177971
13,Ar-Ra'd,medinan,43,-0.13467546438919195
14,Ibrahim,meccan,52,-0.3818071973667629
15,Al-Hijr,meccan,99,-0.09212326162382685
16,An-Nahl,meccan,128,0.1233841315906765
17,Al-Isra,meccan,111,0.001949433359593555
18,Al-Kahf,meccan,109,-0.05601707765342942
19,Maryam,meccan,97,-0.1279476718356413
20,Taha,meccan,133,0.3343469242985588
21,Al-Anbya,meccan,112,0.08586675092255645
22,Al-Hajj,medinan,78,-0.1817309102096398
23,Al-Mu'minun,meccan,118,0.019526354803886054
24,An-Nur,medinan,64,0.1622491967879531
25,Al-Furqan,meccan,77,-0.19747018818224737
26,Ash-Shu'ara,meccan,226,-0.13380809714316283
27,An-Naml,meccan,93,0.02941205265701149
28,Al-Qasas,meccan,87,-0.11682312604522344
29,Al-'Ankabut,meccan,68,0.11634993786975
30,Ar-Rum,meccan,58,0.17234751709200724
31,Luqman,meccan,33,0.3950588523442479
32,As-Sajdah,meccan,29,-0.037053671048197186
33,Al-Ahzab,medinan,73,-0.13898214384782132
34,Saba,meccan,54,-0.16082483250769544
35,Fatir,meccan,45,0.017568916715846736
36,Ya-Sin,meccan,82,0.15506001212769452
37,As-Saffat,meccan,182,-0.043195096707947175
38,Sad,meccan,88,-0.44147517458597446
39,Az-Zumar,meccan,75,0.06562162877749357
40,Ghafir,meccan,84,-0.09743499404702673
41,Fussilat,meccan,53,0.13501635329522932
42,Ash-Shuraa,meccan,51,-0.08181167664808861
43,Az-Zukhruf,meccan,88,-0.13525041710335078
44,Ad-Dukhan,meccan,58,-0.04590837581145579
45,Al-Jathiyah,meccan,36,0.09964596122588068
46,Al-Ahqaf,meccan,34,0.1752328172644428
47,Muhammad,medinan,38,0.10839243298058697
48,Al-Fath,medinan,29,0.41052051107183535
49,Al-Hujurat,medinan,18,-0.22615182915098958
50,Qaf,meccan,45,-0.12094196590546906
51,Adh-Dhariyat,meccan,60,0.4843941415704291
52,At-Tur,meccan,47,0.518770858662982
53,An-Najm,meccan,62,-0.15617481025967606
54,Al-Qamar,meccan,55,-0.15481789491540782
55,Ar-Rahman,medinan,75,0.2315855958148442
56,Al-Waqi'ah,meccan,92,0.28157310305760297
57,Al-Hadid,medinan,29,0.4147856187386408
58,Al-Mujadila,medinan,22,-0.2571698881436119
59,Al-Hashr,medinan,24,-0.29829405105010065
60,Al-Mumtahanah,medinan,13,0.10277409268956708
61,As-Saf,medinan,14,0.71200644817923
62,Al-Jumu'ah,medinan,11,0.509753771680565
63,Al-Munafiqun,medinan,11,-0.14332478213312252
64,At-Taghabun,medinan,18,-0.11873155251948884
65,At-Talaq,medinan,12,-0.617788759232659
66,At-Tahrim,medinan,12,0.09071035281017208
67,Al-Mulk,meccan,30,-0.04450463377770435
68,Al-Qalam,meccan,52,0.4087659594930423
69,Al-Haqqah,meccan,49,-0.47930684521804
70,Al-Ma'arij,meccan,43,0.482241086790515
71,Nuh,meccan,28,-0.12497186573887023
72,Al-Jinn,meccan,28,0.11776219235196397
73,Al-Muzzammil,meccan,20,0.7692810103602906
74,Al-Muddaththir,meccan,50,0.31268624248864374
75,Al-Qiyamah,meccan,37,-0.11344228573006992
76,Al-Insan,medinan,31,0.09555587666850908
77,Al-Mursalat,meccan,49,0.38742175073136315
78,An-Naba,meccan,39,0.42098849761486484
79,An-Nazi'at,meccan,43,0.4231174084909763
80,'Abasa,meccan,37,-0.08088673011067538
81,At-Takwir,meccan,29,0.08527473072632041
82,Al-Infitar,meccan,19,-0.19691501284439142
83,Al-Mutaffifin,meccan,33,0.2815940290275072
84,Al-Inshiqaq,meccan,25,-0.08073368009704308
85,Al-Buruj,meccan,22,0.060038165071981495
86,At-Tariq,meccan,16,-0.012489550295510816
87,Al-A'la,meccan,19,0.21471019229571747
88,Al-Ghashiyah,meccan,26,0.14379038200556227
89,Al-Fajr,meccan,28,0.07869985675722704
90,Al-Balad,meccan,19,0.5603110621990337
91,Ash-Shams,meccan,15,0.5783345273401871
92,Al-Layl,meccan,20,0.18654692867716116
93,Ad-Duhaa,meccan,10,0.3994212491364087
94,Ash-Sharh,meccan,8,0.047837092484620536
95,At-Tin,meccan,7,0.4304042031099372
96,Al-'Alaq,meccan,19,0.43336754501832364
97,Al-Qadr,meccan,5,0.683348070397592
98,Al-Bayyinah,medinan,8,0.5906645790956506
99,Az-Zalzalah,medinan,8,0.6487735585476334
100,Al-'Adiyat,meccan,11,0.5306593804204459
101,Al-Qari'ah,meccan,7,-0.3999410905508332
102,At-Takathur,meccan,8,0.7818854776147676
104,Al-Humazah,meccan,9,-0.16259098367024874
105,Al-Fil,meccan,5,-0.36132079002725415
107,Al-Ma'un,meccan,7,-0.34923318462695374
109,Al-Kafirun,meccan,6,-0.6755318870448705
111,Al-Masad,meccan,5,0.6721167574385489
