mushaf_order,name_tl,period,revelation_order,noldeke_order,noldeke_phase,n_lemma_tokens,n_distinct_lemmas,zipf_alpha,r_squared,boot_alpha_lo,boot_alpha_hi,boot_alpha_median,status
1,Al-Fatiha,Meccan,5,48,Early Meccan,29,23,,,,,,insufficient-data
2,Al-Baqarah,Medinan,87,91,Medinan,5884,1136,0.99566,0.971272,1.008795,1.042961,1.025641,ok
3,Al-Imran,Medinan,89,97,Medinan,3371,760,0.953981,0.967177,0.963405,1.006489,0.985206,ok
4,An-Nisa,Medinan,92,100,Medinan,3653,809,0.964356,0.96631,0.97673,1.016924,0.998064,ok
5,Al-Maidah,Medinan,112,114,Medinan,2738,684,0.916651,0.967398,0.933586,0.979408,0.957652,ok
6,Al-Anam,Meccan,55,89,Late Meccan,2946,724,0.935833,0.963153,0.961804,1.005763,0.983569,ok
7,Al-Araf,Meccan,39,87,Late Meccan,3177,818,0.913216,0.960876,0.941566,0.984049,0.96204,ok
8,Al-Anfal,Medinan,88,95,Medinan,1201,399,0.82143,0.954092,0.84262,0.90704,0.875114,ok
9,At-Tawbah,Medinan,113,113,Medinan,2408,637,0.907942,0.960871,0.923185,0.971724,0.946771,ok
10,Yunus,Meccan,51,84,Late Meccan,1786,485,0.907395,0.95977,0.928966,0.986725,0.957335,ok
11,Hud,Meccan,52,75,Late Meccan,1855,553,0.855342,0.953122,0.897424,0.951631,0.925773,ok
12,Yusuf,Meccan,53,77,Late Meccan,1696,511,0.850994,0.961315,0.883224,0.93709,0.911704,ok
13,Ar-Rad,Medinan,96,90,Late Meccan,818,347,0.714972,0.93443,0.763103,0.833258,0.801796,ok
14,Ibrahim,Meccan,72,76,Late Meccan,800,333,0.722233,0.938148,0.776307,0.844668,0.80964,ok
15,Al-Hijr,Meccan,54,57,Middle Meccan,634,288,0.678979,0.91424,0.745947,0.821996,0.784134,ok
16,An-Nahl,Meccan,70,73,Late Meccan,1778,551,0.83814,0.954074,0.872259,0.928021,0.899281,ok
17,Al-Isra,Meccan,50,67,Middle Meccan,1502,532,0.791194,0.950106,0.825253,0.87669,0.850961,ok
18,Al-Kahf,Meccan,69,69,Middle Meccan,1528,551,0.790803,0.946269,0.826189,0.879969,0.852991,ok
19,Maryam,Meccan,44,58,Middle Meccan,929,359,0.74997,0.951569,0.784699,0.847566,0.816497,ok
20,Ta-Ha,Meccan,45,55,Middle Meccan,1282,482,0.765283,0.935761,0.812862,0.869947,0.839747,ok
