surah_id,name,transliteration,n_verses,n_letters,abjad_total,abjad_per_letter
1,الفاتحة,Al-Fatihah,7,140,10144,72.45714285714286
2,البقرة,Al-Baqarah,286,24387,1819849,74.62373395661623
3,آل عمران,Ali 'Imran,200,13965,1053839,75.46287146437523
4,النساء,An-Nisa,176,15172,1113968,73.42262061692591
5,المائدة,Al-Ma'idah,120,11320,822222,72.63445229681979
6,الأنعام,Al-An'am,165,11795,931190,78.94785926239932
7,الأعراف,Al-A'raf,206,13374,1051767,78.64266487213997
8,الأنفال,Al-Anfal,75,5015,374778,74.73140578265205
9,التوبة,At-Tawbah,129,10380,735968,70.90250481695568
10,يونس,Yunus,109,7034,534466,75.98322433892523
11,هود,Hud,123,7170,536083,74.76750348675034
12,يوسف,Yusuf,111,6710,495890,73.90312965722802
13,الرعد,Ar-Ra'd,43,3290,238337,72.44285714285714
14,ابراهيم,Ibrahim,52,3296,262910,79.76638349514563
15,الحجر,Al-Hijr,99,2669,179366,67.2034469838891
16,النحل,An-Nahl,128,7281,556030,76.36725724488394
17,الإسراء,Al-Isra,111,6112,471678,77.17244764397905
18,الكهف,Al-Kahf,110,6068,494142,81.4340804218853
19,مريم,Maryam,98,3685,280481,76.11424694708276
20,طه,Taha,135,4901,385828,78.72434197102632
21,الأنبياء,Al-Anbya,112,4744,350505,73.88385328836425
22,الحج,Al-Hajj,78,4972,363671,73.14380530973452
23,المؤمنون,Al-Mu'minun,118,4157,342486,82.38777964878518
24,النور,An-Nur,64,5319,412769,77.60274487685655
25,الفرقان,Al-Furqan,77,3637,291655,80.19109155897718
26,الشعراء,Ash-Shu'ara,227,5166,391008,75.68873403019745
27,النمل,An-Naml,93,4405,333472,75.70306469920544
28,القصص,Al-Qasas,88,5453,397905,72.96992481203007
29,العنكبوت,Al-'Ankabut,69,4007,273405,68.23184427252309
30,الروم,Ar-Rum,60,3248,267796,82.44950738916256
31,لقمان,Luqman,34,2021,155018,76.70361207323107
