surah_id,verse_id,n_letters,abjad_total,text
1,1,19,786,بسم الله الرحمن الرحيم
1,2,18,582,الحمد لله رب العالمين
1,3,12,618,الرحمن الرحيم
1,4,12,242,مالك يوم الدين
1,5,17,834,إياك نعبد وإياك نستعين
1,6,19,1073,اهدنا الصراط المستقيم
1,7,43,6009,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين
2,1,3,71,الم
2,2,26,2211,ذلك الكتاب لا ريب ۛ فيه ۛ هدى للمتقين
2,3,45,3152,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
2,4,46,2625,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون
2,5,27,854,أولئك على هدى من ربهم ۖ وأولئك هم المفلحون
2,6,41,4457,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
2,7,48,5335,ختم الله على قلوبهم وعلى سمعهم ۖ وعلى أبصارهم غشاوة ۖ ولهم عذاب عظيم
2,8,44,1843,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين
2,9,46,3437,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون
2,10,50,4400,في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب أليم بما كانوا يكذبون
2,11,40,3186,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون
2,12,27,1215,ألا إنهم هم المفسدون ولكن لا يشعرون
2,13,67,2609,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون
2,14,64,4886,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون
2,15,33,2086,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون
2,16,53,5103,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين
2,17,70,7808,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
2,18,19,807,صم بكم عمي فهم لا يرجعون
2,19,82,5973,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت ۚ والله محيط بالكافرين
2,20,92,7391,يكاد البرق يخطف أبصارهم ۖ كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وأبصارهم ۚ إن الله على كل شيء قدير
2,21,52,4271,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
2,22,90,7482,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم ۖ فلا تجعلوا لله أندادا وأنتم تعلمون
2,23,72,4223,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين
2,24,63,4179,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة ۖ أعدت للكافرين
2,25,138,10752,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار ۖ كلما رزقوا منها من ثمرة رزقا ۙ قالوا هذا الذي رزقنا من قبل ۖ وأتوا به متشابها ۖ ولهم فيها أزواج مطهرة ۖ وهم فيها خالدون
2,26,146,12663,۞ إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها ۚ فأما الذين آمنوا فيعلمون أنه الحق من ربهم ۖ وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به إلا الفاسقين
2,27,77,5951,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض ۚ أولئك هم الخاسرون
2,28,57,5069,كيف تكفرون بالله وكنتم أمواتا فأحياكم ۖ ثم يميتكم ثم يحييكم ثم إليه ترجعون
2,29,64,5398,هو الذي خلق لكم ما في الأرض جميعا ثم استوى إلى السماء فسواهن سبع سماوات ۚ وهو بكل شيء عليم
2,30,101,6121,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون
2,31,57,3538,وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين
2,32,45,2004,قالوا سبحانك لا علم لنا إلا ما علمتنا ۖ إنك أنت العليم الحكيم
2,33,86,6158,قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون
2,34,55,2724,وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين
2,35,75,7259,وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
2,36,81,6624,فأزلهما الشيطان عنها فأخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم في الأرض مستقر ومتاع إلى حين
2,37,40,2835,فتلقى آدم من ربه كلمات فتاب عليه ۚ إنه هو التواب الرحيم
2,38,65,3012,قلنا اهبطوا منها جميعا ۖ فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
2,39,47,3574,والذين كفروا وكذبوا بآياتنا أولئك أصحاب النار ۖ هم فيها خالدون
2,40,63,3831,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون
2,41,74,5166,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون
2,42,41,2854,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون
2,43,37,1583,وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين
