sid,name,type,cluster_best_k,best_k,k3_label,k4_label,k5_label,k6_label,k7_label,k8_label,k10_label
1,Al-Fatihah,meccan,2,3,2,2,4,5,6,6,9
2,Al-Baqarah,medinan,1,3,1,3,1,0,4,7,2
3,Ali 'Imran,medinan,1,3,1,3,1,0,4,7,2
4,An-Nisa,medinan,0,3,0,1,1,0,4,7,2
5,Al-Ma'idah,medinan,0,3,0,1,1,0,4,7,2
6,Al-An'am,meccan,1,3,1,3,1,0,4,7,2
7,Al-A'raf,meccan,1,3,1,3,1,0,4,7,6
8,Al-Anfal,medinan,0,3,0,1,3,3,2,5,8
9,At-Tawbah,medinan,0,3,0,1,1,0,4,7,2
10,Yunus,meccan,1,3,1,3,1,4,5,4,6
11,Hud,meccan,1,3,1,3,2,4,5,1,6
12,Yusuf,meccan,1,3,1,3,2,4,5,1,6
13,Ar-Ra'd,medinan,1,3,1,3,1,4,5,4,4
14,Ibrahim,meccan,1,3,1,3,2,4,5,4,4
15,Al-Hijr,meccan,1,3,1,0,2,2,1,1,6
16,An-Nahl,meccan,1,3,1,0,2,2,1,1,6
17,Al-Isra,meccan,1,3,1,3,2,2,5,4,6
18,Al-Kahf,meccan,1,3,1,0,2,2,1,1,6
19,Maryam,meccan,1,3,1,3,2,2,1,1,6
20,Taha,meccan,1,3,1,3,2,2,1,1,6
21,Al-Anbya,meccan,1,3,1,0,2,2,1,1,6
22,Al-Hajj,medinan,0,3,0,1,3,4,2,5,0
23,Al-Mu'minun,meccan,1,3,1,0,2,2,1,1,6
24,An-Nur,medinan,0,3,0,1,3,3,2,5,8
25,Al-Furqan,meccan,1,3,1,0,2,2,1,1,6
26,Ash-Shu'ara,meccan,1,3,1,0,2,2,1,1,6
27,An-Naml,meccan,1,3,1,3,2,2,5,1,0
28,Al-Qasas,meccan,1,3,1,3,2,4,5,1,6
29,Al-'Ankabut,meccan,1,3,1,3,2,4,5,4,6
30,Ar-Rum,meccan,1,3,1,0,2,2,1,1,6
31,Luqman,meccan,0,3,0,1,3,3,5,0,8
32,As-Sajdah,meccan,1,3,1,3,2,4,5,4,4
33,Al-Ahzab,medinan,0,3,0,1,3,3,2,5,8
34,Saba,meccan,1,3,1,3,2,4,5,4,4
35,Fatir,meccan,0,3,0,1,3,3,2,5,8
36,Ya-Sin,meccan,1,3,1,0,2,2,1,1,6
37,As-Saffat,meccan,1,3,1,0,2,2,1,1,6
38,Sad,meccan,1,3,1,0,2,2,1,1,6
39,Az-Zumar,meccan,1,3,1,1,1,3,5,4,8
40,Ghafir,meccan,1,3,1,3,2,4,5,1,6
41,Fussilat,meccan,1,3,1,3,2,4,5,4,6
42,Ash-Shuraa,meccan,1,3,1,3,1,3,5,0,6
43,Az-Zukhruf,meccan,1,3,1,0,2,2,1,1,6
44,Ad-Dukhan,meccan,2,3,2,0,2,2,1,1,1
45,Al-Jathiyah,meccan,1,3,1,3,2,4,5,4,4
46,Al-Ahqaf,meccan,1,3,1,3,2,4,5,4,4
47,Muhammad,medinan,0,3,0,1,3,3,2,5,8
48,Al-Fath,medinan,0,3,0,1,3,3,2,5,8
49,Al-Hujurat,medinan,0,3,0,1,3,3,2,5,8
50,Qaf,meccan,2,3,2,0,2,2,0,1,0
51,Adh-Dhariyat,meccan,2,3,2,0,0,1,0,2,1
52,At-Tur,meccan,2,3,2,0,0,1,0,2,1
53,An-Najm,meccan,2,3,2,0,0,1,0,2,1
54,Al-Qamar,meccan,2,3,2,0,2,2,1,1,1
55,Ar-Rahman,medinan,2,3,2,0,2,2,1,1,1
56,Al-Waqi'ah,meccan,2,3,2,0,0,1,0,2,1
57,Al-Hadid,medinan,0,3,0,1,3,3,2,0,5
58,Al-Mujadila,medinan,0,3,0,1,3,3,2,5,8
59,Al-Hashr,medinan,0,3,0,1,3,3,2,0,5
60,Al-Mumtahanah,medinan,0,3,0,1,3,3,2,0,5
61,As-Saf,medinan,0,3,0,1,4,5,6,6,9
62,Al-Jumu'ah,medinan,0,3,0,1,3,3,2,0,5
63,Al-Munafiqun,medinan,0,3,0,1,3,3,2,5,0
64,At-Taghabun,medinan,0,3,0,1,3,3,2,0,8
65,At-Talaq,medinan,0,3,0,1,3,3,2,5,8
66,At-Tahrim,medinan,0,3,0,1,3,3,2,0,5
67,Al-Mulk,meccan,1,3,1,0,2,2,5,4,4
68,Al-Qalam,meccan,2,3,2,2,0,1,0,2,1
69,Al-Haqqah,meccan,2,3,2,2,0,1,0,2,1
70,Al-Ma'arij,meccan,2,3,2,2,0,1,0,2,1
71,Nuh,meccan,2,3,2,2,0,1,0,2,1
72,Al-Jinn,meccan,2,3,2,0,2,2,5,4,1
73,Al-Muzzammil,meccan,2,3,2,2,0,1,0,2,1
