sid,name,type,alpha,beta,dispersion,PC1,PC2,PC3,mean_verse_length,allah_density,qul_density,prophet_density,legal_density,eschat_density,book_ref_density,divine_name_density,loanword_density,mfdfa_width,lz_norm_log,inclusio,surah_length,muq_cardinality,noldeke_order
1,Al-Fatihah,meccan,0.68732,0.964104,0.504386,-0.308723,0.253734,-0.103515,4.14286,28.5714,0,0,14.2857,0,0,57.1429,14.2857,0.879762,2.47262,0,7,0,48
2,Al-Baqarah,medinan,0.99566,0.758965,0.202984,0.375917,0.0461552,0.0162591,23.1818,98.2517,7.34266,12.2378,32.5175,21.6783,16.4336,18.5315,3.4965,0.946679,2.39929,0,286,3,91
3,Ali 'Imran,medinan,0.953981,0.806843,0.237621,0.352325,0.0853716,0.0594913,18.585,102.5,11.5,7.5,23,27,19.5,14,2.5,0.756078,2.48819,1,200,3,97
4,An-Nisa,medinan,0.964356,0.797806,0.227823,0.319902,0.165303,0.0172912,22.892,128.409,3.40909,6.25,39.7727,19.3182,14.2045,5.11364,0,1.10747,2.4056,0,176,0,100
5,Al-Ma'idah,medinan,0.916651,0.794565,0.238817,0.366845,0.115354,0.0221438,25.3917,121.667,7.5,6.66667,65.8333,19.1667,16.6667,13.3333,5.83333,0.680748,2.49041,0,120,0,114
6,Al-An'am,meccan,0.935833,0.798185,0.247343,0.345449,-0.0810864,-0.0151646,20.0242,52.1212,26.6667,4.84848,25.4545,18.1818,10.303,17.5758,2.42424,0.79145,2.61812,0,165,0,89
7,Al-A'raf,meccan,0.913216,0.799627,0.231399,0.339938,-0.127033,-0.0371193,17.2379,29.1262,6.31068,11.6505,12.6214,21.3592,5.33981,3.8835,2.91262,0.701635,2.62959,0,206,4,87
8,Al-Anfal,medinan,0.82143,0.801921,0.286605,0.276026,0.208472,0.0153385,17.6,118.667,4,0,13.3333,16,4,9.33333,0,1.20653,2.57223,0,75,0,95
9,At-Tawbah,medinan,0.907942,0.812537,0.252588,0.314349,0.194762,0.0210258,20.7287,131.008,9.30233,3.87597,34.8837,23.2558,4.65116,14.7287,0,0.997772,2.45345,0,129,0,113
10,Yunus,meccan,0.907395,0.791299,0.311313,0.320517,-0.0606118,-0.00822827,18.0183,56.8807,22.0183,8.25688,10.0917,17.4312,7.33945,20.1835,3.66972,1.0903,2.63247,0,109,3,84
11,Hud,meccan,0.855342,0.797094,0.262099,0.2923,-0.120905,-0.0503271,16.935,30.0813,3.25203,22.7642,9.7561,25.2033,3.25203,5.69106,1.62602,0.945249,2.66626,0,123,3,75
12,Yusuf,meccan,0.850994,0.793171,0.24812,0.263518,-0.13957,0.00347029,17.2252,39.6396,0.900901,21.6216,16.2162,6.30631,2.7027,22.5225,0,1.44733,2.71539,0,111,3,77
13,Ar-Ra'd,medinan,0.714972,0.822455,0.300403,0.254973,0.0459351,0.105827,21.5814,74.4186,23.2558,0,11.6279,20.9302,13.9535,18.6047,0,1.29797,2.82456,0,43,4,90
14,Ibrahim,meccan,0.722233,0.851936,0.311969,0.247993,-0.0260621,0.0672215,17.0192,71.1538,3.84615,11.5385,13.4615,25,1.92308,17.3077,1.92308,2.08349,2.85746,0,52,3,76
15,Al-Hijr,meccan,0.678979,0.875414,0.303919,0.107027,-0.274756,-0.0629494,6.72727,2.0202,1.0101,3.0303,9.09091,7.07071,7.07071,4.0404,4.0404,0.811894,2.87603,0,99,3,57
16,An-Nahl,meccan,0.83814,0.790684,0.257522,0.300821,-0.014165,-0.0175111,15.3359,63.2812,0.78125,1.5625,7.8125,24.2188,3.90625,1.5625,1.5625,0.846386,2.63413,0,128,0,73
17,Al-Isra,meccan,0.791194,0.823161,0.255515,0.213418,-0.124624,-0.0846136,14.8108,9.00901,20.7207,5.40541,9.90991,23.4234,18.018,7.20721,4.5045,0.655578,2.82512,0,111,0,67
18,Al-Kahf,meccan,0.790803,0.836271,0.238934,0.229399,-0.1099,-0.046903,15.0636,14.5455,10,1.81818,9.09091,15.4545,4.54545,3.63636,0.909091,0.707126,2.89484,0,110,0,69
