rank,s1,v1,s2,v2,lev_distance,ratio,mean_len,len1,len2,text1,text2
1,9,73,66,9,0,0.0000,77.0,77,77,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ۚ ومأواهم جهنم ۖ وبئس المصير,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ۚ ومأواهم جهنم ۖ وبئس المصير
2,9,33,61,9,0,0.0000,73.0,73,73,هو الذي أرسل رسوله بالهدى ودين الحق ليظهره على الدين كله ولو كره المشركون,هو الذي أرسل رسوله بالهدى ودين الحق ليظهره على الدين كله ولو كره المشركون
3,6,10,21,41,0,0.0000,68.0,68,68,ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزئون,ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزئون
4,59,1,61,1,0,0.0000,55.0,55,55,سبح لله ما في السماوات وما في الأرض ۖ وهو العزيز الحكيم,سبح لله ما في السماوات وما في الأرض ۖ وهو العزيز الحكيم
5,27,3,31,4,0,0.0000,55.0,55,55,الذين يقيمون الصلاة ويؤتون الزكاة وهم بالآخرة هم يوقنون,الذين يقيمون الصلاة ويؤتون الزكاة وهم بالآخرة هم يوقنون
6,3,89,24,5,0,0.0000,53.0,53,53,إلا الذين تابوا من بعد ذلك وأصلحوا فإن الله غفور رحيم,إلا الذين تابوا من بعد ذلك وأصلحوا فإن الله غفور رحيم
7,6,4,36,46,0,0.0000,52.0,52,52,وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين,وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين
8,23,6,70,30,0,0.0000,51.0,51,51,إلا على أزواجهم أو ما ملكت أيمانهم فإنهم غير ملومين,إلا على أزواجهم أو ما ملكت أيمانهم فإنهم غير ملومين
9,17,48,25,9,0,0.0000,50.0,50,50,انظر كيف ضربوا لك الأمثال فضلوا فلا يستطيعون سبيلا,انظر كيف ضربوا لك الأمثال فضلوا فلا يستطيعون سبيلا
10,43,83,70,42,0,0.0000,49.0,49,49,فذرهم يخوضوا ويلعبوا حتى يلاقوا يومهم الذي يوعدون,فذرهم يخوضوا ويلعبوا حتى يلاقوا يومهم الذي يوعدون
11,3,182,8,51,0,0.0000,45.0,45,45,ذلك بما قدمت أيديكم وأن الله ليس بظلام للعبيد,ذلك بما قدمت أيديكم وأن الله ليس بظلام للعبيد
12,15,29,38,72,0,0.0000,44.0,44,44,فإذا سويته ونفخت فيه من روحي فقعوا له ساجدين,فإذا سويته ونفخت فيه من روحي فقعوا له ساجدين
13,2,5,31,5,0,0.0000,42.0,42,42,أولئك على هدى من ربهم ۖ وأولئك هم المفلحون,أولئك على هدى من ربهم ۖ وأولئك هم المفلحون
14,73,19,76,29,0,0.0000,41.0,41,41,إن هذه تذكرة ۖ فمن شاء اتخذ إلى ربه سبيلا,إن هذه تذكرة ۖ فمن شاء اتخذ إلى ربه سبيلا
15,68,15,83,13,0,0.0000,39.0,39,39,إذا تتلى عليه آياتنا قال أساطير الأولين,إذا تتلى عليه آياتنا قال أساطير الأولين
16,26,173,27,58,0,0.0000,38.0,38,38,وأمطرنا عليهم مطرا ۖ فساء مطر المنذرين,وأمطرنا عليهم مطرا ۖ فساء مطر المنذرين
17,6,15,39,13,0,0.0000,37.0,37,37,قل إني أخاف إن عصيت ربي عذاب يوم عظيم,قل إني أخاف إن عصيت ربي عذاب يوم عظيم
